particulars_1,particulars_2,ldrrmf_quick_response_fund_ 30_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgus,from_other_sources,total
Sources of Funds,Current Appropriations,5756261.43,13431276.67,-,-,-,19187538.1
Sources of Funds,Continuing Appropriations,-,-,-,-,-,0
Sources of Funds,Previous Year's Appropriation transferred to the Special Trust Fund,-,30790743.9,-,-,-,30790743.9
Sources of Funds,Transfers/Grants,-,-,-,-,-,0
Sources of Funds,Total Funds Available,5756261.43,44222020.57,0,0,0,49978282
Utilization,Medicines,-,325976.5,-,-,-,325976.5
Utilization,Food Supplies,-,776438,-,-,-,776438
Utilization,Repair of Evacuation Center,-,-,-,-,-,0
Utilization,Trainings/Institutional and Capacity Development/Meetings,-,448979,-,-,-,448979
Utilization,Construction of,-,1958649.86,-,-,-,1958649.86
Utilization,Equipment,-,-,-,-,-,0
Utilization,Transfers to other LGUs,-,-,-,-,-,0
Utilization,Others - Fuel,-,48594.55,-,-,-,48594.55
Utilization,Others- Supplies,-,136662.1,-,-,-,136662.1
Utilization,Others - Communication,-,24750,-,-,-,24750
Utilization,Total Utilization,0,3720050.01,0,0,0,3720050.01
Unutilized Balance,Unutilized Balance,5756261.43,40501970.56,0,0,0,46258231.99
