particulars_1,particulars_2,lrrrmf_quick_response_fund_30_percent,lrrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgu,from_other_sources,total
Sources of Funds,Current Appropriations,30871372.5,72033202.5,-,-,-,102904575
Sources of Funds,Continuing Appropriations,1859.22,14239057.62,-,-,-,14240916.84
Sources of Funds,Previous Year's Appropriations transferred to the Special Trust Fund,22067549.16,51490948.01,-,-,-,73558497.17
Sources of Funds,Transfers or Grants,-,-,-,-,-,-
Sources of Funds,Total Funds Available,52940780.88,137763208.1,-,-,-,190703989
Utilization,Medicines,-,-,-,-,-,0
Utilization,Food Supplies,36175.2,-,-,-,-,36175.2
Utilization,Repair of Evacuation Center,-,-,-,-,-,0
Utilization,Trainings,73250,313575.11,-,-,-,386825.11
Utilization,Construction of Evacuation Center,-,4784242.77,-,-,-,4784242.77
Utilization,Equipment,-,106020,-,-,-,106020
Utilization,Financial Assistance,-,60000,-,-,-,60000
Utilization,Disaster Rehabilitation,-,-,-,-,-,0
Utilization,Transfers to Other LGUs,-,-,-,-,-,0
Total Utilization,Total Utilization,109425.2,5263837.88,-,-,-,5373263.08
Unutilized Balance,Unutilized Balance,52831355.68,132499370.3,-,-,-,185330725.9
