particulars_1,particulars_2,particulars_3,particulars_4,code,amount,total_amount
Calamity Fund Balance 1st Quarter,Calamity Fund Balance 1st Quarter,Calamity Fund Balance 1st Quarter,Calamity Fund Balance 1st Quarter,-,-,33605814.78
Less: Disbursement,Pre-Disaster Preparedness Program,Maintenance and Operating Expense,Travelling Expense,751,42840,-
Less: Disbursement,Pre-Disaster Preparedness Program,Maintenance and Operating Expense,Office Supplies Expenses,755,465071.9,-
Less: Disbursement,Pre-Disaster Preparedness Program,Maintenance and Operating Expense,"Gasoline, Oil and Lubricant Expenses",761,188120.12,-
Less: Disbursement,Pre-Disaster Preparedness Program,Maintenance and Operating Expense,Agricultural Supplies Expenses,762,81683,-
Less: Disbursement,Pre-Disaster Preparedness Program,Maintenance and Operating Expense,Other Supplies Expenses,765,31350,-
Less: Disbursement,Pre-Disaster Preparedness Program,Maintenance and Operating Expense,Representation Expenses,783,40271.5,-
Less: Disbursement,Pre-Disaster Preparedness Program,Maintenance and Operating Expense,Security Services,797,145500,-
Less: Disbursement,Pre-Disaster Preparedness Program,Maintenance and Operating Expense,Other Professional Services,799,499860.45,-
Less: Disbursement,Pre-Disaster Preparedness Program,Maintenance and Operating Expense,R/M- Watercraft,844,44852,-
Less: Disbursement,Pre-Disaster Preparedness Program,Maintenance and Operating Expense,Subsidy to LGU's,874,99505,-
Less: Disbursement,Pre-Disaster Preparedness Program,Maintenance and Operating Expense,Other MOOE,969,97081,-
Less: Disbursement,Pre-Disaster Preparedness Program,Capital Outlay,Other Structures (Evacutaion Center),-,2577116,4313250.97
Less: Disbursement,Balance of Calamity Fund,Balance of Calamity Fund,Balance of Calamity Fund,-,-,29292563.81
