particulars_1,particulars_2,ldrrmf_quick_response_fund_30_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgu,from_other_sources,total
Sources of Funds,Current Appropriations,24838173.21,57955737.49,-,-,-,82793910.7
Sources of Funds,Continuing Appropriations,-,-,-,-,-,-
Sources of Funds,Prior Years Appropriation transferreddd to the Special Trust Fund,-,-,-,-,-,-
Sources of Funds,Transfer or Grants,-,-,-,-,-,-
Sources of Funds,Total Funds Available,24838173.21,57955737.49,-,-,-,82793910.7
Utilization,Travel or Trainings- CMPC- meals on Public safety and Disaster Management,-,516675,-,-,-,516675
Utilization,Office Supplies,-,145540,-,-,-,145540
Utilization,Food Supplies- NFA Rice,-,21250000,-,-,-,21250000
Utilization,Food Supplies- Noodle and Canned Goods,-,11771730.01,-,-,-,11771730.01
Utilization,"Gasoline, Oil and Lubricants",-,218204,-,-,-,218204
Utilization,Other Supplies- Plastic bags and twine,-,86950,-,-,-,86950
Utilization,Repair and Maintenance of Fire Truck,-,75690,-,-,-,75690
Utilization,Equipments- 2 units of Mini Dump Truck,-,1627658,-,-,-,1627658
Utilization,Total Utilization,-,35692447.01,-,-,-,35692447.01
Utilization,Unutilized Balance,24838173.21,22263290.48,-,-,-,47101463.69
