object_of_expenditures_1,object_of_expenditures_2,account_code,past_year_dec_31_2012,current_year_june_30_2013
Maintenance and Other Operating Expenses,Maintenance and Other Operating Expenses,-,182972633,76546400.66
Maintenance and Other Operating Expenses,Agricultural Supplies,-,1733416,-
Maintenance and Other Operating Expenses,Repair and Maintenance Other Structures,-,1040439,-
Maintenance and Other Operating Expenses,Repair and Maintenance Roads/Highways and Bridges,-,14375636.92,-
Maintenance and Other Operating Expenses,Repair and Maintenance- Other Public Infra,-,170320,-
Maintenance and Other Operating Expenses,Subsidy to National Government Agencies,-,5640000.08,-
Maintenance and Other Operating Expenses,Subsidy to LGUs,-,19557490.5,16371526.05
Maintenance and Other Operating Expenses,Subsidy to NGOs or POs,-,-,100000
Maintenance and Other Operating Expenses,Subsidy to Other Funds- Loans,-,140411089,60070753.12
Maintenance and Other Operating Expenses,"Taxes, Duties and Licenses",-,34241.57,4121.49
Capital Outlay,Capital Outlay,-,62078765.15,49048037.49
Capital Outlay,Land ,-,175000,-
Capital Outlay,Land Improvements,-,999830.05,-
Capital Outlay,Other Structures,-,143459,-
Capital Outlay,"Public Infra-Roads, Highways and Bridges",-,50635818.65,49046037.49
Capital Outlay,"Public Infra-Artesians Well, Reservoirs",-,-,-
Capital Outlay,Pumping Stations and Conduits,-,1056570.45,-
Capital Outlay,Other Public Infrustructure,-,8868086.8,-
Financial Expenses,Financial Expenses,-,-,-
Total Appropriations,Total Appropriations,-,245051398.1,125594438.2
