particulars_1,particulars_2,ldrrmf_quick_response_fund_QRF_30_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgus),from_other_sources,total
Source of Funds,Current Appropriations,8399747,19599407,-,-,-,27999154
Source of Funds,Continuing Appropriations,-,-,-,-,-,-
Source of Funds,Previous Year's Appropriations transferred to the special Trust Fund,-,15588788.86,-,-,-,15588788.86
Source of Funds,Transfer or Grants,-,-,-,-,-,-
Utilization,Travelling Expenses,-,6080,-,-,-,6080
Utilization,Trainings or Capability Program,-,54000,-,-,-,54000
Utilization,Infra Projects: Bridge,-,3439390.47,-,-,-,3439390.47
Utilization,Infra Projects: Construction of Bigaa Drainage System,-,425722.1,-,-,-,425722.1
Utilization,II,-,1962354.45,-,-,-,1962354.45
Utilization,Infra Projects: Constructionof Constantino Drainage system,-,70869.16,-,-,-,70869.16
Utilization,Infra Projects: Construction or Installation of accordion door at PDRRMO,-,131316,-,-,-,131316
Utilization,Infra Projects: Installation of entrance ramp and Aluminum glass panel at PDRRMD,-,73995,-,-,-,73995
Utilization,Transfer to LGUs,-,-,-,-,-,-
Unutilized Balance,Unutilized Balance,8339747,29024468.68,-,-,-,37364215.68
