particulars_1,particulars_2,particulars_3,ldrrmf_quick_response_fund_QRF_30_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgus,from_other_sources,total
Source of Funds,Source of Funds,Current Appropriations,8399747,19599407,-,-,-,27999154
Source of Funds,Source of Funds,Continuing Appropriations,-,-,-,-,-,-
Source of Funds,Source of Funds,Previous Year's Appropriations transferred to the special Trust Fund,-,15568287.86,-,-,-,15568287.86
Source of Funds,Source of Funds,Transfer or Grants,-,-,-,-,-,-
Utilization,Disaster Preparedness:,Travelling Expenses(Trust Fund),-,6080,-,-,-,6080
Utilization,Disaster Preparedness:,Trainings or Capability Program,-,253403.58,-,-,-,253403.58
Utilization,Disaster Preparedness:,Provision for Relief Supplies and Operations,-,1581675,-,-,-,1581675
Utilization,Disaster Preparedness:,Provision for the Restoration of Lifeline Facilities,-,18360,-,-,-,18360
Utilization,Disaster Preparedness:,Provision for the Rescue and Other Emergency Operations,-,203161.75,-,-,-,203161.75
Utilization,Preventive or Migitation and Other Infra Support Projects,Improvement or Enhancement of PDRRMD or DPCEN,-,22806.5,-,-,-,22806.5
Utilization,Preventive or Migitation and Other Infra Support Projects,Enhancement and or or Repair Communication Facilities and Early Warning System,-,165589,-,-,-,165589
Utilization,Preventive or Migitation and Other Infra Support Projects,"Brgy Halmonte River Control project, San Andres",-,560,-,-,-,560
Utilization,Preventive or Migitation and Other Infra Support Projects,"Improvement of Upper Sto. Domingo Rd. and Drainage, Phase I",-,4223.8,-,-,-,4223.8
Utilization,Preventive or Migitation and Other Infra Support Projects,"Completion of Porot Evacuation, Porot Evacuation Center, Pandan",-,4000,-,-,-,4000
Utilization,Preventive or Migitation and Other Infra Support Projects,"Barangay San Miguel Evacuation Center cum Barangay Hall, Panganiban",-,400,-,-,-,400
Utilization,Preventive or Migitation and Other Infra Support Projects,"San Miguel Evacuation Center, Phase I",-,1900,-,-,-,1900
Utilization,Preventive or Migitation and Other Infra Support Projects,"Dredging of Swamp to serve as Fisherman's Anchor Area, P. Teston, Baras",-,500,-,-,-,500
Utilization,Preventive or Migitation and Other Infra Support Projects,"Eastern Cavinitan Drainage System, Virac",-,4900,-,-,-,4900
Utilization,Preventive or Migitation and Other Infra Support Projects,"Agban Evacuation Center, Baras",-,1212.4,-,-,-,1212.4
Unutilized Balance,Unutilized Balance,Unutilized Balance,8399747,32858772.83,-,-,-,41253519.83
