month,functions_or_programs_or_projects_1,functions_or_programs_or_projects_2,code,appropriations,allotments,obligations,balances_of_appropriations,balances_of_allotments
April,Capital Outlay,"Furniture, Fixtures Equipment and Books",300,-,-,-,-,-
April,Capital Outlay,Office Equipment,300-1,2003000,2003000,349800,1653200,1653200
April,Capital Outlay,Other Equipment,300-2,-,-,-,-,-
April,Non Office Expenditures,Reserved for Salary Increases,-,13591225,13591225,-,13591225,13591225
April,Non Office Expenditures,Aid to Barangay,969-Aid,315000,315000,-,315000,315000
April,Non Office Expenditures,5 percent Calamity Fund,969-CF,24481739,-,-,24481739,-
April,Financial Expenses,Interest Expenses-PNB Loan,9921-1,-,-,-,-,-
April,Financial Expenses,Interest Expenses-MDFO Loan,9921-2,-,-,-,-,-
April,Debt Amortization,RPTEAP,9921-3,3281395,3281395,556931.5,2724463.5,2724463.5
April,Debt Amortization,PNB,9921-4,-,-,-,-,-
May,Capital Outlay,"Furniture, Fixtures Equipt. and Books",300,-,-,-,-,-
May,Capital Outlay,Office Equipment,300-1,2003000,2003000,1360296,642704,642704
May,Capital Outlay,Other Equipment,300-2,-,-,-,-,-
May,Non Office Expenditures,Reserved for Salary Increases,-,13591225,13591225,-,13591225,13591225
May,Non Office Expenditures,Aid to Barangays,969-Aid,315000,315000,-,315000,315000
May,Non Office Expenditures,5 percent Calamity Fund,969-CF,24481739,-,-,24481739,-
May,Financial Expenses,Interest Expenses-PNB Loan,9921-1,-,-,-,-,-
May,Financial Expenses,Interest Expenses-MDFO Loan,9921-2,-,-,-,-,-
May,Debt Amortization,RPTEAP,9921-3,3281395,3281395,556931.5,2724463.5,2724463.5
May,Debt Amortization,PNB,9921-4,-,-,-,-,-
June,Capital Outlay,"Furniture, Fixtures Equipt. and Books",300,-,-,-,-,-
June,Capital Outlay,Office Equipment,300-1,2003000,2003000,1854746,148254,148254
June,Capital Outlay,Other Equipment,300-2,-,-,-,-,-
June,Capital Outlay,SB No. 1 - Rehab. Of Ogbong-Ananong-Abni FMR,300-3,20000000,-,-,20000000,-
June,Capital Outlay,SB No. 1 - Rehab. Of Batalay-Bote-Carorian FMR,300-4,20000000,-,-,20000000,-
June,Capital Outlay,SB No. 1 - Concreting of Pajo Provincial Road,300-5,5000000,-,-,5000000,-
June,Capital Outlay,SB No. 1 - Repair of SP Session Hall Comf Room,300-6,5000000,-,-,5000000,-
June,Capital Outlay,SB No. 1 - Repair and Rehab. Of Hicming Bridge,300-7,1600000,-,-,1600000,-
June,Capital Outlay,"SB No. 2 - Const. of San Isidro St., SIV",300-8,76275,-,-,76275,-
June,Capital Outlay,SB No. 2 - Const. of CSC Alumni Bldg.-Phase II,300-9,1000000,-,-,1000000,-
June,Non Office Expenditures,Reserved for Salary Increases,-,-,-,-,-,-
June,Non Office Expenditures,Aid to Barangays,969-Aid,315000,315000,-,315000,315000
June,Non Office Expenditures,5 percent Calamity Fund,969-CF,24481739,-,-,24481739,-
June,Financial Expenses,Interest Expenses-PNB Loan,9921-1,-,-,-,-,-
June,Financial Expenses,Interest Expenses-MDFO Loan,9921-2,-,-,-,-,-
June,Debt Amortization,RPTEAP,9921-3,3281395,3281395,556931.5,2724463.5,2724463.5
June,Debt Amortization,PNB,9921-4,-,-,-,-,-
