parliculars_1,parliculars_2,parliculars_3,parliculars_4,reference_check_or_dv_no,date,expense_class,object_of_expenditures,amount
Estimated Revenue from Regular Sources,Estimated Revenue from Regular Sources,Estimated Revenue from Regular Sources,Estimated Revenue from Regular Sources,-,-,-,-,781202940
Calamity Fund,Calamity Fund,Calamity Fund,Calamity Fund,-,-,-,-,39060147
Less: Disbursements,Pre-Disaster Preparedness Programs,Nabunturan Shell Filling Station,Nabunturan Shell Filling Station,662382,9/28/2012,200,761,16566.98
Less: Disbursements,Pre-Disaster Preparedness Programs,Nabunturan Shell Filling Station,Nabunturan Shell Filling Station,660691,8/8/2012,200,761,7554.79
Less: Disbursements,Pre-Disaster Preparedness Programs,Nabunturan Shell Filling Station,Nabunturan Shell Filling Station,661054,8/23/2012,200,761,17460.3
Less: Disbursements,Pre-Disaster Preparedness Programs,Nabunturan Shell Filling Station,Nabunturan Shell Filling Station,660666,8/8/2012,200,761,7981.2
Less: Disbursements,Pre-Disaster Preparedness Programs,Nabunturan Shell Filling Station,Nabunturan Shell Filling Station,661384,9/10/2012,200,761,32545.93
Less: Disbursements,Pre-Disaster Preparedness Programs,"Econg, Jame Kevin Peter et al.","Econg, Jame Kevin Peter et al.",120917416,9/14/2012,200,705,1222
Less: Disbursements,Pre-Disaster Preparedness Programs,Nabunturan Shell Filling Station,Nabunturan Shell Filling Station,662140,9/24/2012,200,761,16509.29
Less: Disbursements,Pre-Disaster Preparedness Programs,"Marats, Marvin et al.","Marats, Marvin et al.",662007,9/25/2012,200,705,1312.9
Less: Disbursements,Pre-Disaster Preparedness Programs,"Donn C, Anloague et al","Donn C, Anloague et al",120713947,7/26/2012,200,705,25000
Less: Disbursements,Pre-Disaster Preparedness Programs,Alejandro Alviola et al,Alejandro Alviola et al,120713948,7/26/2012,200,705,3600
Less: Disbursements,Pre-Disaster Preparedness Programs,Hector Apura,Hector Apura,661369,8/31/2012,200,878,7500
Less: Disbursements,Pre-Disaster Preparedness Programs,Jewel Domactol,Jewel Domactol,661334,8/31/2012,200,878,7500
Less: Disbursements,Pre-Disaster Preparedness Programs,Robert Carlo M.Rafosala,Robert Carlo M.Rafosala,661368,8/31/2012,200,878,7500
Less: Disbursements,Pre-Disaster Preparedness Programs,Marko Florentino Mission,Marko Florentino Mission,661333,8/31/2012,200,878,7500
Less: Disbursements,Pre-Disaster Preparedness Programs,G.E. General Merchandise,G.E. General Merchandise,659597,7/13/2012,200,765,5755.5
Less: Disbursements,Pre-Disaster Preparedness Programs,Shervz Gen. Merchandise,Shervz Gen. Merchandise,660555,6/2/2012,200,765,39134.5
Less: Disbursements,Pre-Disaster Preparedness Programs,M and B Ceniza Petron Service Station,M and B Ceniza Petron Service Station,659239,6/27/2012,200,761,8060.8
Less: Disbursements,Pre-Disaster Preparedness Programs,Nabunturan Shell Filling Station,Nabunturan Shell Filling Station,668777,6/20/2012,200,761,23187.2
Less: Disbursements,Pre-Disaster Preparedness Programs,Nabunturan Shell Filling Station,Nabunturan Shell Filling Station,659366,6/29/2012,200,761,31089.19
Less: Disbursements,Pre-Disaster Preparedness Programs,Nabunturan Shell Filling Station,Nabunturan Shell Filling Station,120611377,6/8/2012,200,761,2048.8
Less: Disbursements,Pre-Disaster Preparedness Programs,Nabunturan Shell Filling Station,Nabunturan Shell Filling Station,659243,6/28/2012,200,761,16486.41
Less: Disbursements,Pre-Disaster Preparedness Programs,Nabunturan Shell Filling Station,Nabunturan Shell Filling Station,659216,6/28/2012,200,761,17022.8
Less: Disbursements,Pre-Disaster Preparedness Programs,"Econg, Jame Kevin Peter et al.","Econg, Jame Kevin Peter et al.",120611769,6/14/2012,200,761,2704
Less: Disbursements,Pre-Disaster Preparedness Programs,Nabunturan Shell Filling Station,Nabunturan Shell Filling Station,659373,6/29/2012,200,761,27229.65
Less: Disbursements,Pre-Disaster Preparedness Programs,Nabunturan Shell Filling Station,Nabunturan Shell Filling Station,659297,6/28/2012,200,761,6856.44
Less: Disbursements,Pre-Disaster Preparedness Programs,Nabunturan Shell Filling Station,Nabunturan Shell Filling Station,659264,6/29/2012,200,761,154780.1
Less: Disbursements,Pre-Disaster Preparedness Programs,"Capuyan, Michael et al","Capuyan, Michael et al",120611942,6/20/2012,200,705,4078.21
Less: Disbursements,Pre-Disaster Preparedness Programs,Sweet Tree Inc.,Sweet Tree Inc.,660285,7/31/2012,200,765,28120
