particulars_1,particulars_2,lrrrmf_quick_response_fund_30_percent,lrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgu,from_other_sources,total
Sources of Funds,Current Appropriations,641624.73,1973251.09,12911521.9,-,-,12911521.9
Sources of Funds,Continuing Appropriations,135665.37,8389179.68,8524845.05,-,-,8524845.05
Sources of Funds,Previous Year's Appropriations Transferred to the Special Trust Fund,3395970,7923930,11319900,-,-,11319900
Sources of Funds,Transfers or Grants,-,-,-,-,-,-
Sources of Funds,Total Funds Available,777290.1,10362430.77,12911521.9,-,-,-
Utilization,Medicines,-,25000,25000,-,-,-
Utilization,Food Supplies,-,1236000,1236000,-,-,-
Utilization,Repair of Evacuation Center,-,-,-,-,-,-
Utilization,Trainings,-,108000,108000,-,-,-
Utilization,Construction of Evacuation Center,-,-,-,-,-,-
Utilization,Equipment,641624.73,-,641624.73,-,-,-
Utilization,Transfers to other LGUs,-,-,-,-,-,-
Utilization,Total Utilization,641624.73,1973251.09,3256500.55,-,-,2614875.82
Utilization,Unutilized Balance,-,-,-,-,-,10296646.08
