particulars_1,particulars_2,particulars_3,appropriation,expenditure
Estimated Revenue from Regular Resources,Estimated Revenue from Regular Resources,Estimated Revenue from Regular Resources,-,-
CDRRM Fund,CDRRM Fund,CDRRM Fund,-,25134447
Less-Disbursements,Pre-Disaster Preparedness Programs,Reserved for Disaster Quick Response Operating Expenses,7531334.1,-
Less-Disbursements,Pre-Disaster Preparedness Programs,"Gasoline, Oil and Lub Expenses",100000,-
Less-Disbursements,Pre-Disaster Preparedness Programs,Office Supplies Expenses,40000,-
Less-Disbursements,Pre-Disaster Preparedness Programs,Other Office Supplies Expenses,50000,-
Less-Disbursements,Pre-Disaster Preparedness Programs,Travelling Expenses,40000,18390
Less-Disbursements,Pre-Disaster Preparedness Programs,Training Expenses,90000,7968
Less-Disbursements,Pre-Disaster Preparedness Programs,Telephone Expenses,3696,308
Less-Disbursements,Pre-Disaster Preparedness Programs,Internet Expenses,30000,6831.31
Less-Disbursements,Pre-Disaster Preparedness Programs,Other Maintenance Operating Expenses,89416.9,29340
Less-Disbursements,Pre-Disaster Preparedness Programs,1 Unit Fax Macchine,10000,9000
Less-Disbursements,Pre-Disaster Preparedness Programs,1 unit Hovercraft,1350000,-
Less-Disbursements,Pre-Disaster Preparedness Programs,Fire Hydrants,100000,-
Less-Disbursements,Pre-Disaster Preparedness Programs,"Constructionof River Dike at P-2, Brgy 24 - A (Beside Bagtasos'  Ressidence)",3000000,-
Less-Disbursements,Pre-Disaster Preparedness Programs,"Construction of Additional River Control Dike Beside Soriano, Cmpd Brgy 24-A (Approaching Gahub Bridge, National Highway",2000000,-
Less-Disbursements,Pre-Disaster Preparedness Programs,"Construction of AdditionalRiver Control Dike at TESDA, Brgy. Lunao",1000000,-
Less-Disbursements,Pre-Disaster Preparedness Programs,Rehabilitation of City Streets Drainage Canals,3000000,1943848.09
Less-Disbursements,Pre-Disaster Preparedness Programs,Construction of Additional River Control Dike at Brgy.8,1200000,-
Less-Disbursements,Pre-Disaster Preparedness Programs,Construction of Additional River Control Dike at Brgy.9,2000000,-
Less-Disbursements,Pre-Disaster Preparedness Programs,Construction of Upper Kahulogan River Control Dike at Brgy. 26,3500000,-
Less-Disbursements,Total,Total,25134447,-
Less-Disbursements,Total Expenditures,Total Expenditures,-,2015685.4
Less-Disbursements,Total Expenditures,Balance of Appropriation Over Expenditures,-,23118761.6
