particulars_1,particulars_2,particulars_3,appropriation,expenditures
CDRRM Fund,CDRRM Fund,CDRRM Fund,-,27437478
Less-Disbursements,Pre-Disaster Preparedness Programs,Reserved for Disaster Quick Response Fund (30% Program),8231243.4,7505
Less-Disbursements,Pre-Disaster Preparedness Programs,Emergency Assistance (After Disaster or Calamity) ,3779184.6,-
Less-Disbursements,Pre-Disaster Preparedness Programs,Reproduction of Calamity Preparedness Post or Flyers and other Info Drive,30000,-
Less-Disbursements,Pre-Disaster Preparedness Programs,Uniform and Other Identification materials,50000,8250
Less-Disbursements,Pre-Disaster Preparedness Programs,Fabrication of Emergency Signage of all Public and Government Building,50000,-
Less-Disbursements,Pre-Disaster Preparedness Programs,Emergency and Medical Supplies,100000,400
Less-Disbursements,Pre-Disaster Preparedness Programs,Maintenance of Super Tanker #10,200000,26723.5
Less-Disbursements,Pre-Disaster Preparedness Programs,Mountain Search and Rescue Training,50000,-
Less-Disbursements,Pre-Disaster Preparedness Programs,BDRRMC Emergency Responders Training and Competitiion of 79 Brgy.,50000,27241
Less-Disbursements,Pre-Disaster Preparedness Programs,Basic Life Support Training and Other Related Activities,50000,-
Less-Disbursements,Pre-Disaster Preparedness Programs,Fire Fighting and Competition of 79 Brgy.,50000,-
Less-Disbursements,Pre-Disaster Preparedness Programs,Water Search and Rescue Training,50000,33593.5
Less-Disbursements,Pre-Disaster Preparedness Programs,Local Government Emergency Responders Training and Competition,50000,-
Less-Disbursements,Pre-Disaster Preparedness Programs,Nutrition and Psycho Social Training Workshop,20000,-
Less-Disbursements,Pre-Disaster Preparedness Programs,Travelling Expenses Pre - Disaster Risk Training of Personnel,100000,6928
Less-Disbursements,Pre-Disaster Preparedness Programs,Training Expenses Pre - Disaster Risk Training of Personnel,50000,-
Less-Disbursements,Pre-Disaster Preparedness Programs,Fire Extinguisher for all Government Offices within City Hall Building,100000,-
Less-Disbursements,Pre-Disaster Preparedness Programs,Fire Fighting Suite (2 sets),121250,-
Less-Disbursements,Pre-Disaster Preparedness Programs,Spreader with Accessories,250000,-
Less-Disbursements,Pre-Disaster Preparedness Programs,1 unit Motorcycle XRM (125),75000,68200
Less-Disbursements,Pre-Disaster Preparedness Programs,Rehabilitation of Patrol Boat,170000,-
Less-Disbursements,Pre-Disaster Preparedness Programs,Emergency Warning Devices,100800,-
Less-Disbursements,Pre-Disaster Preparedness Programs,1 unit Camera with Complete kit (waterproof),30000,22000
Less-Disbursements,Pre-Disaster Preparedness Programs,3 units Portable Chainsaw,75000,-
Less-Disbursements,Pre-Disaster Preparedness Programs,Rescue and other Related Equipment,200000,-
Less-Disbursements,Pre-Disaster Preparedness Programs,Construction of Drainage Canal - City Wide,2000000,1657641.63
Less-Disbursements,Pre-Disaster Preparedness Programs,Construction of River Control Dike at Brgy. 24,2000000,-
Less-Disbursements,Pre-Disaster Preparedness Programs,Construction of River Control Dike at Brgy. 16,2000000,-
Less-Disbursements,Pre-Disaster Preparedness Programs,Declogging of City Canals,1700000,623409.4
Less-Disbursements,Pre-Disaster Preparedness Programs,Riprapping Works at PUNDASAN High School,370000,205337.55
Less-Disbursements,Pre-Disaster Preparedness Programs,"Construction of GI Pipe with Interlink Wire Railing of Dike, Brgy.24-A",85000,23464.5
Less-Disbursements,Pre-Disaster Preparedness Programs,De - silting of Rivers and Declogging of Canals,2000000,-
Less-Disbursements,Pre-Disaster Preparedness Programs,Construction of Cross Drainage or Culvert or Balancer along Trinidad Baol St. along Brgy. ,500000,353861.05
Less-Disbursements,Pre-Disaster Preparedness Programs,"Construction of Flood Control Canal at Slaughterhouse Vicinity, Brgy 26",1000000,294655.81
Less-Disbursements,Pre-Disaster Preparedness Programs,"Rehabilitation of Flood Control Canal (back of Lipunan Hospital, Brgy 24-A)",1000000,-
Less-Disbursements,Pre-Disaster Preparedness Programs,Gravelling of Subdivision Roads at Catuan Relocation Site,500000,-
Less-Disbursements,Pre-Disaster Preparedness Programs,"Repair and Rehabilitation of River Control Dike at Atayon River, Agay - ayan",250000,-
Less-Disbursements,Total ,Total ,27437478,-
Less-Disbursements,Total Expenditures,Total Expenditures,-,3359210.94
Less-Disbursements,Total Expenditures,Balance of Appropriation Over Expenditures,-,24078267.06
