particulars_1,particulars_2,ldrrmf_quick_response_fund_qrf_30_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgus,from_other_sources,total
Source of Funds,Current Appropriation,5715063.5,13335148.15,-,-,-,19050211.65
Source of Funds,Continuing Appropriation,-,-,-,-,-,-
Source of Funds,Previous Year's Appropriation transferred to the special Trust Fund CY 2010,-,18848987.5,-,-,-,18848987.5
Source of Funds,Previous Year's Appropriation transferred to the special Trust Fund CY 2011,-,-,-,-,-,-
Total Funds Available,-,5715063.5,32184135.65,-,-,-,37899199.15
Utilization,Travelling Expenses,-,115588,-,-,-,-
Utilization,Training Expenses,-,175392.85,-,-,-,-
Utilization,"Gasoline, Oil and Lubricants",-,287062.08,-,-,-,-
Utilization,Other Office Supplies,-,48410,-,-,-,-
Utilization,Printing and Binding Expenses,-,950,-,-,-,-
Utilization,Rent Expenses,-,44000,-,-,-,-
Utilization,Representation Expenses,-,90000,-,-,-,-
Utilization,R/M Motor Vehicles,-,190845.95,-,-,-,-
Utilization,Other Maintenance and Operating Expenses,-,32000,-,-,-,-
Utilization,IT Equipment and Software,-,49010,-,-,-,-
Utilization,Construction of Elevated Water Reservoir,-,16635.41,-,-,-,-
Total Utilization,-,-,-,-,-,-,-
-,-,-,1049894.29,-,-,-,1049894.29
