particulars_1,particulars_2,particulars_3,amount
Estimated Revenue from Regular Sources,Estimated Revenue from Regular Sources,Estimated Revenue from Regular Sources,1845000000
Calamity Fund,Calamity Fund,Calamity Fund,92250000
Less-Disbursements,Pre-Disaster Preparedness Program,Maintenance and Other Operating Expenses- 751,11497
Less-Disbursements,Pre-Disaster Preparedness Program,Maintenance and Other Operating Expenses- 753,105475
Less-Disbursements,Pre-Disaster Preparedness Program,Maintenance and Other Operating Expenses- 755,28380.75
Less-Disbursements,Pre-Disaster Preparedness Program,Maintenance and Other Operating Expenses- 761,734191.06
Less-Disbursements,Pre-Disaster Preparedness Program,Maintenance and Other Operating Expenses- 766,1439
Less-Disbursements,Pre-Disaster Preparedness Program,Maintenance and Other Operating Expenses- 772,167076.8
Less-Disbursements,Pre-Disaster Preparedness Program,Maintenance and Other Operating Expenses- 783,297770
Less-Disbursements,Pre-Disaster Preparedness Program,Maintenance and Other Operating Expenses- 841,96238
Less-Disbursements,Pre-Disaster Preparedness Program,Maintenance and Other Operating Expenses- 878,4997974.31
Less-Disbursements,Pre-Disaster Preparedness Program,Maintenance and Other Operating Expenses- 969,930977.48
Less-Disbursements,Pre-Disaster Preparedness Program,Capital Outlay- 223,217496.4
Less-Disbursements,Pre-Disaster Preparedness Program,Capital Outlay- 229,59000
Less-Disbursements,Pre-Disaster Preparedness Program,Capital Outlay- 241,48903360
Less-Disbursements,Post-Disaster Programs,Maintenance and Other Operating Expenses- 758,25400649.4
Less-Disbursements,Post-Disaster Programs,Maintenance and Other Operating Expenses- 765,499000
Less-Disbursements,Post-Disaster Programs,Maintenance and Other Operating Expenses- 761,276605
Less-Disbursements,Post-Disaster Programs, Maintenance and Other Operating Expenses- 878,1195500
Total,Total,Total,83922630.2
