particulars_1,particulars_2,lrrmf_quick_response_fund_30_percent,lrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgu,from_other_sources,total
Sources of Funds,Current Appropriations,14935961.4,34850576.6,-,-,-,49786538
Sources of Funds,Continuing Approprations,19584906.84,15001046.35,-,-,-,34585953.19
Sources of Funds,Previous Year's Appropriations transferred to the Special Trust Fund,-,-,-,-,-,-
Sources of Funds,Transfers or Grants,-,-,-,-,-,-
Sources of Funds,Total Funds Available,34520868.24,49851622.95,-,-,-,84372491.19
Utilization ,Medicines,-,-,-,-,-,-
Utilization ,Food Supplies,-,-,-,-,-,-
Utilization ,Repair of Evacuation Center,-,-,-,-,-,-
Utilization ,Trainings,-,173024,-,-,-,173024
Utilization ,Construction of Evacuation Center,-,-,-,-,-,-
Utilization ,Equipment,-,-,-,-,-,-
Utilization ,Transfer to other LGUs,-,-,-,-,-,-
Utilization ,Total Utilization,-,173024,-,-,-,173024
Utilization ,Unutilized Balance,34520868.24,49678598.95,-,-,-,84199467.19
