particulars_1,particulars_2,ldrrmf_quick_response_fund_30_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgu,total
Sources of Funds,Sources of Funds,Sources of Funds,Sources of Funds,Sources of Funds,Sources of Funds,-
Sources of Funds,Current Appropriation,8290797.2,19345193.46,-,-,27635990.66
Sources of Funds,Continuing Appropriation ,-,-,-,-,-
Sources of Funds,Previous Appropriation Transferred to the Special Trust Fund,-,29048031.82,-,-,29048031.82
Total Fund Available,Total Fund Available,8290797.2,48393225.28,-,-,56684022.48
Utilizaion,Utilizaion,Utilizaion,-,-,-,-
Utilizaion,Trainings or Seminars,-,494031.5,-,-,494031.5
Utilizaion,Equipment,-,592833,-,-,592833
Utilizaion,"Rehabilitation or Restoration (drainage, streetlights,etc)",-,21280746.77,-,-,21280746.77
Total Utilization,Total Utilization,Total Utilization,22367611.27,-,-,22367611.27
Unutilized Balance,Unutilized Balance,8290797.2,26025614.01,-,-,34316411.21
