particulars_1,particulars_2,ldrrmf_quick_response_fund_30_percent,ldrrmf_mitigation_fund_70_percent,total,moa_or_project_agreement_or_reference_number_if_any,remarks
Sources of Funds,Sources of Funds,-,-,,-,-
Sources of Funds,Current Appropriation,"8.290,797.20",19345193.46,"27,635.990.66",-,-
Sources of Funds,Continuing Appropriation,-,-,-,-,-
Sources of Funds,Previous Year Appropropriation transferred to the Special Trust Fund,-,29048031.82,"29,048,032.00",-,-
Sources of Funds,Donations-Cash,-,-,-,-,-
Sources of Funds,Donations-In Kind,-,-,-,-,-
Sources of Funds,Donations-Transfers /Grants,-,-,-,-,-
Sources of Funds,Others,-,-,-,-,-
Total Fund Available,Total Fund Available,8290797.2,48393225.28,"56,684,022.00",-,-
Utilization,Utilization,-,-,-,-,-
Utilization,Medicines,-,-,-,-,-
Utilization,Food Supplies,-,-,-,-,-
Utilization,Repair of Evacuation Center,-,-,-,-,-
Utilization,"Institutional/Capacity Development (Ex. Trainings, environmental
assessment and others related activities)",-,596989.5,"596,989.50",-,-
Utilization,"Construction/Rehabilitation/Restoration (Drainage, Streetlights, etc.)",-,21280746.77,"21,280,747.00",-,-
Utilization,Equipment,-,2891033,"2,891,033.00",-,-
Utilization,Transfers to other LGUs,-,-,-,-,-
Utilization,Others,-,-,-,-,-
Total Utilization,Total Utilization,-,24768769.27,"24,768,769.00",-,-
Unutilized Balance,Unutilized Balance,8290797.2,23624456.01,-,-,-
