particulars_1,particulars_2,lrrmf_quick_response_fund_30_percent,lrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgus,from_other_sources,total
Source of Funds,Current Appropriatios ,5759861,13439675,-,-,-,19199536
Source of Funds,Continuing Appropriations,19072580.32,-,-,-,-,19072580.32
Source of Funds,Previous Year Appropriations transferred to the Special Trust Fund,8041755.55,-,-,-,-,8041755.55
Source of Funds,Transfer or Grants,-,-,-,-,-,-
Utilization,Medicines,-,-,-,-,-,-
Utilization,Food Supplies,-,-,-,-,-,-
Utilization,Repair of Evacuation Center,-,-,-,-,-,-
Utilization,Trainings,-,181492,-,-,-,181492
Utilization,Flood Control and Other Disaster Mitigations,-,-,-,-,-,-
Utilization,Equipment,-,694800,-,-,-,694800
Utilization,Disaster Prevention and Mitigation Projects,-,573854,-,-,-,573854
Utilization,Disaster Rehabilitation and Recovery Program,13811791.03,-,-,-,-,13811791.03
Utilization,Institutionalization and Maintenance,-,9175.83,-,-,-,9175.83
Utilization,Transfer to Other LGUs,-,-,-,-,-,-
