particulars_1,particulars_2,ldrrmf_quick_response_fund_30_percent,ldrrmf_mitigation_fund_mooe_70_percent,ldrrmf_capital_outlay_30_percent,ldrrmf_capital_outlay_70_percent,ldrrmf_lumpsum_amount,total
Sources of Funds,Current Appropriation (2013),9979690,6938578,5589634.06,29389844.82,-,51897746.88
Sources of Funds,Continuing Appropriation (2012),-,-,-,-,-,-
Sources of Funds,Unexpended Balances Transferred to the Special Trust Fund (2010 and 2011),9581223.35,5113086.13,-,-,9514550.26,24208859.74
Sources of Funds,Total Funds Available,19560913.35,12051664.13,5589634.06,29389844.82,9514550.26,76106606.62
Utilization,Medicines,-,-,-,-,-,-
Utilization,Food Supplies,-,37500,-,-,-,37500
Utilization,Non - Food Supplies (Office and Computer),-,643856,-,-,-,643856
Utilization,Repair of Evacuation Center,-,-,-,-,-,-
Utilization,Trainings,-,12377,-,-,-,12377
Utilization,Construction of Evacuation Center,-,-,-,-,-,-
Utilization,Equipment,-,-,-,-,-,-
Utilization,Transfers to other LGUs,-,-,400000,-,-,400000
Utilization,Total Utilization,-,693733,400000,-,-,1093733
Utilization,Unutilized Balance,19560913.35,11357931.13,7189634.66,37011256.79,9514550.26,84634286.19
