particulars_1,particulars_2,particulars_3,amount
Calamity Fund,Calamity Fund,Calamity Fund,65419159.45
Special Trust Fund,Special Trust Fund,Special Trust Fund,24208859.74
Less-Disbursement,Less-Disbursement,Less-Disbursement,89628019.19
Less-Disbursement,Maintenance and Other Operating Expenses,Food Supplies,122500
Less-Disbursement,Maintenance and Other Operating Expenses,Office and Computer Supplies,643856
Less-Disbursement,Maintenance and Other Operating Expenses,Relief Goods,50400
Less-Disbursement,Maintenance and Other Operating Expenses,Trainings or Seminar,12377
Less-Disbursement,Maintenance and Other Operating Expenses,Financial Assistance to Fire Victims,906000
Less-Disbursement,Capital Outlays,Transfer to LGUs,400000
Balance,Balance,Balance,87492886.19
