particulars_1,particulars_2,particulars_3,particulars_4,amount,total
Estimated Revenue from Regular Resources,Estimated Revenue from Regular Resources,Estimated Revenue from Regular Resources,Estimated Revenue from Regular Resources,-,574716000
Calamity Fund,Calamity Fund,Calamity Fund,Calamity Fund,-,28735800
Less-Dibursements,Pre-Disaster Prepareddness Programs,Capital Outlay,Flood Controls (256),10000000,-
Less-Dibursements,Pre-Disaster Prepareddness Programs,Capital Outlay,"Waterways, Aqueducts, Seawalls, River Walls, and Other Structures (257)",2000000,-
Less-Dibursements,Pre-Disaster Prepareddness Programs,Capital Outlay,"Irrigations, Canals, Drainage and Other Structures (255)",5000000,-
Less-Dibursements,Pre-Disaster Prepareddness Programs,Maintenance and other Operating Expenses,Subsidy to NGO's or PO's (876),3000000,-
Less-Dibursements,Post-Disaster Programs,Maintenance and other Operating Expenses,Rent Expense - Equipments,350000,-
Less-Dibursements,Post-Disaster Programs,Maintenance and other Operating Expenses,Subsidy to LGU's - Davao Oriental and Compostela Valley (874),1000000,-
Less-Dibursements,Payment of Premiums on Calamity Insurance,Payment of Premiums on Calamity Insurance,Payment of Premiums on Calamity Insurance,-,-
Total Disbursements,Total Disbursements,Total Disbursements,Total Disbursements,-,21350000
Balance,Balance,Balance,Balance,-,7385800
