particulars_1,particulars_2,ldrrmf_quick_response_fund_30_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgu,from_other_sources,total
Sources of Funds,Current Appropriations (CY 2014),19681796.4,45924191.6,-,-,-,65605988
Sources of Funds,Continuing Appropriations (Balances for CY 2011 & 2012),21020239.6,49047225.73,-,-,-,70067465.33
Sources of Funds,Previous Year's  Appropriation transferred to the Special Trust Funds ,9412314.71,22996201.26,-,-,-,32408515.97
Sources of Funds,Total Funds Available,50114350.71,117967618.6,-,-,-,168081969.3
Utilization,Total disbursements for 1st & 2nd Qrtr 2014,375000,12318630,-,-,-,12693630
Utilization,Disbursements this Qrtr:,-,-,-,-,-,-
Utilization,Food Supplies Expense,-,685851.05,-,-,-,685851.05
Utilization,Drugs and Medicines,-,-,-,-,-,-
Utilization,Training Expenses,-,1059339.45,-,-,-,1059339.45
Utilization,"Gasoline, Oil and Lubricants Expense",-,-,-,-,-,-
Utilization,Repair of Evacuation Center,-,-,-,-,-,-
Utilization,Construction of Evacuation Center,-,234587.5,-,-,-,234587.5
Utilization,Equipment,-,1720160,-,-,-,1720160
Utilization,Transfer to other LGU's,-,-,-,-,-,-
Utilization,Other Maintenance and Other Operating Expenses,-,5216854.48,-,-,-,5216854.48
Utilization,Total Utilization (Current & Trust Funds),375000,21235422.48,-,-,-,21610422.48
Grand Total,Grand Total,49739350.71,96732196.11,-,-,-,146471546.8
