particulars_1,particulars_2,particulars_3,amount
Calamity Fund,Calamity Fund,Calamity Fund,33205868.85
Balance forwarded to trust Fund,Balance forwarded to trust Fund,Balance forwarded to trust Fund,16940944.35
Total LDRRMF,Total LDRRMF,Total LDRRMF,50146813.2
Less-Disbursement,Pre-Disaster Preparedness Programs,-,-
Less-Disbursement,Pre-Disaster Preparedness Programs,UX Med Enterprises -Emergency Medical Suppllies,26092
Less-Disbursement,Pre-Disaster Preparedness Programs,JKP2 Safety and Security Products -Rope Rescue Equipment,154000
Less-Disbursement,Pre-Disaster Preparedness Programs,JKP2 Safety and Security Products -Rescue Chain and saw Equipment,88788
Less-Disbursement,Pre-Disaster Preparedness Programs,Emergency Rescue Vehicle,904484
Less-Disbursement,Pre-Disaster Preparedness Programs,Flood Control and Mitigation Structures -Storm Drainage Rehabilitation -Calaug Naga City,2517600
Less-Disbursement,Pre-Disaster Preparedness Programs,Flood Control and Mitigation Structures-Storm Drainage -Calaug and Capilihan,2214200
Less-Disbursement,Pre-Disaster Preparedness Programs,Flood Control and Mitigation Structures-Cross Drainage Concepcion Pequeña ,676200
Less-Disbursement,Pre-Disaster Preparedness Programs,Flood Control and Mitigation Structures-Cross Drainage Concepcion Pequeña ,656200
Less-Disbursement,Pre-Disaster Preparedness Programs,Flood Control and Mitigation Structures-Slope Protection and Flood Control Dayangdang,631000
Less-Disbursement,Pre-Disaster Preparedness Programs,"Flood Control and Mitigation Structures -Drainage -Pagdaicon, Mabolo",573400
Less-Disbursement,Pre-Disaster Preparedness Programs,Flood Control and Mitigation Structures-Draiange Lower Carolina,213600
Less-Disbursement,Pre-Disaster Preparedness Programs,Flood Control and Mitigation Structures-Storm Flow Control and road elevation -Triangulo,501800
Less-Disbursement,Pre-Disaster Preparedness Programs,Flood Control and Mitigation Structures-Storm Flow Control -Drainage Improvement -Liboton,300900
Less-Disbursement,Pre-Disaster Preparedness Programs,Flood Control and Mitigation Structures-Cross Drainage -Triangulo,198900
Less-Disbursement,Post Disaster Programs ,Post Disaster Programs ,-
Less-Disbursement,Payment of Premium on Calamity Insurance,"Calamity Insurance Premium -Critical Infastructure, Market Evacutaion Centers",2034000
Less-Disbursement,Total,Total,8980964
Total Balance,Total Balance,Total Balance,41165849
