particulars_1,particulars_2,particulars_3,appropriation,obligation,balance
Less-Disbursements,Pre-Disaster Preparedness Program,Flood Control,9682975.02,3620628.68,6062346.34
Less-Disbursements,Pre-Disaster Preparedness Program,Emergency Operations Center,1495400,148200,1347200
Less-Disbursements,Pre-Disaster Preparedness Program,Trainings,896000,72337,823663
Less-Disbursements,Pre-Disaster Preparedness Program,Public Information,1580000,385938,1194062
Less-Disbursements,Pre-Disaster Preparedness Program,Community Organizing,1700000,-,1700000
Less-Disbursements,Total (70%),Total (70%),15354375.02,4227103.68,11127271.34
Less-Disbursements,Post - Disaster Preparedness Program,Post - Disaster Preparedness Program,-,-,-
Less-Disbursements,Quick Response Fund,Quick Response Fund,6642160.73,-,-
Less-Disbursements,Quick Response Fund,Withdrawal of City Aid (Sunog SMLAO),-,100000,-
Less-Disbursements,Quick Response Fund,Financial Assistance during Typhoon Pablo (Compostela Valley),-,50000,-
Less-Disbursements,Quick Response Fund,Financial Assistance during Typhoon Pablo (Davao Oriental),-,50000,-
Less-Disbursements,Quick Response Fund,To Cover the Expenses during Typhoon Pablo of Ozamis City,-,1500000,-
Less-Disbursements,Total (30%),Total (30%),-,-,4942160.73
