particulars_1,particulars_2,particulars_3,particulars_4,appropriation,obligation,balance
Less-Disbursements,Pre-Disaster Preparedness Programs,Flood Control,Flood Control,6036050,-,-
Less-Disbursements,Pre-Disaster Preparedness Programs,Flood Control,Less-Executive Order No. 037,-,-,-
Less-Disbursements,Pre-Disaster Preparedness Programs,Flood Control,Less-Executive Order No. 19,-,-,-
Less-Disbursements,Pre-Disaster Preparedness Programs,Flood Control,Less-Executive Order No. 19,-,-,-
Less-Disbursements,Pre-Disaster Preparedness Programs,Flood Control,Less-Executive Order No. 47,2405200,-,-
Less-Disbursements,Pre-Disaster Preparedness Programs,Construction of Concrete Fence,Construction of Concrete Fence,144000,-,-
Less-Disbursements,Pre-Disaster Preparedness Programs,Trainings,Trainings,707000,-,-
Less-Disbursements,Pre-Disaster Preparedness Programs,Trainings,Add-Executive Order No. 47,1000000,-,-
Less-Disbursements,Pre-Disaster Preparedness Programs,Trainings,Less-Executive Order No. 19,200000,-,-
Less-Disbursements,Pre-Disaster Preparedness Programs,Purchase of Recue and Life Savings Equipments,Purchase of Recue and Life Savings Equipments,2954380,-,-
Less-Disbursements,Pre-Disaster Preparedness Programs,Purchase of Recue and Life Savings Equipments,Less-Executive Order No. 19,135674,-,-
Less-Disbursements,Pre-Disaster Preparedness Programs,Purchase of Recue and Life Savings Equipments,Add-Executive Order No. 19,602455,-,-
Less-Disbursements,Pre-Disaster Preparedness Programs,Information Education Campaign,Information Education Campaign,580000,-,-
Less-Disbursements,Pre-Disaster Preparedness Programs,Information Education Campaign,Less-Executive Order No. 19,24081,-,-
Less-Disbursements,Pre-Disaster Preparedness Programs,Pre-Emptive Evacuation,Pre-Emptive Evacuation,1000000,1000000,-
Less-Disbursements,Pre-Disaster Preparedness Programs,Emergency Operations Centerg,Emergency Operations Centerg,2755000,2499633,255366.73
Less-Disbursements,Pre-Disaster Preparedness Programs,Community Organizing,Community Organizing,2420544.87,2420544.87,
Less-Disbursements,Pre-Disaster Preparedness Programs,Total (70%),Total (70%),15434474.87,14928821.61,505653.26
Less-Disbursements,Pre-Disaster Preparedness Programs,Post - Disaster Preparedness Programs,Post - Disaster Preparedness Programs,-,-,-
Less-Disbursements,Quick Response Fund ,Quick Response Fund ,Quick Response Fund ,7112989.23,-,-
Less-Disbursements,Quick Response Fund ,Payment of Premiums on Calamity Insurance,Payment of Premiums on Calamity Insurance,-,-,-
Less-Disbursements,Total (30%),Total (30%),Total (30%),-,-,7112989.23
