particulars_1,particulars_2,ldrrmf_quick_response_fund_30_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,previous_years_appropriation_transferred_to_special_trust_fund,from_other_sources,total,
Sources of Funds,Current Appropriation,,15447216.3,-,-,-,22067451.85,
Sources of Funds,Previous Year's Appropriations transferred to the Special Trust Fund CY 2010,-,-,-,7381732.14,-,7381732.14,
Sources of Funds,Previous Year's Appropriations transferred to the Special Trust Fund CY 2011,-,-,-,8526535.2,-,8526535.2,
Sources of Funds,Previous Year's Appropriations transferred to the Special Trust Fund CY 2012,-,-,-,5045938.61,-,5045938.61,
Sources of Funds,Previous Year's Appropriations transferred to the Special Trust Fund CY 2013,-,-,-,7618642.49,-,7618642.49,
Sources of Funds,Total Funds Available,6620235.55,15447216.3,-,28572848.44,-,50640300.29,
Utilization,Prevention and Mitigation,-,2604078,-,20954205.95,-,23558283.95,
Utilization,Preparedness,-,782357.59,-,-,-,782357.59,
Utilization,"Response, Rehabilitation and Recovery",-,368771.5,-,-,-,368771.5,
Utilization,Total Utilization,-,3755207.09,-,20954205.95,-,24709413.04,"20,954,205.95"
Utilization,Unutilized Balance,6620235.55,11692009.21,-,7618642.49,-,25930887.25,
