particulars_1,particulars_2,particulars_3,amount
Local Disaster Risk Reduction and Management Fund,Local Disaster Risk Reduction and Management Fund,Local Disaster Risk Reduction and Management Fund,93673086.35
Less-Disbursements,Pre-disaster Preparednes Programs,Maintenance and Other Operating Epenses,-
Less-Disbursements,Pre-disaster Preparednes Programs,Support to DOC Operation ,540000
Less-Disbursements,Pre-disaster Preparednes Programs,Food Supplies,1105000
Less-Disbursements,Pre-disaster Preparednes Programs,Capital Outlay,-
Less-Disbursements,Pre-disaster Preparednes Programs,"Other Property,Plant and Equipment",19240992
Less-Disbursements,Pre-disaster Preparednes Programs,Firefighting Equipment and Accessories,375070
Less-Disbursements,Pre-disaster Preparednes Programs,IT Equipment and ccessories,50850
Less-Disbursements,Pre-disaster Preparednes Programs,Non Office ,-
Less-Disbursements,Pre-disaster Preparednes Programs,Subsidy to LGU,14756400
Less-Disbursements,Total,Total,36068312
Balance,Balance,Balance,57404774.35
