particulars_1,particulars_2,particulars_3,particulars_4,amount
30% Quick Response Fund,30% Quick Response Fund,30% Quick Response Fund,30% Quick Response Fund,281020000
70% Preparednes and Mitigation,70% Preparednes and Mitigation,70% Preparednes and Mitigation,70% Preparednes and Mitigation,65571800
Total LDRRMF,Total LDRRMF,Total LDRRMF,Total LDRRMF,93674000
Less-Disbursements,Pre-disaster Preparedness Programs,Maintenance and Other Operating Expenses,Support to DOC Operation,720000
Less-Disbursements,Pre-disaster Preparedness Programs,Maintenance and Other Operating Expenses,Seminar and Training Expenses,2135285
Less-Disbursements,Pre-disaster Preparedness Programs,Maintenance and Other Operating Expenses,"Repair and Maintenance-Roads, Highways and and Bridges",60040
Less-Disbursements,Pre-disaster Preparedness Programs,Maintenance and Other Operating Expenses,Food Supplies,1105000
Less-Disbursements,Pre-disaster Preparedness Programs,Maintenance and Other Operating Expenses,Subsidy to LGU,14756400
Less-Disbursements,Pre-disaster Preparedness Programs,Capital Outlay,"Other Property, Plant and Equipment",32327632
Less-Disbursements,Pre-disaster Preparedness Programs,Capital Outlay,Firefighting Equipment and Accessories,31600
Less-Disbursements,Pre-disaster Preparedness Programs,Capital Outlay,IT Equipment and Accessories,134650
Less-Disbursements,Pre-disaster Preparedness Programs,Capital Outlay,Watercrafts,301490
Subtotal,Subtotal,Subtotal,Subtotal,51572097
Balance,Balance,Balance,Balance,42100989.35
