particulars_1,particulars_2,ldrrmf_quick_response_fund_30_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgu,from_other_sources,total
Sources of Funds,Current Appropriation,6159520.8,13966371.2,-,-,-,20125892
Sources of Funds,Continuing Appropriation,-,1142807.34,-,-,-,1142807.34
Sources of Funds,Previous Year's Appropriation transferred to the special Fund,9623721.32,4899533.87,-,-,-,14523255.19
Sources of Funds,Transfers or Grants,-,-,-,-,3700,3700
Sources of Funds,Total Funds Available,15783242.12,20008712.41,-,-,3700,35795654.53
Utilization,Quick Response,-,-,-,-,-,-
Utilization,Quick Response - Preparedness - Various Training and Drills,-,-,-,-,-,-
Utilization,Quick Response - Preparedness - Tree and Mangrove Planting,-,-,-,-,-,-
Utilization,"Quick Response - Preparedness - River, Creeks and Drainage clearing or declogging or construction and repair",-,571540,-,-,-,571540
Utilization,Quick Response - Preparedness - Financial assistance to affected families of river and creek clearing,-,-,-,-,-,-
Utilization,"Quick Response - Preparedness - Acquisition of equipment for emergency, search, rescue and recovery operation",-,-,-,-,-,-
Utilization,Quick Response - Preparedness - Construction of DRRM Center or Office,-,2554233,-,-,-,2554233
Utilization,Quick Response - Preparedness - Maintenance and Other Operating Expenses,-,309828.4,-,-,-,309828.4
Utilization,"Quick Response - Rehabilitation - Rehabilitation of damaged public infrastructures, agricultural crops or livestock and fishery",-,-,-,-,-,-
Utilization,Quick Response - Rehabilitation - Assistance to families with damaged dwelling units,-,-,-,-,-,-
Utilization,Quick Response - Rehabilitation - Psychological and emotional theraphy or counseling,-,-,-,-,-,-
Total Utilization, -,0,3435601.4,-,-,-,3435601.4
