particulars_1,particulars_2,total
Estimated Revenue from Regular Resource,Estimated Revenue from Regular Resource,837765387.1
Calamity Fund,Calamity Fund,41888269.36
Less-Disbursement,Pre-Disaster Preparedness Programs,-
Less-Disbursement,Pre-Disaster Preparedness Programs - 1000 pcs Survival Kit distributed to Barangays,476000
Less-Disbursement,Pre-Disaster Preparedness Programs - Vehicles for City Disaster Risk Reduction Council,2910560
Less-Disbursement,Pre-Disaster Preparedness Programs - Rice distributed to victims of Habagat,1462500
Less-Disbursement,Post Disaster Programs,-
Less-Disbursement,Payments of Premiums on Calamity Insurance,-
Sub-total,Sub-total,4849060
Balance,Balance,37039209.36
