particulars_1,particulars_2,account_code,quick_response_fund,mitigation_fund_mooe,total
Funds Available,Current Appropriation,-,10803001.47,25207003.43,36010004.9
Funds Available,Continuing Appropriation,-,7426309.59,17328055.71,24754365.3
Funds Available,Total Funds Available,-,18229311.06,45535059.14,60764370.2
Expenditures,Office Equipment,221,94000,-,94000
Expenditures,Furniture and Fixtures,222,49787,-,49787
Expenditures,IT Equipment and Software,223,-,-,-
Expenditures,Hospital Equipment,232,-,-,-
Expenditures,"Public Infrastructures- Roads, Highways and Bridges",251,-,-,-
Expenditures,"Public Infrastructure- Irrigation, Canal and Waterways",255,-,-,-
Expenditures,"Waterways, Adequets, Seawalls, Riverwalls, and Others",257,-,5985038,5985038
Expenditures,Travelling Expense,751,-,-,-
Expenditures,Office Supplies Expenses,755,94584,-,94584
Expenditures,Food Supplies Expenses,758,70200,-,70200
Expenditures,Other Supplies Expenses,765,12000,-,12000
Expenditures,Repair and Maintenance- Office Equipment,821,-,-,-
Expenditures,Repair and Maintenance- Furniture and Fixture,822,-,-,-
Expenditures,Repair and Maintenance- IT Equipment and Software,823,-,-,-
Expenditures,Repair and Maintenance- Const. and Heavy Equipment,830,-,-,-
Expenditures,Subsidy to LGU's,874,-,-,-
Expenditures,Other MOOE,969,491700,-,491700
Expenditures,Previous Years Expeditures,-,1327833.5,-,1327833.5
Expenditures,Less Payables,-,440458.2,4586200,-
Expenditures,Total Expenditures,-,2580562.7,10571238,13151800
Unexpended Balance as of December 31 2012,Unexpended Balance as of December 31 2013,-,15648748.36,31963821.14,47612569.5
