particulars_1,particulars_2,ldrrrmf_quick_response_fund_30_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgu,from_other_sources,total
Sources of Funds,Current Appropriations,13762800,32113200,-,-,-,45876000
Sources of Funds,Continuing Appropriations,-,9746648,-,-,-,9746648
Sources of Funds,Previous Year's Appropriations Transferred (CY2012) ,-,18251229.23,-,-,-,18251229.23
Sources of Funds,to the Special Trust Fund (CY 2013),-,14132969.99,-,-,-,14132969.99
Sources of Funds,Transfers or Grants,-,-,-,-,-,-
Sources of Funds,Total Funds Available,13762800,74244047.22,-,-,-,88006847.22
Utilization,Equipment,-,-,-,-,-,-
Utilization,Construction and Heavy Equipment,-,11490000,-,-,-,11490000
Utilization,Watercrafts,-,267500,-,-,-,267500
Utilization,Other Structure,-,1983158,-,-,-,1983158
Utilization,"Irrigations, Canals, and Waterways, Flood Controls",-,3959176,-,-,-,3959176
Utilization,"CIP-Waterwways, Aqueducts, Seawall, Riverwalls, etc.",-,2796860,-,-,-,2796860
Utilization,CIP-Flood Controls,-,2091055,-,-,-,2091055
Utilization,Subsidy to  Other Funds,-,1015000,-,-,-,1015000
Utilization,Medicines,-,-,-,-,-,-
Utilization,Food Supplies,-,-,-,-,-,-
Utilization,Repair of Evacuation Center,-,-,-,-,-,-
Utilization,Trainings,-,-,-,-,-,-
Utilization,Construction of Evacuation Center,-,6967200,-,-,-,6967200
Utilization,Transferred to other LGU's ,-,-,-,-,-,-
Utilization,Other MOOE,-,4472392.8,-,-,-,4472392.8
Utilization,Total Utilization,-,35042341.8,-,-,-,35042341.8
Utilization,Unutilized Balance,13762800,39201705.42,-,-,-,52964505.42
