code,functions_programs_projects_activities_1,functions_programs_projects_activities_2,appropriation,allotments,appropriation_balance,obligation,unobligated_balances
-,9940 Disater Risk Reduction Management,-,-,-,-,-,-
751,Maintenance and Other Operating Expenses,Traveling Expenses - Local,171280.143,42820.04,128460.1,13351,29469.04
753,Maintenance and Other Operating Expenses,Training Expenses,1733644,433411,1300233,26048,407362.52
755,Maintenance and Other Operating Expenses,Office Supplies Expenses,210708.1,52677.02,158031.08,-,52677.02
761,Maintenance and Other Operating Expenses,"Gasoline, Oil and Lubricants Expenses",280092.72,95023.18,285069.56,-,95023.18
763,Maintenance and Other Operating Expenses,Textbooks and Instructional Materials Expenses,300000,75000,225000,-,75000
765,Maintenance and Other Operating Expenses,Other Supplies Expenses,31392.16,7848.04,23544.12,-,7848.04
771,Maintenance and Other Operating Expenses,Postage and Deliveries,5000,1250,3750,-,1250
772,Maintenance and Other Operating Expenses,Telephone Expenses - Landline,30000,7500,22500,1221.82,6278.18
773,Maintenance and Other Operating Expenses,Telephone Expenses - Mobile,25200,6300,18900,1200,5100
774,Maintenance and Other Operating Expenses,Internal Expenses,15000,3750,11250,1658.5,2091.5
781,Maintenance and Other Operating Expenses,Printing and Binding Expenses,180902,45225.5,135676.5,-,45225.5
829,Maintenance and Other Operating Expenses,Repair and Maintenance - Communication Equipment,100000,25000,75000,-,25000
841,Maintenance and Other Operating Expenses,Repair and Maintenance - Motor Vehicle,50000,12000,37500,-,12500
844,Maintenance and Other Operating Expenses,Repair and Maintenance - Watercrafts,30000,7500,22500,-,7500
877,Maintenance and Other Operating Expenses,Subsidy to Other Funds,500000,125000,375000,-,125000
969,Maintenance and Other Operating Expenses,Other Maintenance and Other Operating Expenses,4940546.63,1235136.66,3705409.97,-,1235136.66
-,Maintenance and Other Operating Expenses,Grand Total,8703765.77,2175941.44,6527824.33,43479.8,2132461.64
-,Recapitulation,Personal Services,-,-,-,-,-
-,Recapitulation,MOOE,8703765.77,2175941.44,6527824.33,43479.8,2132461.64
-,Recapitulation,Capital Outlay,-,-,-,-,-
-,Recapitulation,Financial Expenses,-,-,-,-,-
222,Capital Outlay,Furniture and Fixtures,75000,-,75000,-,0
223,Capital Outlay,IT Equipment and Software,460000,-,460000,-,0
224,Capital Outlay,Library Books,60000,-,60000,-,0
229,Capital Outlay,Communication Equipment and Software,200000,-,200000,-,0
240,Capital Outlay,Other Machineries and Equipment,1230733.38,-,1230733.38,-,0
241,Capital Outlay,Motor Vehicle,1300000,-,1300000,-,0
244,Capital Outlay,Watercrafts,1021001,-,1021001,-,0
251,Capital Outlay,"Roads, Highways and Bridges",3446047.64,-,3446047.64,-,0
255,Capital Outlay,"Irrigation, Canals and Laterals",3100500,-,3100500,-,0
256,Capital Outlay,Flood Controls,1400000,-,1400000,-,0
257,Capital Outlay,"Waterways,Aqueducts, Seawalls, River Walls and Other",2000000,-,2000000,-,0
-,Capital Outlay,Grand Total,14293282.02,-,14293282.02,-,0
-,Recapitulation,Personal Services,-,-,-,-,-
-,Recapitulation,MOOE,-,-,-,-,-
-,Recapitulation,Capital Outlay,14293282.02,-,14293282.02,-,0
-,Recapitulation,Financial Expenses,-,-,-,-,-
