particulars_1,particulars_2,particulars_3,balance,general_fund
Cash Flow Operating Activities,Cash Inflows,Cash Adjustment,427027.94,-
Cash Flow Operating Activities,Cash Inflows,Collections,18930583.6,-
Cash Flow Operating Activities,Cash Inflows,Donations,53606491.55,-
Cash Flow Operating Activities,Cash Inflows,Total Cash Inflows,-,499584263.1
Cash Flow Operating Activities,Cash Outflows,Deposits,19182563.03,-
Cash Flow Operating Activities,Cash Outflows,Liquidation of Cash Advance,53107407.14,-
Cash Flow Operating Activities,Cash Outflows,Cash Adjustments,215285852.8,-
Cash Flow Operating Activities,Cash Outflows,Disbursement,168845026.7,-
Cash Flow Operating Activities,Cash Outflows,Other Non-Cash Adjustment,62859,-
Cash Flow Operating Activities,Cash Outflows,Total Cash Outflows,-,456483708.6
Cash Provided by Operating Activities,Cash Provided by Operating Activities,Cash Provided by Operating Activities,-,43080654.49
Cash Flow from Investing Activities,Cash Outflows,Disbursement,28100446.86,-
Cash Flow from Investing Activities,Cash Outflows,Total Cash Outflows,-,28100446.86
Cash Provided by Investing Activities,Cash Provided by Investing Activities,Cash Provided by Investing Activities,-,28100446.86
Cash Flow from Financing Activities,Cash Outflows,Cash Adjustments,4159760.59,-
Cash Flow from Financing Activities,Cash Outflows,Total Cash Outflows,-,4159760.59
Cash Provided by Financing Activities,Cash Provided by Financing Activities,Cash Provided by Financing Activities,-,4159760.59
"Total Cash Provided by Operating, Investment, Financing Activities","Total Cash Provided by Operating, Investment, Financing Activities","Total Cash Provided by Operating, Investment, Financing Activities",-,10820347.04
"Add: cash Balance Beginning January 1, 2013","Add: cash Balance Beginning January 1, 2014","Add: cash Balance Beginning January 1, 2015",-,538554635.1
"Cash Balance Ending June 30, 2013","Cash Balance Ending June 30, 2014","Cash Balance Ending June 30, 2015",-,549374982.2
Cash Flow from Operating Activities,Cash Inflows,Cash Adjustments,379781270.9,-
Cash Flow from Operating Activities,Cash Inflows,Collections,12402113.06,-
Cash Flow from Operating Activities,Cash Inflows,Deposits,14573801.89,-
Cash Flow from Operating Activities,Cash Inflows,Total Cash Inflows,-,406757185.9
Cash Flow from Operating Activities,Cash Outflows,Deposits,4608851.14,-
Cash Flow from Operating Activities,Cash Outflows,Liquidation of cash Advance,26858377.39,-
Cash Flow from Operating Activities,Cash Outflows,Cash Adjustment,213321658.5,-
Cash Flow from Operating Activities,Cash Outflows,Disbursement,128725335.3,-
Cash Flow from Operating Activities,Cash Outflows,Other Non-Cash Adjustment,61845,-
Cash Flow from Operating Activities,Cash Outflows,Total Cash Outflows,-,373576067.3
Cash Provided by Operating Activities,Cash Provided by Operating Activities,Cash Provided by Operating Activities,-,33181118.63
Cash Flow from Investing Activities,Cash Outflows,Disbursement,22215536.1,-
Cash Flow from Investing Activities,Cash Outflows,Total Cash Outflows,-,22215536.1
Cash Provided by Investing Activities,Cash Provided by Investing Activities,Cash Provided by Investing Activities,-,22215536.1
Cash Provided by Financing Activities,Cash Provided by Financing Activities,Cash Provided by Financing Activities,-,0
"Total Cash Provided by Operatig, Investment, Financing Activities","Total Cash Provided by Operatig, Investment, Financing Activities","Total Cash Provided by Operatig, Investment, Financing Activities",-,10965582.53
