particulars_1,particulars_2,particulars_3,ldrrmf_quick_response_fund_30_percent,ldrrmf_mitigation_fund_70_percent_mooe,ldrrmf_mitigation_fund_70_percent_capital_outlay,ndrrmf,from_other_lgus,from_other_sources,total,remarks
Source of Funds,Current Appropriation,Current Appropriation,-,-,-,-,-,-,0,-
Source of Funds,Continuing Appropriation,Continuing Appropriation,-,-,-,-,-,-,0,-
Source of Funds,Previous Year's Appropriation transferred to the Special Trust Fund,Previous Year's Appropriation transferred to the Special Trust Fund,-,-,-,-,-,-,0,-
Source of Funds,Donation,Donation,-,-,-,-,-,-,0,-
Source of Funds,Donation,Cash,-,100000,-,-,-,-,100000,-
Source of Funds,Donation,In Kind,-,-,-,-,-,-,0,-
Source of Funds,Transfers/Grants,Transfers/Grants,-,1040000,-,-,-,-,1040000,-
Source of Funds,Others (Interest on deposit and penalty on supplier),Others (Interest on deposit and penalty on supplier),-,3939.52,-,-,-,-,3939.52,-
Source of Funds,PDRRMF Trust Fund CY (2013),PDRRMF Trust Fund CY (2013),-,-,8974593.16,-,-,-,8974593.16,-
Source of Funds,PDRRMF Trust Fund CY (2012),PDRRMF Trust Fund CY (2012),-,-,17588350.53,-,-,-,17588350.53,-
Source of Funds,Total Funds Available,Total Funds Available,-,1143939.52,26562943.69,-,-,-,27706883.21,-
Utilization,Preparedness,Barangay Preparedness Program,-,-,-,-,-,-,0,-
Utilization,Preparedness,Risk Transfer Program,-,-,-,-,-,-,0,-
Utilization,Preparedness,"Network Strengthening and Capacity Development of PDRRMC, PDRRMO and MDRRMO",-,-,-,-,-,-,0,-
Utilization,Preparedness,Awareness Building and Knowledge Management Program,-,-,-,-,-,-,0,-
Utilization,Preparedness,Disaster Management/Response Operations,-,-,-,-,-,-,0,-
Utilization,Preparedness,Ground Delineation of Faults and Ruptures,-,-,-,-,-,-,0,-
Utilization,Response,Response,-,-,-,-,-,-,0,-
Utilization,Mitigation,Mitigation,-,-,-,-,-,-,0,-
Utilization,Rehabilitation,Rehabilitation,-,-,-,-,-,-,0,-
Utilization,Quick Response Fund,Quick Response Fund,-,-,-,-,-,-,0,-
Utilization,Donation for Typhoon Victim,Donation for Typhoon Pablo Victims,-,50000,-,-,-,-,50000,-
Utilization,Donation for Typhoon Victim,Donation for Typhoon Yolanda Victims,-,50000,-,-,-,-,50000,-
Utilization,Donation for Typhoon Victim,Sub - Total,-,100000,-,-,-,-,100000,-
Utilization,Grants from NEDA,Travelling Expenses,-,193393.24,-,-,-,-,193393.24,-
Utilization,Grants from NEDA,Supplies Expenses,-,126337.1,-,-,-,-,126337.1,-
Utilization,Grants from NEDA,Meals and Accomodation Expenses,-,396000,-,-,-,-,396000,-
Utilization,Grants from NEDA,Fuel,-,43248,-,-,-,-,43248,-
Utilization,Grants from NEDA,Other Expenses,-,-,-,-,-,-,0,-
Utilization,Grants from NEDA,Sub - Total,-,758978.34,0,0,0,0,758978.34,-
Utilization,Trust Fund CY 2013,"1. Construction of Poniete Re-enforced Concrete Slab Bridge, Gigaquit",-,-,-,-,-,-,-,-
Utilization,Trust Fund CY 2013,"2. Construction of Himamali Bridges, Sison",-,-,-,-,-,-,0,-
Utilization,Trust Fund CY 2013,"3. Construction of Flood Control along San Francisco Creek, San Francisco, Mainit",-,-,-,-,-,-,-,-
Utilization,Trust Fund CY 2013,Sub - Total,-,0,0,0,0,0,0,-
Utilization,Trust Fund CY 2012,Flood Mitigation,-,-,-,-,-,-,-,-
Utilization,Trust Fund CY 2012,"Flood Mitigationc - Proposed Provincial Hospital, Placer Phase I",-,-,2729757.35,-,-,-,2729757.35,-
Utilization,Trust Fund CY 2012,"Flood Mitigation - Proposed Provincial Hospital, Placer Phase II",-,-,1906573.64,-,-,-,1906573.64,-
Utilization,Trust Fund CY 2012,Purchased of Power Generating Set (Alternate Power Supply for the Provincial Hospital (Phase I),-,-,1738000,-,-,-,1738000,-
Utilization,Trust Fund CY 2012,"Construction of Bioborjan Composite Concrete/Timber Bridge, San Francisco",-,-,-,-,-,-,-,-
Utilization,Trust Fund CY 2012,"Construction of Oslao Slope Protection, San Francisco",-,-,-,-,-,-,-,-
Utilization,Trust Fund CY 2012,Mainstreaming of DRR CCA in Local Plan,-,-,-,-,-,-,-,-
Utilization,Trust Fund CY 2012,Mainstreaming of DRR CCA in Local Plan - Training Expenses,-,-,893459.65,-,-,-,893459.65,-
Utilization,Trust Fund CY 2012,Mainstreaming of DRR CCA in Local Plan - Travelling Expenses,-,-,12914,-,-,-,12914,-
Utilization,Trust Fund CY 2012,"Improvement of Capitol Retaining Wall, Surigao City",-,-,-,-,-,-,0,-
Utilization,Trust Fund CY 2012,Sub - Total,-,-,7280704.64,-,-,-,7280704.64,-
Utilization,Repair/Improvement of Infrastructure,"Repair of Baybay-Matin-ao Road, Burgos",-,-,933544.03,-,-,-,933544.03,-
Utilization,Repair/Improvement of Infrastructure,Repair of Consuelo-Corazon ,-,-,-,-,-,-,-,-
Utilization,Repair/Improvement of Infrastructure,"Repair of Claver - Sapa Road, Claver",-,-,1703461.45,-,-,-,1703461.45,-
Utilization,Repair/Improvement of Infrastructure,Sub - Total,-,-,2637005.48,-,-,-,2637005.48,-
Utilization,Total Utilization,Total Utilization,-,858978.34,11390079.62,0,0,0,12249057.96,-
Unutilized Balance,Unutilized Balance,Unutilized Balance,-,284961.18,15172864.07,-,-,-,15457825.25,-
