particulars_1,particulars_2,ldrrmf_quick_response_fund_ 30_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgus,from_other_sources,total
Sources of Funds,Current Appropriations,13108172.4,-,-,-,-,-
Sources of Funds,Continuing Appropriations,-,-,-,-,-,-
Sources of Funds,Previous Year's Appropriations transferred to the Special Trust Fund,-,-,-,-,-,-
Sources of Funds,Transfers/Grants,-,-,-,-,-,-
Sources of Funds,Total Funds Available,-,-,-,-,-,-
Utilization,Medicines,-,-,-,-,-,-
Utilization,Food Supplies,-,-,-,-,-,-
Utilization,Repair of Evacuation Center,-,-,-,-,-,-
Utilization,Trainings,-,-,-,-,-,-
Utilization,Construction of Evacuation Center,-,-,-,-,-,-
Utilization,Equipment,-,-,-,-,-,-
Utilization,Transfers to other LGUs,-,-,-,-,-,-
Utilization,Total Utilization,-,-,-,-,-,-
Utilization,Unutilized Balance,-,-,-,-,-,-
