objt,particular,appropriation,allotment,obligation,balance_of_appropriations,balance_of_allotment
9991-00,5% Calamity Fund,-,-,-,-,-
9991-01,Purchase of Assorted Medicines,6000000,6000000,5975843.4,-,24156.6
9991-02,Disaster Relief Operation/Assistance,4700000,2300000,2098496.15,2400000,201503.85
9991-03,Vehicle Maintenance/Repair/Office Supplies/Traveling Expenses,10400000,5300000,3191660.36,5100000,2108339.64
9991-04,Contractual Wages,600000,400000,251185,200000,148815
9991-05,"Purchase of Diesel Fuel, Gasoline and Lubricants",1080000,560000,529146.92,520000,30853.08
9991-06,Repair/Rehabilitation of Infrastructure Damage,4355862.6,1678402.6,887092.03,2677460,791310.57
9991-07,Quick Response Fund/Standby Fund,11879315.4,-,-,11879315.4,-
9991-08,Support/Labor for the Repair Siargao Timber Bridge,43200,43200,43200,-,-
9991-10,Support/Labor for the Repair Magsaysay Timber Bridge,43200,43200,43200,-,-
9991-11,Repair/Rehabilitation of Tigabong Timber Bridge,452940,-,-,-,-
9991-12,Support/Labor for the Repair of Tigabog Timber Bridge,43200,-,-,-,-
-,Total,39587718,16324802.6,13019823.86,23272915.4,3304978.74
