function_or_program_or_activity_or_project,function_or_program_or_activity_or_project,code,amount
Calamity Fund,Calamity Fund,-,16540007.56
DRRM Special Trust Fund,DRRM Special Trust Fund,-,8238570.96
DRRM Special Trust Fund,Total Funds Available,-,24778578.52
Maintenance and other Operating Expense,Travelling Expense,751,18327.96
Maintenance and other Operating Expense,Training Expenses,753,648519.5
Maintenance and other Operating Expense,Office Supplies,755,22063.84
Maintenance and other Operating Expense,Printing and Binding,781,3168.5
Maintenance and other Operating Expense,Repair and Maintenance of IT Equipment,823,2170.00
Maintenance and other Operating Expense,Subsidies and Donations,878,4275.00
Maintenance and other Operating Expense,Other Supplies Expense,765,45880.00
Capital Outlay,Office Equipment,221,89980.00
Capital Outlay,Furniture and Fixtures,222,132600.00
Capital Outlay,Subsidies and Donation,878,-
Total Disbursement ,Total Disbursement ,-,966984.8
Balance DRRM Fund,Balance DRRM Fund,-,23811593.72
