particulars_1,particulars_2,ldrrmf_quick_respone_fund_30_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgu,from_other_sources,total
Sources of Funds,Current Appropropriation,9521518.6,20368815.2,-,-,-,29890333.8
Sources of Funds,Continuing Appropriation,-,8899634.04,-,-,-,8899634.04
Sources of Funds,Prev. Year's Appropriation Transferred ot the Special Trust Fund,-,10723857.06,-,-,-,10723857.06
Sources of Funds,Transfers or Grants,-,-,-,-,-,-
Total Funds Available,Total Funds Available,9521518.6,39992306.3,-,-,-,49513824.9
Utilization,Dengue Awareness Program,-,-,-,-,-,-
Utilization,Construction of protection dikes,-,-,-,-,-,-
Utilization,Construction or installation of dry standpipe system,-,486704.81,-,-,-,486704.81
Utilization,Installation of Harard Warning Signs,-,-,-,-,-,-
Utilization,Tree planting and growing program,-,387600,-,-,-,387600
Utilization,"Disaster Rescue Operation and Management Project (Insurance, Honoraria Enhancement of Rescue",-,7492880.72,-,-,-,7492880.72
Utilization,"Food, Commodities, Shelter Assistance, Hospitalization and Medical Supplies",-,9132714.13,-,-,-,9132714.13
Utilization,"Construction of rooms for lactating mothers and PWDs or Construction of Additional Toilet, Kitchen",-,-,-,-,-,-
Utilization,Purchase of Rescue Vehicles,-,3529600,-,-,-,3529600
Utilization,Recovery and Rehabilitation or Provision of equitable assistance or support to disaster victims per DANA,-,6418965.89,-,-,-,6418965.89
Utilization,Medicines  or Food Supplies,-,123007.61,-,-,-,123007.61
Utilization,Food Supplies,-,1944853,-,-,-,1944853
Utilization,Repair of Evacuation Center,-,498571.25,-,-,-,498571.25
Utilization,Trainings,-,481340,-,-,-,481340
Utilization,Construction of EvacuationfCenter,-,-,-,-,-,-
Utilization,Equipment,-,154409,-,-,-,-
Utilization,Transfers to Other LGU's,-,-,-,-,-,-
Total Utilization,Total Utilization,-,30650646.41,-,-,-,30650646.41
Unutilized Balance,Unutilized Balance,9521518.6,9341659.89,-,-,-,18863178.49
