paarticulars_1,paarticulars_2,paarticulars_3,amount
Calamity Fund,Calamity Fund,Calamity Fund,23785909.29
Less-Disbursements,Pre-Disaster Preparedness Programs,"Trainings and Seminars of Rescue Volunteers, etc.",966514.92
Less-Disbursements,Pre-Disaster Preparedness Programs,Rescue Equipment and Materials,1459917
Less-Disbursements,Pre-Disaster Preparedness Programs,Mitigation Projects,430990.51
Less-Disbursements,Pre-Disaster Preparedness Programs,MOOE,1422930.49
Less-Disbursements,Post-Disaster Programs,Assorted Goodsand Materials for Calamity Victims,2562552.81
Less-Disbursements,Post-Disaster Programs,Rehabilitation Assistance- Calamity Victims,6760661
Less-Disbursements,Post-Disaster Programs,"Meals and Snacks for Rescue Volunteers
",351524
Less-Disbursements,Post-Disaster Programs,Fuel and Lubricants of Vehicles for Rescue Operations,926.79652
Less-Disbursements,Payment of Premiums on Calamity Insurance,Insurance Premiums- Rescue Volunteers,4388
Total,Total,Total,14886275.25
Balance,Balance,Balance,8899634.04   
