bus_operator,case_number,number_of_units
A and B Liner Inc.,2002-4575ST,16
Admiral Transport Corporation,2002-3499,16
Admiral Transport Corporation,2002-3500,5
Admiral Transport Corporation,2002-3502,11
Admiral Transport Corporation,2002-3501,10
Admiral Transport Inc.,2002-6031,7
Aerobus Transport Corporation,2003-1332,9
AJ Sampaguita Liner Company,2004-3419ST,6
Alabang Metro Link Bus,2002-3898ST,3
Alabang Metro Link Bus,2002-3899ST,8
Alabang Metro Link Bus,2002-3902ST,50
Alabang Transport Service Coop Inc.,2003-1213,7
Alabang Transport Service Coop Inc.,2003-1214,2
Alabang Transport Service Coop Inc.,2003-1220,42
Alejandro Irene,2003-1190,13
Alejandro Irene/Arabia Boy Express,2003-0771,5
ALRO Transport Corporation,2002-6497ST,11
Apex Commuter Transport Service Inc.,2004-3509,18
ARR Transportation Inc.,2004-1353,7
Baclaran Metro Link Bus,2002-3482ST,30
Baclaran Metro Link Bus,2002-3897ST,18
Baclaran Metro Link Bus,2002-3901ST,2
Baclaran Metro Link Bus,2002-4099ST,19
Baclaran Metro Link Bus,2002-4101ST,4
Baclaran Metro Link Bus,2003-0315ST,20
Bagong Buhay Transport Service Cooperative,98-5059,33
Bagong Buhay Transport Service Cooperative,2003-0934,15
Bagong Buhay Transport Service Cooperative,99-6786,25
Bagong Buhay Transport Service Cooperative Inc.,2003-2368,14
Barreto Roberto A,2007-3158ST,11
Bataan Transit Bus Co.,99-5774ST,14
Batangas Starexpress Corporation,2009-1081,30
BBL Trans System Inc.,2001-4737,10
BCB Transport Inc.,2003-0464,16
Bensan Transport Corporation,2003-0768,6
Bensan Transport Corporation,2003-1278,20
Bensan Transport Corporation,2003-0757,5
Bensan Transport Corporation,2003-0759,5
Bensan Transport Corporation,2003-1279,3
Bonifacio Transport Corporation,2003-1907,10
Bonifacio Transport Corporation,2003-1908,9
Bovjen Transport Services,2003-1184ST,16
Bus Operator Transport Service Coop,2002-3489,33
Buslink Transport Inc.,2013-0278,18
Cabais Alfredo B Jr.,2004-3169,9
Cabais Alfredo B Jr. (Engr),2002-4750,12
Cando Jimmy Q (Heirs),2003-0721,23
Cando Marita D,2003-1679ST,9
Cando-Valisno Rosalinda M,2004-1197ST1,24
Carating Alberto,2003-0398,36
Carating Alberto,2003-2968,10
Carating Alberto C,2003-1920,20
Cemtrans Services Inc.,2002-4465ST,15
Cemtrans Services Inc.,2007-2161,10
Cemtrans Services Inc.,2008-0363ST,10
Cemtrans Services Inc.,2012-0325,8
Cemtrans Services Inc.,2001-4787ST,9
Cendana Asuncion C,2003-1470,10
Cendana Asuncion C,96-21977ST,10
Chang Angelito A,2002-5355,7
Chang Angelito A(CPC Cancelled),2003-0718ST,21
Cher Transport Corporation,2002-2093,52
Cher Transport Corporation,2002-2826ST,16
Cher Transport Corporation,2002-2347ST-9,9
Cher Transport Development Service Cooperative,2001-3875,8
Cher Transport Development Service Cooperative,2003-1156ST,14
Cher Transport Development Service Cooperative,2002-2704ST,12
