month,time,north_avenue_entry,north_avenue_exit,quezon_avenue_entry,quezon_avenue_exit,gma_kamuning_entry,gma_kamuning_exit,cubao_entry,cubao_exit,santolan_entry,santolan_exit,ortigas_entry,ortigas_exit,shaw_blvd_entry,shaw_blvd_exit,boni_avenue_entry,boni_avenue_exit,guadalupe_entry,guadalupe_exit,buendia_entry,buendia_exit,ayala_avenue_entry,ayala_avenue_exit,magallanes_entry,magallanes_exit,taft_entry,taft_exit
January,03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
January,04:00 - 04:59,3311,0,2087,0,1683,0,3786,0,132,1,145,0,634,1,55,0,88,0,0,0,0,1,0,0,0,0
January,05:00 - 05:59,89876,6927,35705,7929,22858,3631,51810,14272,3148,2689,2934,9967,24301,21299,9485,14894,19023,13552,3462,13581,6218,29176,16450,22354,44986,34528
January,06:00 - 06:59,188291,29783,94056,31096,46711,16439,84614,53070,8480,12116,11826,30227,58346,63419,29107,33020,52849,36112,11041,43697,21159,82117,45513,60863,114779,95310
January,07:00 - 07:59,231147,50877,115242,63518,54054,34233,79824,86063,13492,30400,23356,62198,88576,112035,49022,55852,85563,51862,17053,81815,31392,112123,74395,90992,193307,134469
January,08:00 - 08:59,226841,58225,102102,66999,47913,33976,84225,95113,15762,40566,24454,88214,91563,136470,46448,58862,86741,54818,15340,87857,27368,120543,71981,94956,193706,138314
January,09:00 - 09:59,179787,69766,82292,52779,41466,28749,92022,97224,15044,41471,21002,81886,82570,128078,39371,53596,80074,55126,15634,57450,28338,126546,62507,69377,160859,140933
January,10:00 - 10:59,134505,64543,65200,39706,34641,23385,88763,88262,14943,30626,19434,57085,71153,104165,33319,38433,65415,49455,17487,36606,29178,91821,50198,45114,135039,129130
January,11:00 - 11:59,126589,73715,61487,36858,33033,20852,92492,92395,15392,21453,21885,54220,73364,95149,34386,31417,63044,49777,18967,27619,34081,92358,48369,37894,131072,130359
January,12:00 - 12:59,114562,77462,57987,40862,32601,20583,92431,94990,14301,17366,22831,50599,76288,90681,32397,30838,62100,47860,19383,26738,39840,77242,48997,35344,129145,129614
January,13:00 - 13:59,103631,74490,54521,41612,29403,22802,91306,94673,15359,17652,24547,47474,75196,85555,30681,33157,58757,48254,19804,28565,44543,68963,47163,33589,124682,132739
January,14:00 - 14:59,92383,81506,51778,42493,29993,23139,86601,102898,17064,17048,30559,42633,79192,81579,33671,29568,56883,49387,24486,24320,53746,61524,52119,31626,125037,131207
January,15:00 - 15:59,84238,97538,50892,48383,30509,24488,87692,114706,18310,15678,34642,40310,86122,79988,35602,30588,55355,54264,30560,18694,65705,56495,56689,29344,135225,138387
January,16:00 - 16:59,89493,115556,58104,59121,35070,31451,93482,134904,22337,14954,42528,39333,95230,84679,40403,34912,61353,62359,42754,15830,90045,58503,77408,29735,148010,151585
January,17:00 - 17:59,105424,159408,80467,85420,48530,41660,106510,161341,31239,14908,61508,43668,113598,100677,51918,41479,66385,79309,64927,17494,118413,71653,119666,33195,173105,175808
January,18:00 - 18:59,106590,187629,71787,102989,37525,46988,109075,182282,25997,14537,67794,48458,122465,105210,54750,46997,59167,86925,70258,18002,133268,75507,122403,33336,174026,193642
January,19:00 - 19:59,103915,182546,50986,101713,27337,43958,94695,173575,18985,13140,52527,41202,101995,99552,44678,51596,49844,81728,49532,17471,127701,64665,95324,27809,151430,177402
January,20:00 - 20:59,97573,136514,39863,81694,21108,35228,82450,133105,14681,9778,34473,30839,79485,81101,33827,45823,42922,63000,29355,20845,104117,49620,64758,26116,113525,133057
January,21:00 - 21:59,82511,99523,27652,61763,12778,25240,59976,104902,6635,6792,24879,24030,60878,67259,24692,39810,33117,53933,19050,19438,92582,38465,43082,22579,86449,103935
January,22:00 - 22:59,336,67675,725,33390,810,14330,3562,51489,855,3169,5488,6000,13277,20014,9346,10124,11837,12818,7403,4900,29427,9817,13614,6791,20874,30719
January,23:00 - 23:59,0,247,0,6,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
January,00:00 - 00:59,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
January,01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
January,02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
February ,03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
February ,04:00 - 04:59,4174,0,2452,0,2126,0,4165,3,217,1,96,0,806,0,104,1,134,0,0,0,0,0,0,0,0,0
February ,05:00 - 05:59,91845,6902,35331,7473,23916,3431,50077,13665,3117,2502,3058,10703,24297,21897,9366,14905,19132,13825,3665,13433,6339,30016,16825,22264,43285,32642
February ,06:00 - 06:59,188593,29308,95288,30786,47754,16447,80385,52486,8387,12278,12407,31412,57732,65724,27182,31629,51525,36351,10431,44049,21408,85895,46161,59736,112736,89577
February ,07:00 - 07:59,230452,50799,117156,61616,57643,33470,74034,82440,13856,30640,23940,63368,86954,119126,47621,53469,81469,51841,17032,82466,30226,111947,71150,88894,185564,121453
February ,08:00 - 08:59,224691,56377,98334,65941,49300,33763,82088,90622,15491,39224,25950,90344,89657,145710,45148,56053,84106,53895,15029,84081,26028,122020,70773,92243,186566,128277
February ,09:00 - 09:59,171455,66557,81224,48831,41824,27498,85284,90218,15192,40264,22334,81201,82270,125118,39147,50211,78751,53327,16306,54650,27618,121376,63177,65435,158371,129213
February ,10:00 - 10:59,127417,64059,62762,40879,35068,24324,84039,84236,14385,30599,20084,56428,70819,99903,32349,36343,63686,47890,17380,35319,29276,87055,51498,43935,129363,121246
February ,11:00 - 11:59,119628,70791,59121,36448,33015,20953,85962,86282,15210,20937,22138,52495,70912,91828,33682,29354,61058,48458,19178,27614,33745,88215,48244,37055,123862,125567
February ,12:00 - 12:59,109367,71602,55638,38660,31612,20644,82834,88629,14405,17007,23569,49185,74410,86951,30841,29838,60085,47342,19973,26072,40582,74157,47446,34621,124423,125275
February ,13:00 - 13:59,97210,70965,52032,40773,28786,22102,81901,88891,14739,17774,24372,47233,73303,83638,29622,30804,57018,46790,19599,28958,44179,67654,46298,33702,118646,120832
February ,14:00 - 14:59,87423,77177,50727,41390,29191,22515,81267,98526,16539,16661,29883,41275,75746,77954,32032,28575,53678,48150,23854,24046,53368,60397,50522,31650,123951,127850
February ,15:00 - 15:59,79178,90383,49096,45347,28516,24418,81091,109136,17579,15848,33261,38708,82058,77145,34216,29164,51176,52280,30033,18940,65346,53771,56408,28355,127552,130088
February ,16:00 - 16:59,81830,108178,57211,58219,33481,30306,88755,123983,21769,13812,41324,37482,92648,79822,39496,32635,58331,59385,43566,15473,89853,55433,76878,28018,144414,141133
February ,17:00 - 17:59,99152,147427,78172,81424,47394,39701,101525,150952,30994,13752,60557,42460,111330,96093,50833,39775,63304,77280,67414,16651,116835,69507,122090,32874,168227,171961
February ,18:00 - 18:59,99301,182410,71944,102043,36906,44252,105302,174080,25723,14361,68171,46493,119343,102945,54206,45669,57227,83124,68767,17427,133476,74414,124321,32625,169218,196164
February ,19:00 - 19:59,98841,176050,51111,99689,26707,40270,91202,163812,18715,12416,52471,39751,98607,95174,43871,48622,48365,75117,48687,17501,125597,64004,96368,27262,150826,174421
February ,20:00 - 20:59,93682,138594,39518,84886,20502,36046,76232,136782,14182,9929,34303,32201,79104,82453,33676,46735,42041,62120,29560,21106,107550,52165,68522,26704,115247,134884
February ,21:00 - 21:59,81679,102606,27881,63787,12987,24955,55953,102910,6844,6921,26203,24035,59257,66446,24480,40130,32494,52921,18322,20736,93681,37767,42903,21848,89253,99901
February ,22:00 - 22:59,468,66218,1125,35558,994,14895,3844,53693,793,2910,6039,6334,13466,20978,8977,10103,12151,13791,7462,5234,31366,10605,14046,6749,23159,30731
February ,23:00 - 23:59,3,690,0,142,0,22,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
February ,00:00 - 00:59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
February ,01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
February ,02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
March,03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
March,04:00 - 04:59,3378,0,2600,0,1760,0,5211,5,126,0,131,1,1058,0,243,0,57,0,0,0,0,0,0,0,0,0
March,05:00 - 05:59,98627,8501,41163,8121,25102,3880,56980,16873,3213,2679,4096,11123,27364,23839,11867,16851,20719,15243,5201,15033,7776,34866,18797,24007,46813,37810
March,06:00 - 06:59,210129,33526,106648,34216,51938,18137,92644,59808,8513,13057,14815,35599,65493,71747,32842,35525,55817,41469,13390,49211,24949,95103,52974,64355,126359,100582
March,07:00 - 07:59,240280,58649,120586,69251,57329,36465,77139,90769,14866,31890,27193,67868,94924,121435,51632,58416,87993,55845,18490,88713,32730,124761,77555,97361,205841,135329
March,08:00 - 08:59,227433,63204,103436,68820,48310,34666,85423,100382,16437,40946,27584,95897,97391,147563,49582,63024,91783,58653,16328,92111,29254,135446,76710,100650,206903,145153
March,09:00 - 09:59,182743,69788,84438,51755,42334,28951,95446,96149,15818,40445,22260,85320,85520,129815,40242,53246,82061,56668,16631,58225,28913,132212,64929,69497,165140,139924
March,10:00 - 10:59,131894,67755,66137,43346,35258,24916,90804,90746,14774,30941,20364,59146,73842,107159,35278,38816,67488,51213,19123,37023,30597,96727,52940,46048,137980,129118
March,11:00 - 11:59,125079,75294,62121,39209,34508,21108,93870,92631,15451,20951,22482,55417,76237,98142,34789,31824,64907,50776,20166,28737,35653,94389,50039,38435,130879,129209
March,12:00 - 12:59,114307,77211,58036,42265,32437,21431,92475,93213,14399,17116,24326,52275,79873,92938,33139,32047,63294,49075,21441,28181,43602,82302,49873,36014,130915,132173
March,13:00 - 13:59,104337,74780,55704,43484,30682,22999,91985,96367,15031,18053,25591,50193,78033,88394,31983,33861,59990,48786,21122,29796,47420,73183,49974,35355,129351,131809
March,14:00 - 14:59,91995,82330,52650,44908,30704,23467,89204,104670,16320,16887,31363,44019,81045,82583,34469,31345,57416,51229,25900,25934,56836,66404,55367,33003,132798,132521
March,15:00 - 15:59,82740,97411,52974,50454,30403,25850,88200,118561,17811,16377,35861,41739,89803,82380,36821,33531,56273,54306,31417,20296,69509,59388,60337,30025,138692,140119
March,16:00 - 16:59,89235,118214,60280,62783,36131,31690,93575,134345,21816,14914,43567,40881,99107,85813,41930,34049,61228,63508,45930,16447,98010,60054,80284,30256,152399,152607
March,17:00 - 17:59,104822,161660,85046,88349,49614,43454,109766,167543,31945,14904,64283,46545,118073,104575,54625,41987,68036,81237,72266,18522,126995,75509,127742,35026,182588,190114
March,18:00 - 18:59,106753,190215,76117,105339,39958,47219,114101,183687,26696,14742,72452,49388,126641,109438,57163,49722,60203,88802,70764,20156,142017,81039,132930,35092,181089,207986
March,19:00 - 19:59,109696,189833,56109,108151,29678,45072,98987,175476,19039,13281,54537,43899,108067,103323,45735,55757,51543,82700,51342,21002,134696,70251,101998,30311,158860,191665
March,20:00 - 20:59,96551,139456,41374,84387,22356,35626,82242,137567,14933,9887,37105,33094,83105,84510,35113,49983,44198,63826,30206,23564,111344,54987,69294,27747,119986,141883
March,21:00 - 21:59,81376,105185,28124,65384,12872,26094,59155,107301,7035,7118,27677,22830,62228,67292,24726,37411,33270,54336,19601,19772,98186,38590,43225,22161,88294,105073
March,22:00 - 22:59,929,71230,1132,37298,951,15311,4213,56731,916,3221,6789,6086,14649,22018,9298,11283,12476,15259,7873,4878,34681,11402,14759,6652,23664,34403
March,23:00 - 23:59,4,1964,0,616,0,123,1,48,0,0,0,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0
March,00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
March,01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
March,02:00 - 02:59,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
April,03:00 - 03:59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
April,04:00 - 04:59,2399,-,1768,-,1457,-,3187,1,109,-,95,-,329,-,98,-,21,-,-,-,-,-,-,-,-,-
April,05:00 - 05:59,86274,7659,36032,7369,23204,3635,45292,14094,2832,2336,3659,9284,24816,19036,9685,13931,17764,12993,4733,13184,6828,28731,14870,18763,40273,31859
April,06:00 - 06:59,172853,28403,84589,29459,43571,15907,62552,50894,7222,11058,12546,29350,54517,56279,26054,27485,43919,33854,10806,42850,20517,77748,41070,49703,107909,81636
April,07:00 - 07:59,196483,46188,96431,54579,42500,29955,52701,73513,12293,26698,22263,56787,75265,98726,39089,46019,70398,46078,14977,76227,26972,102748,57326,76544,167055,110361
April,08:00 - 08:59,193502,49947,85132,54745,40384,28323,71461,79209,12992,33231,20730,76540,76546,117387,37984,50613,72624,47373,13144,73401,24686,109465,53840,77020,166245,116114
April,09:00 - 09:59,142820,55893,68026,41443,35567,23403,74507,79591,12507,32578,17704,68057,67464,103681,32068,42310,67555,44692,14208,45699,24390,104077,46707,51248,138374,112319
April,10:00 - 10:59,110401,55944,53763,34876,29665,20047,73789,74713,13355,25570,16332,48863,59838,86982,29209,31566,55590,41400,16225,29558,26416,77917,38376,35076,116560,104979
April,11:00 - 11:59,104318,63237,51455,32063,28828,17299,74358,77024,14950,19255,18514,46738,62564,80223,27217,25111,51960,41556,16191,22829,30920,79352,36796,30280,113026,107765
April,12:00 - 12:59,93278,65074,47968,34476,28753,18349,72833,78192,12125,14108,19520,42821,64794,75537,26239,26294,50094,40616,17494,22597,37111,66411,36513,27831,108006,108218
April,13:00 - 13:59,84632,61134,44135,34498,26092,18899,73899,79737,13238,14720,20803,39698,61375,68355,25012,26501,45750,37884,17183,23654,39923,57703,35119,27012,104769,103061
April,14:00 - 14:59,74933,67399,42127,34838,24730,18006,69427,85403,14553,14761,24967,35875,63976,65816,26761,26516,45027,40306,20518,21192,47990,55683,40326,25553,105552,109193
April,15:00 - 15:59,69588,78732,42440,39578,24989,20246,65583,91795,14894,12778,28992,33033,70751,64966,29000,25854,44417,42576,25519,16214,58786,48498,45155,22477,109274,112645
April,16:00 - 16:59,72954,94866,47509,47212,28392,24837,68252,107163,17503,11547,36759,31891,78288,68053,33218,25923,49990,49461,35700,12897,81017,48105,58766,22929,119327,121190
April,17:00 - 17:59,88675,131189,66564,68499,40494,33790,83762,137153,25607,11741,53061,36512,94407,80619,43907,32479,55696,62934,56606,14721,101696,60239,95897,25893,145431,145342
April,18:00 - 18:59,92650,157604,61857,84133,33426,38014,90217,156775,21984,12147,60265,39771,102672,88578,45024,40474,48920,71316,60230,16433,115308,65431,102368,27611,149208,164129
April,19:00 - 19:59,92210,156598,45277,86754,24298,36133,79861,149084,16254,10635,46287,36149,87964,85153,36047,46142,41717,68335,43016,18148,110354,56606,81936,24079,133723,156230
April,20:00 - 20:59,80858,121459,32536,73076,17704,30223,66981,119745,13295,8122,30981,26892,68734,70581,26219,42515,35337,53064,26034,19471,94174,44816,57723,22767,101190,118271
April,21:00 - 21:59,67147,84631,21967,53243,10142,21074,47873,89560,6129,5819,23512,16889,51759,54578,19111,28868,26973,43774,15773,15081,82706,30535,33832,16927,69726,86996
April,22:00 - 22:59,532,58231,819,29430,766,11986,3052,45082,646,3097,5426,4315,11305,16706,7379,8452,9836,11507,6412,4081,25691,8720,11469,4803,17637,28726
April,23:00 - 23:59,1,374,1,56,1,17,-,40,-,1,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-
April,00:00 - 00:59,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
April,01:00 - 01:59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
April,02:00 - 02:59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
May,03:00 - 03:59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
May,04:00 - 04:59,4833,-,2840,-,2245,1,5076,2,139,2,115,-,875,-,113,-,51,-,-,-,-,-,-,-,-,-
May,05:00 - 05:59,101796,9881,43037,9352,27519,4069,61347,17265,3594,3020,4654,11500,29848,25592,12426,17707,22213,16236,5895,16064,9480,36869,19808,26300,51956,39658
May,06:00 - 06:59,204605,36721,104823,36733,51621,19548,84191,64084,8953,13280,15195,34686,68776,69690,33779,33957,54721,40862,13513,50969,26739,92846,52535,63525,135083,99008
May,07:00 - 07:59,238248,55619,116544,68045,50158,36096,73592,90779,14651,31975,27716,64598,94772,118646,50768,55788,86271,55752,18548,89726,34156,121879,71875,98828,203736,135762
May,08:00 - 08:59,234962,60786,105733,66242,47742,34264,87502,96589,16003,39393,26267,93616,95693,145387,49588,62208,90349,58788,16290,94416,30845,133564,66189,101498,203632,144635
