month,time,north_avenue_entry,north_avenue_exit,quezon_avenue_entry,quezon_avenue_exit,gma_kamuning_entry,gma_kamuning_exit,cubao_entry,cubao_exit,santolan_entry,santolan_exit,ortigas_entry,ortigas_exit,shaw_blvd_entry,shaw_blvd_exit,boni_avenue_entry,boni_avenue_exit,guadalupe_entry,guadalupe_exit,buendia_entry,buendia_exit,ayala_avenue_entry,ayala_avenue_exit,magallanes_entry,magallanes_exit,taft_entry,taft_exit
January,03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
January,04:00 - 04:59,123,0,100,0,77,0,165,0,5,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
January,05:00 - 05:59,3674,232,1480,317,946,118,2001,527,120,92,143,447,891,919,394,489,715,576,111,564,274,1062,509,834,1604,1202
January,06:00 - 06:59,7564,1153,3667,1356,1712,558,2504,1920,307,434,565,1279,2180,2545,1118,1220,2079,1566,445,1517,1015,3004,1565,2305,4250,3245
January,07:00 - 07:59,8706,1910,3677,2456,1408,1221,2054,2976,540,1106,1080,2322,3178,3948,1864,1980,3061,1876,673,2624,1410,3969,2265,3231,6993,4170
January,08:00 - 08:59,8130,2114,3195,2526,1343,1180,2414,3373,566,1376,1095,3402,3193,4872,1737,2052,3065,2053,599,2886,1240,4430,2146,3614,7135,4469
January,09:00 - 09:59,6509,2392,2562,2019,1505,998,2780,3388,535,1419,894,3230,2963,4535,1452,1879,2945,1973,611,2007,1270,4457,1929,2795,5921,4521
January,10:00 - 10:59,4738,2264,2048,1533,1315,834,2909,3037,500,1077,776,2201,2518,3588,1217,1344,2426,1785,629,1269,1222,3365,1511,1756,4659,4285
January,11:00 - 11:59,4541,2458,1971,1417,1289,713,3041,3141,526,713,834,1966,2523,3272,1197,1107,2284,1737,672,978,1363,3206,1514,1404,4563,4149
January,12:00 - 12:59,4096,2514,1879,1481,1250,708,3034,3202,502,583,896,1905,2663,3117,1129,1148,2160,1745,701,974,1534,2817,1511,1313,4387,4369
January,13:00 - 13:59,3716,2468,1712,1496,1127,754,3022,3206,514,587,937,1798,2620,2902,1143,1230,2081,1707,713,985,1714,2439,1455,1276,4416,4313
January,14:00 - 14:59,3231,2734,1580,1610,1095,800,2921,3544,562,568,1144,1576,2684,2701,1234,1110,1983,1787,885,904,2022,2256,1573,1199,4395,4506
January,15:00 - 15:59,2924,3130,1671,1755,1111,807,2948,3816,607,504,1317,1431,2959,2651,1280,1193,1979,1980,1086,692,2490,2039,1755,1040,4587,4493
January,16:00 - 16:59,3145,3987,1951,2268,1354,970,3153,4417,773,461,1594,1447,3394,2823,1471,1216,2165,2336,1385,605,3361,2080,2512,1045,5130,5046
January,17:00 - 17:59,3718,5132,2538,3034,1866,1285,3560,5192,1109,452,2216,1528,3656,3189,1754,1450,2218,2758,2079,660,4023,2358,3621,1119,5867,5716
January,18:00 - 18:59,3698,5928,2309,3421,1480,1369,3699,5587,950,449,2486,1540,3713,3408,1724,1646,1983,3000,2141,657,4562,2500,3862,1183,5916,6629
January,19:00 - 19:59,3735,6347,1860,3764,1128,1464,3436,5836,700,424,1965,1384,3465,3419,1588,1821,1814,3082,1745,723,4617,2372,3154,1152,5475,6357
January,20:00 - 20:59,3541,5115,1453,3353,913,1276,2999,4956,597,342,1399,1143,2943,3062,1243,1796,1575,2555,1133,867,4076,1908,2428,1211,4446,5048
January,21:00 - 21:59,3033,3802,1037,2533,523,923,2249,3924,280,249,1015,891,2243,2565,904,1489,1267,2072,717,819,3645,1413,1436,882,3275,3761
January,22:00 - 22:59,71,2604,51,1460,44,551,195,2004,44,117,325,224,591,848,328,432,546,705,340,234,1311,472,550,315,997,1400
January,23:00 - 23:59,0,82,0,14,0,2,0,4,0,0,0,0,0,0,0,0,19,22,14,9,38,10,21,11,33,39
January,00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
January,01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
January,02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
February,03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
February,04:00 - 04:59,123,0,100,0,77,0,165,0,5,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
February,05:00 - 05:59,3674,232,1480,317,946,118,2001,527,120,92,143,447,891,919,394,489,715,576,111,564,274,1062,509,834,1604,1202
February,06:00 - 06:59,7564,1153,3667,1356,1712,558,2504,1920,307,434,565,1279,2180,2545,1118,1220,2079,1566,445,1517,1015,3004,1565,2305,4250,3245
February,07:00 - 07:59,8706,1910,3677,2456,1408,1221,2054,2976,540,1106,1080,2322,3178,3948,1864,1980,3061,1876,673,2624,1410,3969,2265,3231,6993,4170
February,08:00 - 08:59,8130,2114,3195,2526,1343,1180,2414,3373,566,1376,1095,3402,3193,4872,1737,2052,3065,2053,599,2886,1240,4430,2146,3614,7135,4469
February,09:00 - 09:59,6509,2392,2562,2019,1505,998,2780,3388,535,1419,894,3230,2963,4535,1452,1879,2945,1973,611,2007,1270,4457,1929,2795,5921,4521
February,10:00 - 10:59,4738,2264,2048,1533,1315,834,2909,3037,500,1077,776,2201,2518,3588,1217,1344,2426,1785,629,1269,1222,3365,1511,1756,4659,4285
February,11:00 - 11:59,4541,2458,1971,1417,1289,713,3041,3141,526,713,834,1966,2523,3272,1197,1107,2284,1737,672,978,1363,3206,1514,1404,4563,4149
February,12:00 - 12:59,4096,2514,1879,1481,1250,708,3034,3202,502,583,896,1905,2663,3117,1129,1148,2160,1745,701,974,1534,2817,1511,1313,4387,4369
February,13:00 - 13:59,3716,2468,1712,1496,1127,754,3022,3206,514,587,937,1798,2620,2902,1143,1230,2081,1707,713,985,1714,2439,1455,1276,4416,4313
February,14:00 - 14:59,3231,2734,1580,1610,1095,800,2921,3544,562,568,1144,1576,2684,2701,1234,1110,1983,1787,885,904,2022,2256,1573,1199,4395,4506
February,15:00 - 15:59,2924,3130,1671,1755,1111,807,2948,3816,607,504,1317,1431,2959,2651,1280,1193,1979,1980,1086,692,2490,2039,1755,1040,4587,4493
February,16:00 - 16:59,3145,3987,1951,2268,1354,970,3153,4417,773,461,1594,1447,3394,2823,1471,1216,2165,2336,1385,605,3361,2080,2512,1045,5130,5046
February,17:00 - 17:59,3718,5132,2538,3034,1866,1285,3560,5192,1109,452,2216,1528,3656,3189,1754,1450,2218,2758,2079,660,4023,2358,3621,1119,5867,5716
February,18:00 - 18:59,3698,5928,2309,3421,1480,1369,3699,5587,950,449,2486,1540,3713,3408,1724,1646,1983,3000,2141,657,4562,2500,3862,1183,5916,6629
February,19:00 - 19:59,3735,6347,1860,3764,1128,1464,3436,5836,700,424,1965,1384,3465,3419,1588,1821,1814,3082,1745,723,4617,2372,3154,1152,5475,6357
February,20:00 - 20:59,3541,5115,1453,3353,913,1276,2999,4956,597,342,1399,1143,2943,3062,1243,1796,1575,2555,1133,867,4076,1908,2428,1211,4446,5048
February,21:00 - 21:59,3033,3802,1037,2533,523,923,2249,3924,280,249,1015,891,2243,2565,904,1489,1267,2072,717,819,3645,1413,1436,882,3275,3761
February,22:00 - 22:59,71,2604,51,1460,44,551,195,2004,44,117,325,224,591,848,328,432,546,705,340,234,1311,472,550,315,997,1400
February,23:00 - 23:59,0,82,0,14,0,2,0,4,0,0,0,0,0,0,0,0,19,22,14,9,38,10,21,11,33,39
February,00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
February,01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
February,02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
March,03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
February,04:00 - 04:59,158,0,108,0,71,0,157,0,6,0,2,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0
March,05:00 - 05:59,3598,258,1464,324,858,126,1814,556,107,89,160,440,910,927,410,439,741,579,182,534,338,1084,572,770,1626,1187
March,06:00 - 06:59,7614,1189,3294,1408,1494,576,2174,1983,295,446,576,1255,2242,2618,1097,1098,1988,1486,467,1497,1022,3024,1648,2214,4336,3202
March,07:00 - 07:59,8902,1829,3004,2269,1213,1161,1929,2713,504,1062,1020,2254,3001,3952,1652,1836,2727,1831,652,2564,1329,4148,2138,3075,6721,3965
March,08:00 - 08:59,7989,1997,2702,2395,1226,1128,2191,3145,527,1299,1044,3206,2980,4770,1533,1883,2807,1815,542,2519,1159,4228,1992,3155,6688,4020
March,09:00 - 09:59,6404,2261,2447,1893,1317,910,2569,3228,511,1328,841,2949,2815,4435,1360,1718,2636,1784,555,1741,1145,4339,1837,2406,5558,4259
March,10:00 - 10:59,4641,2111,2005,1515,1242,799,2828,3001,485,1029,730,2153,2476,3578,1202,1332,2398,1712,637,1187,1167,3405,1468,1662,4598,4208
March,11:00 - 11:59,4566,2372,1948,1411,1239,698,2999,3087,484,719,804,1949,2505,3224,1143,1106,2261,1686,685,907,1334,3296,1471,1327,4452,4089
March,12:00 - 12:59,4026,2454,1823,1501,1175,675,2941,3198,470,570,896,1815,2651,3073,1127,1136,2144,1665,713,852,1579,2865,1458,1227,4331,4317
March,13:00 - 13:59,3722,2377,1744,1474,1116,708,2915,3212,489,566,933,1733,2615,2838,1120,1231,2015,1642,706,909,1737,2593,1446,1214,4274,4242
March,14:00 - 14:59,3171,2599,1596,1572,1077,732,2830,3510,535,542,1100,1524,2587,2675,1154,1128,1904,1663,855,860,1979,2344,1539,1153,4183,4326
March,15:00 - 15:59,2944,3105,1706,1739,1081,775,2829,3864,570,499,1280,1441,2925,2764,1216,1120,1868,1837,1034,624,2387,1994,1744,966,4402,4398
March,16:00 - 16:59,3042,3790,1952,2192,1266,945,3015,4352,702,441,1537,1383,3291,2834,1403,1173,2048,2112,1356,555,3229,2003,2421,943,4936,4782
March,17:00 - 17:59,3718,4950,2534,2948,1778,1217,3447,5071,1105,450,2180,1491,3694,3158,1770,1419,2244,2612,2117,610,4108,2436,3654,1087,5809,5869
March,18:00 - 18:59,3827,5483,2327,3167,1448,1247,3629,5197,896,412,2384,1507,3556,3244,1619,1571,1907,2854,1996,710,4460,2492,3470,1144,5831,6426
March,19:00 - 19:59,3859,5918,1839,3458,1183,1346,3349,5538,667,409,1836,1377,3235,3311,1441,1737,1715,2764,1575,732,4122,2237,2817,1115,5293,6084
