month,time,north_avenue_entry,north_avenue_exit,quezon_avenue_entry,quezon_avenue_exit,gma_kamuning_entry,gma_kamuning_exit,cubao_entry,cubao_exit,santolan_entry,santolan_exit,ortigas_entry,ortigas_exit,shaw_blvd_entry,shaw_blvd_exit,boni_avenue_entry,boni_avenue_exit,guadalupe_entry,guadalupe_exit,buendia_entry,buendia_exit,ayala_avenue_entry,ayala_avenue_exit,magallanes_entry,magallanes_exit,taft_entry,taft_exit
January,03:00 - 03:59,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
January,04:00 - 04:59,0.10%,0.00%,0.27%,0.00%,0.36%,0.00%,0.19%,0.00%,0.03%,0.00%,0.00%,0.00%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
January,05:00 - 05:59,4.45%,0.42%,3.81%,0.73%,4.18%,0.70%,3.97%,0.75%,1.16%,0.73%,0.66%,1.47%,1.81%,1.62%,1.62%,1.96%,1.93%,1.62%,0.72%,2.78%,0.70%,2.24%,1.49%,2.92%,1.91%,1.58%
January,06:00 - 06:59,8.98%,1.98%,9.51%,3.48%,8.29%,3.31%,4.90%,2.99%,3.00%,3.66%,2.61%,4.05%,4.35%,4.49%,4.83%,4.77%,5.62%,4.34%,2.80%,7.29%,2.39%,6.41%,4.39%,8.22%,4.99%,4.25%
January,07:00 - 07:59,10.89%,3.29%,10.33%,6.32%,6.26%,6.95%,4.09%,4.55%,5.38%,9.58%,5.06%,7.63%,6.50%,7.04%,8.16%,8.10%,8.25%,5.45%,4.31%,13.77%,3.43%,9.01%,6.39%,12.07%,8.55%,5.58%
January,08:00 - 08:59,10.76%,3.59%,8.88%,6.64%,6.60%,7.07%,4.81%,5.19%,5.76%,12.50%,5.10%,10.95%,6.54%,8.71%,7.46%,8.19%,8.57%,5.37%,3.66%,14.33%,3.03%,9.23%,6.11%,12.40%,8.33%,5.65%
January,09:00 - 09:59,8.34%,4.15%,7.23%,5.40%,6.84%,5.91%,5.40%,5.31%,5.56%,12.93%,4.14%,10.50%,6.05%,8.33%,6.24%,7.73%,7.98%,5.53%,3.69%,9.62%,2.95%,9.86%,5.42%,9.92%,6.89%,5.75%
January,10:00 - 10:59,6.07%,3.94%,5.67%,4.13%,6.37%,5.06%,6.08%,4.69%,5.18%,10.05%,3.71%,7.45%,5.19%,6.61%,5.21%,5.50%,6.61%,5.17%,3.75%,6.55%,2.90%,7.29%,4.27%,6.46%,5.51%,5.47%
January,11:00 - 11:59,5.77%,4.25%,5.28%,3.66%,6.01%,4.15%,6.19%,4.85%,5.35%,6.79%,3.95%,6.71%,5.16%,5.99%,5.12%,4.49%,6.23%,4.95%,3.94%,4.91%,3.18%,6.92%,4.31%,5.17%,5.41%,5.44%
January,12:00 - 12:59,5.16%,4.39%,5.03%,3.84%,5.61%,4.19%,6.22%,4.96%,5.14%,5.38%,4.21%,6.39%,5.43%,5.83%,4.98%,4.73%,6.14%,4.94%,3.99%,4.60%,3.71%,5.90%,4.26%,4.82%,5.33%,5.63%
January,13:00 - 13:59,4.79%,4.43%,4.89%,4.06%,5.37%,4.65%,6.31%,5.07%,5.31%,5.64%,4.62%,6.12%,5.44%,5.37%,4.95%,4.92%,5.76%,4.90%,4.07%,5.16%,4.14%,5.29%,4.12%,4.88%,5.25%,5.74%
January,14:00 - 14:59,4.16%,4.86%,4.43%,4.23%,5.18%,4.71%,6.10%,5.54%,5.98%,5.37%,5.65%,5.44%,5.67%,5.01%,5.36%,4.55%,5.60%,5.14%,5.43%,4.73%,4.91%,4.93%,4.50%,4.39%,5.26%,5.83%
January,15:00 - 15:59,3.81%,6.04%,4.55%,5.03%,5.14%,5.18%,6.18%,6.16%,6.49%,4.96%,6.47%,5.10%,6.31%,4.98%,5.64%,4.94%,5.47%,5.75%,6.46%,3.53%,6.21%,4.40%,5.17%,4.05%,5.62%,6.19%
January,16:00 - 16:59,4.04%,7.08%,5.25%,6.04%,6.36%,6.20%,6.52%,6.87%,7.92%,4.24%,7.75%,4.96%,6.98%,5.32%,6.56%,5.00%,6.00%,6.65%,8.67%,2.94%,8.16%,4.40%,7.21%,3.84%,6.30%,6.55%
January,17:00 - 17:59,4.75%,9.12%,6.94%,7.96%,8.83%,7.82%,7.50%,8.16%,11.53%,4.17%,10.90%,5.29%,7.65%,6.16%,8.03%,6.04%,6.26%,8.14%,12.90%,3.29%,10.50%,5.32%,10.85%,4.28%,7.23%,7.49%
January,18:00 - 18:59,4.84%,11.12%,6.43%,9.62%,6.91%,8.84%,7.91%,9.16%,9.74%,4.15%,12.46%,5.63%,8.02%,6.52%,8.02%,6.98%,5.59%,9.05%,13.07%,3.37%,11.27%,5.74%,10.97%,4.40%,7.28%,8.51%
January,19:00 - 19:59,4.76%,11.05%,4.92%,9.74%,5.15%,8.63%,6.91%,9.03%,7.15%,3.80%,9.46%,4.66%,7.10%,6.20%,6.97%,7.28%,4.93%,8.54%,10.49%,3.55%,10.93%,5.10%,8.72%,4.07%,6.38%,8.10%
January,20:00 - 20:59,4.49%,9.39%,3.77%,8.91%,3.97%,7.54%,5.98%,7.76%,6.02%,3.04%,6.92%,3.95%,5.98%,5.69%,5.51%,7.28%,4.35%,7.16%,6.31%,4.47%,9.91%,4.09%,6.40%,4.20%,5.08%,6.20%
January,21:00 - 21:59,3.77%,6.48%,2.70%,6.60%,2.38%,5.72%,4.40%,5.95%,2.89%,2.12%,4.90%,2.97%,4.61%,4.62%,3.96%,5.90%,3.43%,5.70%,3.92%,4.16%,8.90%,3.06%,3.98%,3.07%,3.76%,4.59%
January,22:00 - 22:59,0.06%,4.35%,0.11%,3.59%,0.18%,3.37%,0.33%,3.04%,0.42%,0.90%,1.42%,0.73%,1.17%,1.52%,1.37%,1.64%,1.27%,1.60%,1.80%,0.94%,2.79%,0.80%,1.42%,0.85%,0.93%,1.46%
January,23:00 - 23:59,0.00%,0.09%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
January,00:00 - 00:59,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
January,01:00 - 01:59,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
January,02:00 - 02:59,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
February,03:00 - 03:59,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
February,04:00 - 04:59,0.16%,0.00%,0.27%,0.00%,0.36%,0.00%,0.34%,0.00%,0.05%,0.00%,0.01%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
February,05:00 - 05:59,4.66%,0.41%,4.03%,0.84%,4.40%,0.71%,4.08%,0.82%,1.23%,0.84%,0.69%,1.50%,1.84%,1.69%,1.73%,1.99%,1.97%,1.63%,0.67%,2.82%,0.67%,2.30%,1.44%,3.01%,1.91%,1.55%
February,06:00 - 06:59,9.59%,2.05%,9.98%,3.59%,7.97%,3.38%,5.10%,3.00%,3.15%,3.96%,2.73%,4.30%,4.51%,4.68%,4.91%,4.96%,5.72%,4.44%,2.67%,7.59%,2.46%,6.51%,4.43%,8.32%,5.06%,4.18%
