month,time,north_avenue_entry,north_avenue_exit,quezon_avenue_entry,quezon_avenue_exit,gma_kamuning_entry,gma_kamuning_exit,cubao_entry,cubao_exit,santolan_entry,santolan_exit,ortigas_entry,ortigas_exit,shaw_blvd_entry,shaw_blvd_exit,boni_avenue_entry,boni_avenue_exit,guadalupe_entry,guadalupe_exit,buendia_entry,buendia_exit,ayala_avenue_entry,ayala_avenue_exit,magallanes_entry,magallanes_exit,taft_entry,taft_exit
January,03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
January,04:00 - 04:59,2530,0,2968,0,2390,0,2840,0,78,0,3,2,271,2,0,0,10,0,0,0,0,0,0,0,0,0
January,05:00 - 05:59,107870,7188,42095,8259,27401,3447,59085,14505,3496,2473,4194,13276,26531,26731,11205,14750,21062,17288,3603,16782,8626,33106,15928,22236,48277,36258
January,06:00 - 06:59,217685,34168,105118,39479,54373,16354,72921,58251,9046,12459,16493,36642,63709,74273,33446,35842,61338,46274,14022,43942,29441,94939,46859,62729,126527,97578
January,07:00 - 07:59,264226,56588,114118,71744,41061,34312,60934,88456,16212,32652,32050,68987,95163,116525,56478,60895,90021,58185,21589,82951,42269,133395,68272,92037,216530,128198
January,08:00 - 08:59,261027,61743,98083,75276,43262,34872,71609,100927,17376,42582,32310,98968,95828,144210,51640,61560,93525,57265,18310,86370,37323,136735,65226,94574,210992,129883
January,09:00 - 09:59,202300,71410,79906,61310,44862,29152,80495,103244,16762,44043,26224,94936,88634,137819,43189,58066,86983,58974,18467,57950,36398,146008,57854,75674,174605,132100
January,10:00 - 10:59,147288,67801,62655,46857,41754,24946,90629,91271,15615,34251,23483,67366,76025,109360,36054,41316,72119,55167,18764,39491,35736,108016,45621,49275,139585,125657
January,11:00 - 11:59,139856,73226,58350,41475,39409,20493,92262,94300,16131,23127,24983,60636,75617,99066,35437,33742,67934,52875,19731,29612,39236,102466,46035,39450,137060,125081
January,12:00 - 12:59,125124,75513,55596,43565,36779,20685,92720,96491,15492,18322,26636,57791,79512,96479,34443,35546,66950,52709,19980,27690,45737,87355,45509,36784,135061,129486
January,13:00 - 13:59,116169,76321,54090,46083,35229,22949,93957,98663,16017,19216,29261,55355,79726,88881,34286,36989,62778,52301,20376,31117,51037,78373,43964,37186,133109,131801
January,14:00 - 14:59,101016,83599,48921,47998,33991,23253,90812,107725,18042,18283,35775,49148,83026,82946,37095,34171,61059,54889,27159,28484,60522,72949,48068,33455,133366,133980
January,15:00 - 15:59,92427,103953,50294,57031,33726,25543,92100,119826,19571,16894,40946,46100,92319,82412,39005,37116,59644,61372,32337,21270,76591,65235,55225,30905,142340,142215
January,16:00 - 16:59,98045,121895,57966,68489,41726,30574,97122,133612,23886,14454,49078,44825,102148,88071,45414,37544,65443,70937,43380,17712,100694,65184,77017,29274,159502,150469
January,17:00 - 17:59,115280,156957,76739,90315,57912,38566,111721,158778,34765,14216,68985,47867,112069,101875,55598,45406,68257,86813,64534,19823,129545,78853,115864,32608,183081,172040
January,18:00 - 18:59,117424,191438,71096,109142,45299,43624,117853,178275,29357,14153,78918,50903,117383,107963,55503,52477,61008,96565,65393,20324,139044,85040,117082,33577,184499,195593
January,19:00 - 19:59,115420,190286,54378,110435,33744,42603,102861,175632,21545,12964,59919,42175,103983,102567,48250,54682,53722,91139,52506,21421,134812,75556,93117,31013,161698,186069
January,20:00 - 20:59,108923,161618,41607,101116,26052,37229,89078,150959,18164,10371,43812,35729,87589,94243,38140,54674,47481,76443,31587,26951,122213,60600,68347,32019,128659,142578
January,21:00 - 21:59,91335,111632,29784,74894,15611,28240,65523,115818,8709,7232,31045,26839,67497,76417,27409,44314,37452,60842,19617,25055,109735,45338,42464,23414,95232,105538
January,22:00 - 22:59,1457,74844,1268,40774,1150,16608,4961,59094,1254,3060,9006,6593,17175,25239,9471,12345,13899,17066,9010,5654,34470,11872,15188,6500,23666,33644
January,23:00 - 23:59,2,1616,0,90,0,14,0,17,2,3,1,1,1,1,0,0,0,3,0,0,0,1,0,2,0,0
January,00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
January,01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
January,02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
January,02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
February,03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
February,04:00 - 04:59,3451,0,2813,0,2160,0,4612,0,141,0,32,0,193,0,13,0,11,0,0,0,0,0,0,0,0,0
February,05:00 - 05:59,102879,6507,41442,8863,26479,3301,56027,14744,3365,2568,4005,12520,24960,25738,11026,13701,20026,16118,3117,15796,7679,29735,14254,23349,44923,33648
February,06:00 - 06:59,211791,32278,102662,37975,47936,15621,70111,53770,8587,12139,15812,35798,61049,71273,31313,34152,58211,43858,12457,42475,28421,84107,43820,64530,119005,90861
February,07:00 - 07:59,243768,53479,102954,68770,39421,34185,57521,83318,15106,30963,30245,65029,88982,110540,52179,55443,85715,52529,18847,73459,39492,111128,63415,90457,195805,116749
February,08:00 - 08:59,227640,59178,89459,70735,37605,33046,67587,94435,15850,38524,30669,95266,89410,136405,48648,57452,85814,57496,16776,80798,34726,124031,60080,101198,199768,125134
February,09:00 - 09:59,182248,66962,71738,56521,42128,27956,77847,94859,14986,39721,25020,90451,82962,126981,40667,52611,82471,55245,17116,56206,35553,124795,54025,78267,165779,126600
February,10:00 - 10:59,132655,63386,57357,42929,36814,23349,81447,85037,14004,30154,21721,61632,70497,100477,34074,37624,67935,49986,17599,35518,34218,94211,42304,49173,130443,119978
February,11:00 - 11:59,127141,68833,55176,39689,36083,19955,85147,87936,14714,19961,23342,55050,70635,91628,33508,30988,63941,48628,18803,27379,38151,89767,42380,39312,127762,116162
February,12:00 - 12:59,114692,70378,52623,41454,34989,19826,84946,89668,14044,16328,25074,53338,74562,87272,31609,32145,60477,48862,19633,27268,42950,78885,42312,36754,122839,122342
February,13:00 - 13:59,104053,69092,47948,41875,31568,21098,84623,89764,14404,16438,26245,50348,73347,81257,31993,34439,58254,47784,19962,27585,47987,68290,40735,35736,123659,120770
February,14:00 - 14:59,90474,76564,44251,45076,30665,22404,81798,99227,15723,15907,32024,44123,75148,75618,34545,31089,55533,50046,24769,25306,56621,63175,44047,33569,123061,126159
February,15:00 - 15:59,81876,87641,46801,49128,31115,22599,82531,106842,16997,14098,36869,40081,82854,74216,35842,33410,55424,55445,30405,19388,69725,57102,49129,29119,128447,125806
February,16:00 - 16:59,88054,111632,54626,63515,37908,27158,88272,123664,21647,12901,44624,40515,95029,79034,41190,34039,60621,65405,38780,16940,94108,58247,70345,29248,143626,141290
