station,january,february,march,april,may,june,july,august,september,october,november,december,2014_total,monthy_average
North Avenue,2293331,2125979,2886511,1886289,2264163,2186693,2301889,2073996,2110286,2314832,2173271,2107734,26724974,2227081
Quezon Avenue,1134159,1090028,1062603,902518,1052580,1011535,1072498,1025968,998996,1032545,959505,874513,12217448,1018121
GMA Kamuning,669526,660515,618504,511880,606765,600575,647528,619967,610996,612986,573209,540873,7273324,606110
Araneta Center-Cubao,1496335,1440098,1353228,1247606,1477064,1454160,1523770,1434013,1383094,1462209,1366917,1290956,16929450,1410788
Santolan,291683,274603,262055,224076,259150,253944,276584,261590,265095,270636,258387,231044,3128847,260737
Ortigas,636373,603524,576999,498062,577486,550441,582476,554186,550345,586051,545018,481963,6742924,561910
Shaw Boulevard,1507935,1391396,1336735,1150959,1385369,1313770,1418926,1325385,1284564,1381814,1348238,1223152,16068243,1339020
Boni,661789,638897,597323,494031,649812,680977,721556,671393,634293,657976,617109,548225,7573381,631115
Guadalupe,1094284,1047600,988398,881129,1056370,1048786,1130564,1080143,973626,983408,925117,823452,12032877,1002740
Buendia,490565,475294,418635,382466,433062,421544,458547,413550,409722,435300,392501,324437,5055623,421302
Ayala,1211443,1200098,1105835,951156,1233059,1187746,1255158,1157587,1150001,1223789,1109461,954714,13740047,1145004
Magallanes,1032324,989523,931086,835921,976827,946670,989918,924524,906451,962686,904543,804082,11204555,933713
Taft Avenue,2663620,2500933,2399140,2087532,2575467,2492069,2549130,2444125,2284231,2499595,2374104,2256697,29126643,2427220
Total,15183367,14438488,14537052,12053625,14547174,14148910,14928544,13986427,13561700,14423827,13547380,12461842,167818336,13984861
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
