region,dimensions,thickness_in_mm,ave_price_php,jan_price_php,feb_price_php,mar_price_php,apr_price_php,may_price_php,jun_price_php,jul_price_php,aug_price_php,sep_price_php,oct_price_php,nov_price_php,dec_price_php
NCR,4'x8' (Ordinary C),1/8 (3.175),420,420,420,420,420,420,420,420,420,420,420,420,420
CAR,4'x8' (Ordinary C),1/8 (3.175),232.92,237,240,240,240,220,220,220,238,238,238,232,232
I (Ilocos Region),4'x8' (Ordinary C),1/8 (3.175),221.58,218,218,217,223.5,223.5,223.5,223.5,217,235,230,215,215
II (Cagayan Valley),4'x8' (Ordinary C),1/8 (3.175),281.52,235.37,247.16,553.5,230.37,230.37,460.37,237.25,250.77,238.08,238.08,222.44,234.5
III (Central Luzon),4'x8' (Ordinary C),1/8 (3.175),265.73,219.66,218.97,222.19,227.19,190.02,190.02,225.7,241.61,241,485.28,485.28,241.8
IV-A (CALABARZON),4'x8' (Ordinary C),1/8 (3.175),249.05,210,216.25,238.75,237.5,217.5,243.75,221.25,240,240,229.67,227.12,466.8
IV-B (MIMAROPA),4'x8' (Ordinary C),1/8 (3.175),237.98,246.94,227.5,215,227.5,227.5,245.83,245.83,227.5,245.83,249.16,249.16,248.05
V (Bicol Region),4'x8' (Ordinary C),1/8 (3.175),250,250,250,250,250,250,250,250,250,250,250,250,250
VI (Western Visayas),4'x8' (Ordinary C),1/8 (3.175),248.2,216.43,243.81,189.96,273.23,273.23,273.23,273.23,273.23,273.23,229.5,229.65,229.65
VII (Central Visayas),4'x8' (Ordinary C),1/8 (3.175),210.48,209.61,209.61,209.61,209.61,209.61,209.61,209.61,209.61,209.61,209.61,209.61,220
IX (Zamboanga Peninsula),4'x8' (Ordinary C),1/8 (3.175),228.06,230,230,231.67,231.67,226.67,226.67,226.67,226.67,226.67,226.67,226.67,226.67
X (Northern Mindanao),4'x8' (Ordinary C),1/8 (3.175),178,178,178,178,178,178,178,178,178,178,178,178,178
XI (Davao Region),4'x8' (Ordinary C),1/8 (3.175),255.98,246.67,238,255.33,255.67,256.67,260.5,254.76,284.17,255,255,255,255
XII (SOCCSKSARGEN),4'x8' (Ordinary C),1/8 (3.175),305.79,175,350,350,461,461,230.5,230.5,230.5,393.66,393.66,196.83,196.83
XIII (Caraga),4'x8' (Ordinary C),1/8 (3.175),257.89,235,235,235,235,235,239,480.67,238,238,240.5,240.5,243
NCR,4'x8' (Ordinary C),3/16 (4.7625),350.92,343.75,343.75,343.75,343.75,343.75,343.75,335.62,344,400,400,334.44,334.44
CAR,4'x8' (Ordinary C),3/16 (4.7625),302.08,295,294,294,294,304.3,304.3,304.3,310,280,315,315,315
I (Ilocos Region),4'x8' (Ordinary C),3/16 (4.7625),316.62,322.5,322.8,323.75,314.5,310,310,301,314.75,315.17,322.5,321.25,321.25
II (Cagayan Valley),4'x8' (Ordinary C),3/16 (4.7625),337.43,312.27,312,312,309.5,309.5,609.5,318.66,316.44,316.66,316.44,316.44,299.77
III (Central Luzon),4'x8' (Ordinary C),3/16 (4.7625),451.2,325.67,301.64,286.04,296.6,809.87,809.87,594.2,283.7,283.7,565.53,565.53,292.08
IV-A (CALABARZON),4'x8' (Ordinary C),3/16 (4.7625),331.98,291.25,301.25,308.75,290,293.75,283.75,301.25,377.5,306.75,297,306.12,626.38
IV-B (MIMAROPA),4'x8' (Ordinary C),3/16 (4.7625),312.4,313.88,305,305,305,305,313.88,313.88,305,313.88,322.22,322.22,323.88
V (Bicol Region),4'x8' (Ordinary C),3/16 (4.7625),306.67,306.67,306.67,306.67,306.67,306.67,306.67,306.67,306.67,306.67,306.67,306.67,306.67
VI (Western Visayas),4'x8' (Ordinary C),3/16 (4.7625),298.46,302.25,301.08,310,288.86,288.86,288.86,288.86,288.86,288.86,310,312.5,312.5
VII (Central Visayas),4'x8' (Ordinary C),3/16 (4.7625),267.14,264.58,264.58,264.58,264.58,264.58,264.58,264.58,264.58,264.58,264.58,264.58,295.25
IX (Zamboanga Peninsula),4'x8' (Ordinary C),3/16 (4.7625),320.55,325,325,325,325,318.33,318.33,318.33,318.33,318.33,318.33,318.33,318.33
X (Northern Mindanao),4'x8' (Ordinary C),3/16 (4.7625),250.25,214.5,214.5,429,214.5,429,214.5,214.5,214.5,214.5,214.5,214.5,214.5
XI (Davao Region),4'x8' (Ordinary C),3/16 (4.7625),281.54,240,276.5,266.75,268.25,262.55,296.95,284.47,298.96,296,296,296,296
XII (SOCCSKSARGEN),4'x8' (Ordinary C),3/16 (4.7625),307.5,220,440,440,440,440,220,220,220,350,350,175,175
XIII (Caraga),4'x8' (Ordinary C),3/16 (4.7625),286.67,286.5,286.5,286.5,286.5,286.5,286.5,537,233,233,232.5,232.5,253
NCR,4'x8' (Ordinary C),1/4 (6.35),610.47,619.28,619.28,619.28,619.28,619.28,619.28,585,593,608,608,608,608
CAR,4'x8' (Ordinary C),1/4 (6.35),334.17,333,340,340,340,318,318,318,337,341,341,342,342
I (Ilocos Region),4'x8' (Ordinary C),1/4 (6.35),335.17,335.5,348.75,340.83,327.75,327,327,326.5,348.75,338.63,342.17,320,339.17
II (Cagayan Valley),4'x8' (Ordinary C),1/4 (6.35),361.34,331.15,335.1,339.95,330.83,331.4,662.9,337.4,339.9,333.02,339.9,332.4,322.09
III (Central Luzon),4'x8' (Ordinary C),1/4 (6.35),384.7,309.25,305.71,308,303.17,305.14,305.14,603.42,309.63,307.27,619.99,619.99,319.68
