region,thickness_in_mm,ave_price_php_per_panel,jan_price_php_per_panel,feb_price_php_per_panel,mar_price_php_per_panel,apr_price_php_per_panel,may_price_php_per_panel,jun_price_php_per_panel,jul_price_php_per_panel,aug_price_php_per_panel,sep_price_php_per_panel,oct_price_php_per_panel,nov_price_php_per_panel,dec_price_php_per_panel
NCR,1/4 (6.35),679.97,624,643.89,696.67,653.75,653.75,659.37,675,721,733,691,697,711.25
CAR,1/4 (6.35),371.04,358,362,362,362,375.5,375.5,375.5,370,368,370,387,387
I (Ilocos Region),1/4 (6.35),386.86,716.64,362.56,362.56,361.6,342.5,342.5,362.1,316.06,363.81,363.31,363.31,385.42
II (Cagayan Valley),1/4 (6.35),449.56,402.78,373.75,377.12,366.46,358.96,729.77,366.32,355.01,398.13,368.75,940.41,357.23
III (Central Luzon),1/4 (6.35),434.65,342.32,391.55,326.19,353.88,353.73,353.73,690.98,340.91,398.21,685.98,685.98,292.36
IV-A (CALABARZON),1/4 (6.35),445.42,395.56,412,406.56,408,422.58,413.56,413.06,415.06,415.06,429.17,430.08,784.33
IV-B (MIMAROPA),1/4 (6.35),373.27,226.66,221.25,340,354,351.5,459,351.5,306,348.5,370.33,780.22,370.33
V (Bicol Region),1/4 (6.35),392.08,345,400,400,400,400,400,393.33,393.33,393.33,393.33,393.33,393.33
VI (Western Visayas),1/4 (6.35),351.73,347.46,365.78,343.47,333.04,333.04,333.04,333.04,333.04,333.04,385.67,390.07,390.07
VII (Central Visayas),1/4 (6.35),318.06,316.52,316.52,316.52,316.52,316.52,316.52,316.52,316.52,316.52,316.52,316.52,335
IX (Zamboanga Peninsula),1/4 (6.35),385,385,385,385,385,385,385,385,385,385,385,385,385
X (Northern Mindanao),1/4 (6.35),296,296,296,296,296,296,296,296,296,296,296,296,296
XI (Davao Region),1/4 (6.35),518.05,591.6,415,415,415,415,843.33,396.25,396.25,396.25,396.25,768.33,768.33
XII (SOCCSKSARGEN),1/4 (6.35),568.67,402.5,805,805,1189,805,402.5,402.5,402.5,402.5,402.5,402.5,402.5
XIII (Caraga),1/4 (6.35),445.42,695,370,595,595,385,385,695,325,325,325,325,325
CAR,1/2 (12.7),686.58,667,664,664,664,666,666,666,666,666,702,774,774
I (Ilocos Region),1/2 (12.7),684.25,680.63,683.38,679.13,692.7,686.5,686.5,686.83,699.14,691.63,690.13,676.5,657.88
II (Cagayan Valley),1/2 (12.7),722.1,658.59,655.46,671.28,655.77,658.95,1338.84,647.13,674.21,674.21,665.88,674.21,690.62
