region,dimensions,ave_price_php_per_panel,jan_price_php_per_panel,feb_price_php_per_panel,mar_price_php_per_panel,apr_price_php_per_panel,may_price_php_per_panel,jun_price_php_per_panel,jul_price_php_per_panel,aug_price_php_per_panel,sep_price_php_per_panel,oct_price_php_per_panel,nov_price_php_per_panel,dec_price_php_per_panel
NCR,"4'x8'x3/4""",880.73,817,842.5,895,900,900,895,870.83,826,852,845,904,1021.42
CAR,"4'x8'x3/4""",950.58,965,912,912,918,936,936,936,936,1031,949,988,988
I (Ilocos Region),"4'x8'x3/4""",892.19,893.38,901.63,880.83,900.4,865,865,879.75,887,925,897.75,912.58,898
II (Cagayan Valley),"4'x8'x3/4""",991.07,875.52,887.44,910.88,874.66,863.69,2346.25,854.58,854.92,886.81,854.92,841.58,841.59
III (Central Luzon),"4'x8'x3/4""",989.04,776.61,807.3,785.19,816.88,782.27,782.27,1579.32,792.88,792.88,1584.89,1584.89,783.08
IV-A (CALABARZON),"4'x8'x3/4""",986.67,900,933.12,895.5,896,921.88,908,905,930,900,886.67,925,1838.83
IV-B (MIMAROPA),"4'x8'x3/4""",980.84,750,750,570,900,885,935,920,600,931.7,928.33,1800,1800
V (Bicol Region),"4'x8'x3/4""",999.45,810,1016.67,1016.67,1016.67,1016.67,1016.67,1016.67,1016.67,1016.67,1016.67,1016.67,1016.67
VI (Western Visayas),"4'x8'x3/4""",799.64,815.75,815.75,810.86,788.33,788.33,788.33,788.33,788.33,788.33,815.83,803.75,803.75
VII (Central Visayas),"4'x8'x3/4""",693.92,686.37,686.37,686.37,686.37,686.37,686.37,686.37,686.37,686.37,686.37,686.37,777
IX (Zamboanga Peninsula),"4'x8'x3/4""",946.67,946.67,946.67,946.67,946.67,946.67,946.67,946.67,946.67,946.67,946.67,946.67,946.67
X (Northern Mindanao),"4'x8'x3/4""",627,627,627,627,627,627,627,627,627,627,627,627,627
XI (Davao Region),"4'x8'x3/4""",949.06,814.84,814.84,842.09,886.67,821.34,822.34,1017.04,1091.67,876.67,926.66,920,1554.58
XII (SOCCSKSARGEN),"4'x8'x3/4""",1159.29,810,1620,810,2639,1785,892.5,892.5,892.5,892.5,892.5,892.5,892.5
XIII (Caraga),"4'x8'x3/4""",921.38,713,833,833,833,854,854,1790,854,967.5,825,825,875
