pro,source,index_crime_against_person_murder,index_crime_against_person_homicide,index_crime_against_person_physical_injury,index_crime_against_person_rape,index_crime_agianst_property_robbery,index_crime_against_property_theft,index_crime_against_property_carnapping,index_crime_against_property_cattle_rustling,index_crime_total,index_crime_ave_monthly_rate,index_crime_total_cleared,index_crime_clearance_efficiency,index_crime_solved,index_crime_soln_efficiency,nonindex_crime_violation_of_special_laws,nonindex_crime_others,nonindex_crime_total,nonindex_crime_cleared,nonindex_crime_solved,total_crime_vol,total_crime_cleared,crime_clearance_efficiency,total_crimes_solved,crime_soln_efficiency,ave_monthly_crime_rate,popn_dprm
1,PNP Blotter,350,491,11982,494,1296,5043,495,248,20399,33.83,12876,63.12,10049,49.26,5891,16477,22368,17218,13805,42767,30094,70.37,23854,55.78,70.93,5024204
1,Brgy Blotter,2,1,3226,9,63,457,1,1,3760,6.24,1703,-,1099,29.23,215,4855,5070,2288,1775,8830,3991,-,2874,-,14.65,5024204
1,OLEA,0,12,260,3,4,23,1,0,303,0.5,261,-,69,22.77,37,2305,2342,2316,2310,2645,2577,-,2379,-,4.39,5024204
2,PNP Blotter,258,455,4288,341,700,1314,314,32,7702,18.78,4913,63.79,4103,53.27,1999,5051,7050,4781,3953,14752,9694,65.71,8056,54.61,35.98,3416745
2,Brgy Blotter,1,5,1243,0,14,207,3,4,1477,3.6,1383,-,1075,72.78,167,1475,1642,1480,1208,3119,2863,-,2283,-,7.61,3416745
2,OLEA,1,35,107,0,0,0,12,0,155,0.38,35,-,24,15.48,108,21,129,107,104,284,142,-,128,-,0.69,3416745
3,PNP Blotter,578,801,14934,883,3457,7766,1415,50,29884,23.21,15785,52.82,11202,37.48,9444,27485,36929,24480,17015,66813,40265,60.27,28217,42.23,51.89,10729217
3,Brgy Blotter,0,2,8954,15,424,3742,36,10,13183,10.24,5203,-,4822,36.58,1802,16625,18427,8033,7040,31610,13236,-,11862,-,24.55,10729217
3,OLEA,0,0,10,2,1,7,0,0,20,0.02,4,-,3,15,26,9,35,13,11,55,17,-,14,-,0.04,10729217
4A,PNP Blotter,1302,814,7838,957,2490,3900,1211,27,18539,11.58,10333,55.74,6371,34.37,10025,11819,21844,16967,11925,40383,27300,67.6,18296,45.31,25.22,13342305
4A,Brgy Blotter,1,7,5824,3,461,3506,20,6,9828,6.14,3801,-,3231,32.88,1197,10595,11792,5016,4386,21620,8817,-,7617,-,13.5,13342305
