psgc_brgy,own_use_faucet_community_water_system,shared_faucet_commmunity_water_system,own_use_tubed_or_piped_well,shared_tubed_or_piped_well,dug_well,spring_river_streat_etc,collected_rainfall,peddler
174001001,30,10,4,18,7,41,0,0
174001002,6,8,21,3,2,3,0,0
174001003,61,35,4,22,7,1,0,0
174001004,54,29,1,0,2,3,1,0
174001005,53,100,0,18,24,3,0,1
174001006,9,5,3,17,5,13,0,0
174001007,23,30,5,30,8,11,0,0
174001008,35,117,10,52,84,8,0,1
174001009,56,60,9,30,5,1,0,0
174001010,33,13,1,18,17,14,0,0
174001011,6,10,3,42,18,11,1,3
174001012,41,47,1,15,5,2,0,0
174001013,10,29,0,1,0,2,0,0
174001014,58,58,2,0,0,6,0,0
174001015,23,79,1,0,1,32,0,0
174001016,56,8,0,1,0,0,0,0
174001017,7,43,0,6,0,0,0,0
174001018,180,54,9,32,75,3,0,0
174001019,5,76,0,3,4,0,0,0
174001020,35,25,17,95,8,2,0,0
174001021,50,60,0,0,0,16,0,0
174001022,34,50,3,32,23,15,0,0
174001023,39,28,4,32,17,0,0,0
174001024,65,52,0,2,0,1,0,0
174001025,36,4,1,10,19,1,0,0
174001026,126,195,2,0,0,42,0,0
174001027,14,19,24,95,16,0,0,1
174001028,12,21,2,8,9,0,0,0
174001029,47,59,0,0,0,35,1,0
174001030,118,97,40,127,23,1,0,0
174001031,58,122,2,17,3,1,0,2
174001032,19,27,1,3,4,79,0,0
174001033,9,66,0,5,2,0,0,0
174001034,56,34,1,6,4,14,0,0
174001035,13,2,0,0,0,0,0,0
174001036,31,36,0,2,7,15,2,1
174001037,10,1,0,0,0,0,0,0
174001038,45,75,3,12,13,8,0,0
174001039,23,48,1,1,7,0,0,0
174001040,7,6,1,0,0,0,0,1
174001041,94,4,0,0,0,0,0,0
174001042,55,107,1,2,0,1,0,0
174001043,33,16,0,4,0,0,0,0
174001044,28,18,0,3,4,0,0,0
174001045,15,2,0,4,7,5,0,7
174001046,29,44,1,1,4,37,0,0
174001047,20,33,0,1,2,30,0,0
174001048,6,16,1,1,2,11,0,0
174001049,0,2,0,0,5,0,0,0
174001050,56,67,9,37,3,0,0,1
174001051,39,37,3,13,6,6,0,0
174001052,12,42,0,36,13,0,0,0
174001053,17,82,0,50,48,1,0,1
174001054,49,25,0,0,7,1,0,0
174001055,8,63,1,0,1,43,1,0
174001056,161,38,3,22,17,0,0,0
174001057,4,10,6,46,5,0,0,0
174001058,128,55,12,29,6,12,0,0
174001059,36,33,0,0,1,8,0,0
174001060,19,8,0,0,1,0,1,0
174001061,5,8,1,16,30,0,0,0
174002001,9,193,1,3,27,14,0,1
174002002,175,137,0,8,3,4,0,0
174002003,16,152,0,0,1,27,0,0
174002004,27,93,123,154,114,2,0,0
174002005,133,135,154,148,4,3,0,0
174002006,7,50,59,297,68,6,0,0
174002007,113,89,3,20,71,25,1,0
174002011,87,204,1,0,1,6,1,0
174002012,3,41,0,0,4,131,1,0
174002013,215,242,4,36,0,2,0,0
174002014,26,524,3,10,34,3,0,0
174002015,15,71,7,40,4,1,0,1
174002016,19,2,0,0,0,0,0,0
174002017,13,17,0,6,0,0,0,0
174002018,18,32,6,19,1,5,0,0
174003001,9,18,25,55,0,0,0,0
174003003,154,41,17,20,4,0,0,2
174003004,14,6,43,141,31,16,0,3
174003005,53,14,48,102,13,1,0,10
174003006,77,32,101,174,1,0,0,3
174003007,5,16,27,46,2,0,0,0
174003008,22,45,14,23,2,0,0,0
174003009,8,4,50,207,14,27,0,1
174003010,5,37,0,7,0,0,0,0
174003011,12,2,42,79,0,4,0,1
174003012,201,73,4,95,1,28,0,3
174003013,49,77,3,31,0,0,0,0
174003014,6,9,66,78,0,0,0,0
174003015,27,29,3,31,0,0,0,0
174003016,0,0,33,28,0,0,0,0
174003017,9,24,131,97,1,2,0,0
174003018,86,52,34,152,11,0,0,3
174003019,11,63,31,78,0,2,0,2
174003020,134,69,61,137,1,1,7,37
174003021,82,81,4,4,8,77,0,1
174003022,37,59,25,158,2,7,0,2
174003023,175,100,41,205,59,77,0,6
174003024,11,21,0,29,0,1,0,0
174003025,24,9,0,2,0,0,0,0
174003026,121,19,0,2,0,0,0,0
174004001,29,127,3,5,8,2,0,0
174004002,17,137,7,54,37,46,1,4
174004003,40,197,3,49,28,22,0,0
174004004,18,4,2,0,0,1,0,0
174004005,8,47,8,120,16,33,0,0
174004006,18,28,1,1,6,2,0,0
174004007,13,49,1,1,1,1,0,0
174004008,3,30,4,16,6,10,0,1
174004009,19,147,0,14,1,3,0,1
174004010,19,138,4,8,3,30,0,0
174004011,0,52,0,0,0,0,0,0
174004012,7,8,0,0,0,0,0,0
174004013,21,205,6,16,28,37,1,0
174004014,15,40,3,9,9,1,1,0
174004015,0,6,6,47,9,0,1,0
174004016,12,57,4,83,21,0,0,0
174004017,44,94,5,130,9,0,0,0
174004018,6,59,1,2,12,30,0,1
174004019,8,73,5,49,23,10,0,2
174004020,54,103,12,32,5,62,1,2
174004021,4,14,0,2,11,40,1,0
174004022,47,57,0,1,0,10,0,0
174004023,2,22,0,0,8,26,0,0
174004024,16,25,1,2,1,14,0,0
174004025,15,46,0,0,0,0,0,0
174004026,21,10,0,1,13,0,0,0
174004027,10,77,0,0,20,55,0,0
174004028,33,54,0,1,3,1,0,0
174004029,44,113,9,53,8,1,0,17
174004030,20,152,4,4,27,25,0,0
174004032,40,64,8,1,2,6,1,0
174004033,0,0,0,2,34,7,0,0
174004034,3,89,0,13,9,9,0,0
174004035,0,125,6,23,5,24,0,3
174004036,114,144,7,32,5,4,0,5
174004037,32,53,2,1,4,33,0,0
174004038,0,22,1,0,0,0,0,0
174005001,127,85,4,9,45,15,0,5
174005002,8,29,14,175,7,1,0,0
174005003,185,65,2,1,2,13,0,2
174005004,40,16,0,0,0,0,0,0
