psgc_brgy,hearing,visual,speech,orthopedic,multiple_ disabilities,mental,other,no_ household_member_is_disabled
174001001,0,0,0,0,0,0,1,109
174001002,0,0,0,0,0,0,2,41
174001003,5,3,1,2,1,0,5,113
174001004,0,1,1,1,0,1,0,86
174001005,7,4,2,1,2,0,6,177
174001006,3,3,2,0,1,0,5,38
174001007,1,1,0,1,2,0,6,96
174001008,1,2,0,2,0,3,6,293
174001009,3,3,1,2,3,3,3,143
174001010,0,1,0,0,0,1,1,93
174001011,0,3,1,1,2,2,3,82
174001012,1,2,0,2,0,2,1,103
174001013,0,1,0,0,0,0,0,41
174001014,0,2,1,0,1,1,1,118
174001015,0,1,1,0,1,3,5,125
174001016,0,0,0,1,1,0,1,62
174001017,0,3,0,1,0,0,4,48
174001018,1,1,2,1,0,0,4,344
174001019,0,1,0,1,0,2,2,82
174001020,2,4,0,5,1,2,2,166
174001021,1,2,2,2,2,0,3,114
174001022,3,2,3,2,0,0,2,145
174001023,3,2,2,3,2,0,2,106
174001024,2,4,0,0,0,2,3,109
174001025,0,1,0,1,0,0,0,69
174001026,1,2,3,1,1,3,5,349
174001027,3,5,2,0,5,0,9,145
174001028,0,0,0,0,0,0,1,51
174001029,0,0,0,0,1,0,2,139
174001030,10,7,2,6,4,3,13,361
174001031,3,17,2,2,1,0,4,176
174001032,2,1,0,0,0,0,4,126
174001033,1,7,1,2,1,1,10,59
174001034,2,1,0,2,0,1,6,103
174001035,0,0,0,0,0,0,0,15
174001036,0,2,0,2,0,0,1,89
174001037,0,0,0,0,0,0,0,11
174001038,0,1,1,4,2,1,5,142
174001039,1,1,0,0,1,0,3,74
174001040,0,0,1,0,1,0,0,13
174001041,0,0,2,0,1,0,2,93
174001042,0,2,1,0,0,0,2,161
174001043,0,2,0,1,1,0,0,49
174001044,1,3,1,0,0,1,0,47
174001045,0,0,0,0,0,0,1,39
174001046,0,1,0,0,1,0,0,114
174001047,1,5,0,0,1,0,4,75
174001048,0,0,0,0,0,0,0,37
174001049,0,0,0,0,0,0,0,7
174001050,1,4,1,2,2,4,3,156
174001051,2,2,0,0,2,0,3,95
174001052,1,8,0,5,4,0,6,79
174001053,1,2,0,1,1,0,9,185
174001054,1,2,0,2,0,5,3,69
174001055,2,0,0,2,0,0,1,112
174001056,1,2,0,0,4,1,2,231
174001057,0,1,1,3,0,0,1,65
174001058,3,6,1,1,6,1,20,204
174001059,0,0,0,1,0,0,2,75
174001060,2,1,0,0,0,2,1,23
174001061,0,3,1,1,0,1,0,54
174002001,3,0,0,1,2,0,1,241
174002002,2,5,2,3,1,1,0,313
174002003,1,2,5,2,3,0,0,183
174002004,5,8,3,5,5,1,2,484
174002005,5,5,7,7,0,0,3,550
174002006,5,10,2,9,6,3,10,442
174002007,3,2,1,0,4,0,1,311
174002011,1,6,0,2,3,2,2,284
174002012,3,0,0,0,1,0,0,176
174002013,0,0,1,4,4,0,0,490
174002014,3,1,1,5,4,2,11,573
174002015,1,11,3,1,2,1,2,118
174002016,2,1,0,0,0,1,1,16
174002017,1,1,3,1,0,0,0,30
174002018,3,4,0,0,0,0,0,74
174003001,1,1,0,0,0,2,1,102
174003003,3,2,2,1,1,1,4,224
174003004,4,5,4,0,1,4,2,234
174003005,0,3,3,1,1,2,7,224
174003006,2,3,1,8,4,0,4,366
174003007,1,0,0,0,0,2,2,91
174003008,2,1,0,3,0,0,0,100
174003009,1,3,1,2,3,0,13,288
174003010,2,0,1,0,0,0,0,46
174003011,0,0,0,2,1,0,2,135
174003012,1,3,6,3,3,1,6,382
174003013,1,3,5,0,1,1,0,149
174003014,1,1,0,1,1,0,0,155
174003015,1,2,0,1,2,2,1,81
174003016,1,2,0,2,2,0,0,54
174003017,0,1,2,3,1,3,4,250
174003018,6,5,0,2,3,0,1,321
174003019,2,2,3,2,0,0,3,175
174003020,1,3,4,4,2,1,5,427
174003021,1,7,1,1,0,0,4,243
174003022,2,4,3,5,0,0,3,273
174003023,3,5,1,4,4,2,5,639
174003024,0,1,0,2,1,0,0,58
174003025,0,0,0,1,0,0,0,34
174003026,2,2,2,1,0,1,1,133
174004001,0,1,0,2,2,0,0,169
174004002,0,2,1,5,2,3,14,276
174004003,3,5,2,8,4,3,13,301
174004004,0,1,1,0,1,0,0,22
174004005,2,4,2,3,4,3,3,211
174004006,2,0,1,0,0,0,0,53
174004007,1,0,0,2,1,0,1,61
174004008,0,2,0,0,1,0,0,67
174004009,1,2,1,3,1,0,5,172
174004010,5,2,0,3,5,0,3,184
174004011,1,8,1,3,1,1,1,36
174004012,2,1,0,1,2,0,1,8
174004013,5,6,3,3,2,0,9,286
174004014,1,0,0,0,0,1,0,76
174004015,1,9,0,2,0,0,0,57
174004016,2,5,0,2,4,2,12,150
174004017,4,12,1,4,3,2,4,252
174004018,1,1,2,3,0,0,3,101
174004019,0,2,3,2,2,2,1,158
174004020,6,3,1,3,2,1,7,248
