psgc_brgy,yes,no
174001001,85,25
174001002,21,22
174001003,93,37
174001004,63,27
174001005,125,74
174001006,33,19
174001007,76,31
174001008,252,55
174001009,117,44
174001010,70,26
174001011,58,36
174001012,77,34
174001013,4,38
174001014,60,64
174001015,35,101
174001016,56,9
174001017,48,8
174001018,258,95
174001019,66,22
174001020,130,52
174001021,42,84
174001022,88,69
174001023,71,49
174001024,89,31
174001025,63,8
174001026,242,123
174001027,128,41
174001028,34,18
174001029,50,92
174001030,304,102
174001031,131,74
174001032,70,63
174001033,48,34
174001034,70,45
174001035,15,0
174001036,70,24
174001037,11,0
174001038,104,52
174001039,55,25
174001040,14,1
174001041,80,18
174001042,116,50
174001043,45,8
174001044,25,28
174001045,30,10
174001046,76,40
174001047,40,46
174001048,2,35
174001049,2,5
174001050,91,82
174001051,67,37
174001052,64,39
174001053,135,64
174001054,65,17
174001055,26,91
174001056,203,38
174001057,32,39
174001058,181,61
174001059,49,29
174001060,23,6
174001061,49,11
174002001,105,143
174002002,229,98
174002003,91,105
174002004,378,135
174002005,427,150
174002006,288,199
174002007,168,154
174002011,197,103
174002012,106,74
174002013,329,170
174002014,296,304
174002015,82,57
174002016,18,3
174002017,15,21
174002018,38,43
174003001,59,48
174003003,172,66
174003004,136,118
174003005,187,54
174003006,271,117
174003007,64,32
174003008,82,24
174003009,168,143
174003010,31,18
174003011,101,39
174003012,277,128
174003013,106,54
174003014,103,56
174003015,49,41
174003016,38,23
174003017,177,87
174003018,175,163
174003019,118,69
174003020,259,188
174003021,150,107
174003022,204,86
174003023,357,306
174003024,43,19
174003025,28,7
174003026,115,27
174004001,130,44
174004002,214,89
174004003,172,167
174004004,17,8
174004005,155,77
174004006,23,33
174004007,50,16
174004008,49,21
174004009,136,49
174004010,157,45
174004011,50,2
174004012,12,3
174004013,197,117
174004014,47,31
174004015,34,35
174004016,140,37
174004017,215,67
174004018,83,28
174004019,113,57
174004020,188,83
174004021,28,44
174004022,103,12
174004023,28,30
174004024,43,16
174004025,43,18
174004026,39,6
174004027,93,69
174004028,53,39
174004029,195,50
174004030,139,93
174004032,93,29
174004033,10,33
174004034,65,58
174004035,151,35
174004036,243,68
174004037,91,34
174004038,21,2
174005001,221,69
174005002,173,61
174005003,208,62
174005004,44,12
174005005,25,22
174005006,116,62
174005007,15,19
174005008,132,22
174005009,93,27
174005010,56,27
174005011,80,20
174005012,167,59
