psgc_brgy,water_sealed,closed_pit,open_pit,others_ pails_etc,none
174001001,91,1,0,0,18
174001002,6,7,0,7,23
174001003,80,14,2,3,31
174001004,69,1,0,0,20
174001005,148,4,0,0,47
174001006,33,4,1,2,12
174001007,37,29,2,14,25
174001008,236,14,1,0,56
174001009,112,15,1,3,30
174001010,74,1,0,0,21
174001011,48,10,1,2,33
174001012,83,12,1,0,15
174001013,21,0,1,0,20
174001014,82,0,0,4,38
174001015,95,4,0,0,37
174001016,60,2,0,0,3
174001017,40,0,1,0,15
174001018,265,3,0,5,80
174001019,57,0,0,0,31
174001020,116,12,1,6,47
174001021,73,0,0,0,53
174001022,86,3,0,1,67
174001023,65,7,0,1,47
174001024,82,1,0,0,37
174001025,68,0,0,0,3
174001026,231,3,1,1,129
174001027,116,21,3,2,27
174001028,34,0,0,15,3
174001029,94,2,0,0,46
174001030,263,44,9,16,74
174001031,113,34,4,10,44
174001032,88,1,2,0,42
174001033,52,0,0,0,30
174001034,74,1,0,1,39
174001035,0,15,0,0,0
174001036,47,0,0,5,42
174001037,11,0,0,0,0
174001038,89,2,0,1,64
174001039,46,9,0,1,24
174001040,13,1,0,0,1
174001041,94,0,0,0,4
174001042,107,0,0,0,59
174001043,45,3,0,0,5
174001044,39,1,0,0,13
174001045,9,5,4,5,17
174001046,95,4,3,0,14
174001047,54,0,0,0,32
174001048,10,1,1,1,24
174001049,4,0,0,0,3
174001050,87,22,8,13,43
174001051,40,22,1,11,30
174001052,42,22,4,0,35
174001053,146,2,0,1,50
174001054,75,0,0,0,7
174001055,24,0,0,0,93
174001056,203,1,0,25,12
174001057,41,5,1,0,24
174001058,153,30,2,4,53
174001059,65,2,1,1,9
174001060,24,0,0,0,5
174001061,36,6,0,1,17
174002001,67,16,6,0,159
174002002,195,5,3,0,124
174002003,38,1,1,0,156
174002004,293,23,52,0,145
174002005,344,25,11,3,194
174002006,222,3,0,5,257
174002007,179,11,2,2,128
174002011,180,1,0,0,119
174002012,109,1,0,0,70
174002013,153,5,14,2,325
174002014,183,12,7,4,394
174002015,5,52,26,2,54
174002016,7,13,0,0,1
174002017,10,8,5,0,13
174002018,17,24,11,0,29
174003001,59,0,0,1,47
174003003,137,0,0,0,101
174003004,132,3,0,1,118
174003005,172,2,0,3,64
174003006,284,0,0,1,103
174003007,68,2,0,0,26
174003008,79,0,0,0,27
174003009,181,1,0,2,127
174003010,39,0,0,0,10
174003011,99,1,0,0,40
174003012,279,0,2,1,123
174003013,96,1,0,0,63
174003014,98,0,1,2,58
174003015,71,1,0,0,18
174003016,40,0,0,0,21
174003017,147,0,0,0,117
174003018,190,0,0,2,146
174003019,107,1,0,0,79
174003020,235,4,0,2,206
174003021,89,2,1,7,158
174003022,207,0,0,0,83
174003023,369,1,3,1,289
174003024,38,2,0,2,20
174003025,31,0,1,0,3
174003026,117,1,0,4,20
174004001,110,0,0,2,62
174004002,129,4,4,1,165
174004003,81,11,3,6,238
174004004,24,0,0,0,1
174004005,130,7,5,3,87
174004006,37,4,0,0,15
174004007,59,0,1,1,5
174004008,54,1,1,0,14
174004009,118,6,1,0,60
174004010,105,4,1,1,91
174004011,47,1,0,0,4
174004012,12,2,0,0,1
174004013,141,0,0,3,170
174004014,42,1,0,0,35
174004015,11,1,0,0,57
174004016,109,2,0,1,65
174004017,214,1,3,1,63
174004018,85,0,2,0,24
174004019,94,5,3,0,68
174004020,216,2,4,0,49
174004021,34,2,6,0,30
174004022,109,0,0,0,6
174004023,12,3,6,0,37
174004024,47,1,1,0,10
174004025,48,0,0,1,12
174004026,43,0,1,0,1
174004027,68,2,4,0,88
174004028,64,10,0,0,18
174004029,195,1,1,1,47
174004030,100,0,2,0,130
174004032,105,4,1,1,11
174004033,21,3,1,0,18
174004034,41,2,1,0,79
174004035,105,1,0,1,79
174004036,255,2,3,2,49
174004037,95,1,3,0,26
174004038,23,0,0,0,0
174005001,233,2,1,3,51
174005002,202,2,0,3,27
174005003,215,3,3,1,48
174005004,49,2,0,0,5
174005005,42,2,1,0,2
174005006,157,1,0,0,20
174005007,14,14,0,0,6
174005008,128,2,2,1,21
174005009,89,9,0,3,19
174005010,68,5,0,0,10
174005011,82,1,1,0,16
174005012,176,3,3,1,43
174005013,143,25,7,0,88
174005014,79,1,0,1,14
174005015,96,5,3,8,29
174005016,38,8,1,0,21
174005017,74,0,2,0,31
174005018,56,30,11,1,22
174005019,408,38,4,0,71
174005020,50,1,0,0,13
174005021,48,8,1,0,9
174005022,86,6,0,2,31
174005023,118,2,0,0,55
174005024,204,3,2,6,39
174005025,173,65,0,2,17
174005026,64,2,0,3,20
174005027,64,53,2,1,7
174005028,174,1,0,1,20
174005029,303,2,0,1,38
174005030,66,94,2,3,62
174005031,65,12,1,0,10
174005032,289,0,0,2,27
174005033,169,1,0,0,25
174005034,1,6,0,0,1
174005035,47,43,2,0,26
174005036,204,19,1,1,115
174005037,109,6,0,2,75
174005038,188,7,4,6,119
174005039,90,1,0,1,46
174005040,39,45,10,0,13
174005041,216,27,2,5,85
174005042,20,16,7,0,30
174005043,342,11,1,0,26
174005044,93,8,0,1,13
174005045,87,2,2,0,16
174005047,156,1,1,2,41
174005048,159,3,5,3,44
174005049,199,5,0,0,18
174005050,200,63,1,1,22
174005051,90,0,0,0,20
174005052,214,3,3,1,50
174005053,26,23,0,0,18
174005054,108,1,0,2,56
174005055,289,9,8,2,37
174005056,240,5,0,2,65
174006001,75,0,1,0,23
174006002,48,0,1,0,28
174006003,82,4,0,2,22
174006004,202,33,4,2,33
174006005,311,2,0,1,133
174006006,256,12,1,4,111
174006007,87,3,6,1,26
174006008,168,3,3,3,24
174006009,96,3,2,2,25
174006010,89,4,3,1,14
174006011,185,2,0,0,70
174006012,420,9,10,0,141
174006013,105,4,6,1,29
174006014,282,10,5,2,42
174006015,226,11,1,1,92
174006016,124,21,7,6,17
174006017,202,8,3,1,39
174006018,75,4,3,0,26
174006019,72,8,0,0,96
174006020,281,25,3,13,93
174006021,125,13,2,0,25
174006022,183,17,8,2,134
174006023,239,4,1,4,89
174006024,12,2,5,2,81
174006025,366,8,13,0,151
175101001,231,11,0,0,312
175101002,392,10,57,2,462
175101003,331,6,0,3,329
175101004,363,10,3,4,44
175101005,175,22,33,9,306
175101006,238,14,2,0,71
175101007,152,7,9,7,401
175101008,367,8,1,8,521
175101009,143,46,11,6,213
175102001,466,9,1,1,112
175102002,446,18,14,3,236
175102003,139,7,0,1,170
175102004,561,97,16,10,237
175102005,1086,6,4,4,291
175102006,336,5,52,9,153
175102007,456,4,10,3,229
175103001,236,1,0,1,13
175103002,186,5,1,1,159
175103003,73,8,0,0,34
175103004,161,2,1,0,54
175103005,125,6,0,0,39
175103006,129,5,0,0,16
175103007,111,6,0,1,5
175103008,87,2,3,0,3
175103009,217,3,1,2,98
175104001,261,0,0,0,20
175104002,380,4,1,0,36
175104003,162,2,0,2,15
175104004,533,2,0,1,84
175104005,733,0,0,0,41
175104006,498,6,3,1,65
175104007,349,0,0,1,39
175104008,346,1,0,41,30
175104009,21,1,0,0,3
175104010,109,0,0,0,2
175104011,104,0,0,1,0
175104012,107,0,0,0,1
175104013,113,0,0,0,0
175104014,251,1,1,0,2
175104015,93,4,0,0,1
175104016,100,0,0,0,0
175105001,105,3,1,1,350
175105003,276,26,17,1,226
175105004,147,2,0,0,77
175105005,205,12,11,2,176
175105006,127,8,2,1,103
175105007,218,2,3,0,97
175105008,192,10,2,2,269
175105009,188,25,13,3,294
175105010,1128,75,15,1,256
175105011,254,37,15,7,299
175105012,252,31,10,1,187
175105013,134,34,10,2,99
175106001,692,51,58,8,511
175106002,217,5,11,1,119
175106003,1460,54,10,4,182
175106004,120,34,11,4,101
175106005,238,35,16,6,211
175106006,257,40,47,3,185
175106007,607,70,8,7,598
175106008,84,2,0,0,2
175106009,382,0,5,0,52
175106010,51,2,0,0,2
175106011,102,9,0,0,11
175106012,75,2,0,0,10
175106013,108,9,0,0,8
175106014,316,10,2,0,41
175106015,170,6,0,0,47
175107001,100,8,11,2,129
175107002,51,5,3,0,152
175107003,98,17,1,0,17
175107004,37,9,1,1,194
175107005,142,10,1,1,106
175107006,274,2,1,1,72
175107007,71,0,0,0,0
175107008,117,4,0,0,25
175107009,101,0,0,0,5
175107010,37,0,0,0,4
175107011,117,0,4,0,16
175107012,144,8,1,1,219
175108001,473,49,1,5,158
175108002,343,47,10,3,123
175108003,397,23,7,12,93
175108004,589,21,3,0,252
175108005,279,43,6,5,125
175108006,385,21,1,5,81
175108007,576,43,1,5,142
175108008,338,10,5,2,105
175108009,293,43,3,2,95
175108010,430,94,6,6,150
175108012,471,30,15,2,379
175109001,515,31,23,2,303
175109002,1322,9,3,6,294
175109003,227,12,31,3,163
175109004,592,17,5,16,164
175109005,370,11,24,2,94
175109006,257,1,1,2,71
175109007,457,29,8,6,88
175109008,693,23,96,7,304
175109009,993,4,0,3,201
175109010,180,7,2,3,69
175109011,396,6,1,2,95
175109013,188,12,0,0,191
175109014,385,12,1,3,56
175109016,178,4,33,0,69
175109017,642,6,1,1,122
175109018,426,69,19,7,100
175109019,739,3,2,5,226
175109020,213,3,29,1,107
175109021,223,5,1,1,29
175109022,267,11,7,1,71
175109023,156,18,55,2,45
175109024,308,12,62,2,91
175110001,54,14,1,2,265
175110002,52,9,6,17,85
175110003,974,16,15,14,36
175110004,15,6,0,0,66
175110005,49,6,0,0,29
175110006,62,1,0,0,0
175110007,155,1,0,0,2
175110008,77,0,0,2,10
175110009,244,1,1,5,18
175110010,48,0,0,0,0
175110011,45,12,0,0,3
175110012,41,6,0,0,0
175110013,346,23,12,6,465
175110014,292,22,1,2,101
175110015,1024,142,49,5,166
175110016,5,1,0,2,82
175110017,190,32,15,1,68
175110018,1497,38,11,7,251
175110019,46,6,4,1,115
175110020,1056,207,49,12,400
175110021,84,15,4,12,226
175110022,22,1,4,0,70
175110023,24,1,7,0,63
175110024,509,10,6,0,103
175110025,292,16,0,0,136
175110026,1067,23,1,4,67
175110027,397,11,6,4,72
175110028,531,9,3,0,89
175110029,418,21,16,3,153
175110030,859,51,36,8,287
175110031,702,89,29,14,358
175110032,225,9,1,3,432
175110033,22,3,5,0,192
175110034,1535,40,0,2,137
175110035,64,1,2,4,338
175110037,524,33,8,7,344
175110038,153,44,14,2,75
175110039,1733,352,48,3,131
175111001,480,24,60,0,376
175111002,1119,27,5,19,1036
175111003,437,15,3,5,581
175111004,360,8,9,9,501
175111006,328,16,0,1,629
175111007,786,14,4,2,348
175111008,1088,127,39,5,1277
175111009,482,1,0,6,251
175111010,517,14,8,4,195
175111011,589,41,4,1,171
175111012,312,6,0,1,252
175201001,234,10,1,0,39
175201002,242,7,5,2,94
175201004,78,1,2,0,22
175201005,186,15,8,1,46
175201006,254,8,2,2,32
175201007,288,5,3,1,42
175201008,368,12,40,0,103
175201010,109,2,0,1,33
175201011,65,0,0,0,18
175201012,292,13,15,1,139
175201013,117,7,1,0,32
175201014,239,8,32,1,30
175201015,183,0,0,2,54
175201016,127,0,0,0,73
175201017,77,0,0,2,14
175201018,30,0,0,1,38
175201019,139,5,21,2,224
175201020,57,1,6,0,48
175201021,295,17,16,0,56
175201022,277,7,11,2,81
175201023,209,2,0,0,79
175201024,196,2,24,0,49
175201025,208,0,3,1,86
175201026,26,4,14,5,182
175201027,94,17,106,1,132
175201028,3,3,8,2,161
175201029,476,15,1,0,61
175202001,146,105,4,2,107
175202003,28,46,22,0,59
175202004,298,75,33,2,270
175202005,41,65,38,8,151
175202006,57,10,1,0,111
175202007,382,75,18,0,217
175202008,104,492,22,5,208
175202009,125,228,10,4,165
175202010,60,87,31,13,192
175202011,152,289,104,7,216
175202012,214,108,2,1,199
175202013,279,16,1,2,137
175202014,367,13,16,3,225
175203001,49,188,38,6,189
175203002,48,2,2,7,161
175203003,100,0,3,4,35
175203004,182,12,6,8,135
175203005,115,5,10,1,229
175203006,74,145,73,3,261
175203007,191,126,9,2,112
175203008,218,1,2,4,75
175203009,87,92,14,2,319
175203010,106,3,1,1,36
175203011,248,77,30,0,79
175203012,278,141,67,3,191
175203013,118,39,10,3,140
175203014,92,61,27,4,146
175203015,86,25,13,7,831
175203016,204,13,5,4,52
175203017,402,13,6,18,161
175203018,57,22,8,1,64
175203019,277,37,45,2,119
175203020,111,47,30,0,115
175203021,2,90,27,0,58
175203022,115,36,7,0,111
175203023,50,18,11,0,47
175203024,38,169,46,2,191
175203025,273,2,2,2,59
175203026,100,17,14,0,61
175203027,32,25,4,0,52
175203028,57,40,14,3,117
175203029,5,57,21,3,83
175203031,133,22,4,0,92
175203032,109,94,3,0,59
175203033,287,7,1,1,89
175203034,320,98,23,0,30
175203035,138,0,4,0,22
175203036,212,146,23,3,78
175203037,132,17,10,0,106
175204001,16,16,0,2,82
175204002,151,51,12,5,281
175204003,17,54,64,21,626
175204005,21,1,2,0,152
175204006,108,53,28,2,115
175204007,154,77,5,2,124
175204008,65,8,11,4,51
175204009,126,15,27,4,208
175204010,48,13,11,14,155
175204011,88,71,17,18,445
175204012,193,102,22,5,229
175204013,30,27,0,1,48
175204014,37,3,1,0,45
175204015,135,28,5,4,374
175204017,180,32,10,9,620
175205001,165,24,2,0,11
175205002,552,9,3,4,21
175205003,532,25,3,6,36
175205004,112,35,25,0,12
175205005,168,4,0,4,4
175205006,360,4,1,4,18
175205007,308,12,7,8,17
175205008,31,7,3,0,1
175205009,349,43,10,17,27
175205010,100,5,3,0,33
175205011,318,37,17,3,31
175205012,226,5,1,2,33
175205013,408,38,5,0,34
175205015,452,14,32,23,29
175205016,584,42,23,1,8
175205017,589,16,5,2,3
175205018,260,44,4,7,43
175205019,438,23,4,2,13
175205021,296,19,4,1,28
