sites_within_metro_manila,location,12/14/2015,1/15/2015,2/15/2015,3/15/2015,4/15/2015,5/15/2015,6/15/2015,7/15/2015,8/15/2015,9/15/2015,10/15/2015
NBI Clearance Center,-,54421,120434,121641,110096,85033,86712,85883,80591,72050,82170,76338
NBI Clearance Center,Quezon City Hall,12916,18134,25107,24808,21890,23845,25606,23804,20918,23594,23128
NBI Clearance Center,Montalban Rizal,2576,7814,6864,6697,5810,5723,5738,4872,2351,5449,5075
NBI Clearance Center,Muntinlupa City ,6670,13548,13409,12785,12374,15104,17104,15737,14138,16572,15583
NBI Clearance Center,Mandaluyong City Hall,4934,8353,9416,10821,9891,10288,11443,10664,9569,10816,10370
NBI Clearance Center,Las Pinas City,4471,10104,10011,10688,10374,10448,10146,9780,8413,9920,9848
NBI Clearance Center,Robinsons Place,4113,5667,7058,7832,7187,7533,7594,7142,6367,7065,7198
NBI Clearance Center,Robinsons Otis,2665,6150,6623,6607,5040,4486,4856,4574,4062,4801,4426
NBI Clearance Center,Robinsons Galleria,7366,9806,10244,12728,12557,12919,13616,13798,11572,13594,13710
NBI Clearance Center,Robinsons Metro East,6143,10663,10691,10679,10753,10664,11365,10227,9981,10737,10096
NBI Clearance Center,Robinsons Cainta,4166,11599,10133,9922,10462,10431,11086,10845,9445,10994,9737
NBI Clearance Center,Robinsons Novaliches,5089,9153,9060,9816,12746,13338,14248,13422,12244,14298,13302
NBI Clearance Center,Ever Gotesco Recto,3999,7458,7817,8441,7813,7741,8841,8499,8504,7974,7595
NBI Clearance Center,Duty Free Fiesta Mall,2595,5386,7817,6344,5416,5569,6130,5712,5035,5897,5907
NBI Clearance Center,Empire Mall,3828,6282,7247,7399,7059,7204,7021,7489,6427,7695,7381
NBI Clearance Center,Berma Mall,2208,3013,4644,5482,4330,4346,4659,4426,4028,4759,4962
NBI Clearance Center,LRT North Mall,1850,5267,6658,7844,9391,9414,10749,9822,9461,10634,10227
NBI Clearance Center,Marikina Riverbanks,-,-,-,2582,4111,4514,4774,4371,4881,5399,4991
NBI Clearance Center,Alimall Araneta Center,-,-,-,813,6054,6940,9992,8963,8243,8465,9051
NBI Clearance Center,NBI on Wheels,1395,1917,2027,4304,2377,3136,5397,1585,1275,1928,1669
NBI Clearance Center,Office of the Director,-,3,4,41,-,-,-,-,-,-,-
NBI Field Offices,Cordillera Administrative Region,4699,11186,10160,9563,9033,9320,9991,8194,7280,9185,6908
Region I,Ilocos Regional Office,2013,4761,4391,4339,4035,3771,3570,3066,3021,3315,2886
Region I,Agoo-La Union,-,-,-,-,97,718,814,764,704,728,708
Region I,Dagupan District Office,4579,11429,8597,8183,8978,9557,9126,7967,7377,8000,5790
Region I,CB Mall,1120,3213,2971,3216,3066,3187,2794,2828,2579,3278,2750
Region I,Laoag District Office,1541,3644,2953,3616,3441,3073,3140,2905,2617,3053,2630
Region I,Vigan District Office,1345,3129,2527,2363,2553,2379,2634,2109,1965,2237,1930
Region II,Cagayan Valley Regional Office,2382,6085,5082,4812,5333,5060,4726,4390,3658,3937,3814
Region II,Bayombong District Office,1427,4336,3561,3430,3304,3162,3337,3346,2617,2659,2583
Region II,Isabela District Office,1608,3625,3375,3636,3645,3289,3735,3346,2913,3072,3149
Region III,Central Luzon Regional Office,6726,17389,14985,15120,14683,14764,14476,14695,12959,13843,13850
Region III,Bulacan District Office,3461,7627,6474,6676,7125,6980,7881,7462,6251,6896,6446
Region III,Marilao Municipal Hall,3992,14200,11993,11357,10274,11016,11503,10410,9606,10975,9291
Region III,San Rafael Bulacan,-,-,-,-,-,13,27,44,40,23,147
Region III,Cabanatuan District Office,2996,7265,5648,6185,5951,6959,7000,6472,5763,6128,5340
Region III,Olongapo District Office,3994,10126,8310,8451,7939,8265,9357,7876,6424,8798,6863
Region III,Tarlac District Office,3093,7465,6072,6226,6300,6697,7197,5766,2631,507,1521
Region III,Metro Town Tarlac,-,-,-,-,-,-,-,-,1619,6132,4277
Region IV-A,-,3314,6939,5902,5690,5920,5515,5918,5504,4892,5574,5391
Region IV-A,Lipa City Hall,3196,9126,8267,7811,7836,8352,8592,7912,6872,7086,7018
