year,total_existing_labor_orgs_number,total_existing_labor_orgs_membership,local_or_independent_unions_number,local_or_independent_membership,federations_number,federations_membership,public_sector_unions_number,public_sector_unions_membership,labor_centers
1980,1747,1920623,1630,412649,110,1507974,-,-,7
1981,1890,2220528,1771,448222,112,1772306,-,-,7
1982,1813,2239369,1693,466985,113,1772384,-,-,7
1983,1659,2057803,1538,427146,114,1630657,-,-,7
1984,1804,2086511,1680,451086,117,1635425,-,-,7
1985,1996,2117023,1868,477687,121,1639336,-,-,7
1986,2353,2167881,2217,517038,129,1650843,-,-,7
1987,2865,2119352,2694,564750,135,1525195,29,29407,7
1988,3468,2180437,3242,597400,140,1531765,79,51272,7
1989,4084,2972427,3795,660703,143,2239100,139,72624,7
1990,4636,3055091,4292,718023,145,2241398,192,95670,7
1991,5236,3112993,4843,756592,147,2248260,238,108141,8
1992,5710,3142031,5258,787196,149,2241322,295,113513,8
1993,6340,3196750,5836,829540,151,2244711,345,122499,8
1994,7274,3511084,6725,739628,158,2642192,382,129264,9
1995,7882,3586835,7283,781572,159,2669712,431,135551,9
1996,8250,3612353,7610,805622,162,2662655,468,144076,10
1997,8822,3634638,8149,813026,165,2675478,499,146134,9
1998,9374,3686778,8643,832409,164,2704116,558,150253,9
1999,9850,3731076,9056,853075,164,2716913,621,161088,9
2000,10296,3788304,9430,883515,166,2727595,691,177194,9
2001,10924,3849976,9804,899580,168,2741833,943,208563,9
2002,15444,1469328,14116,1232762,168,-,1150,236566,10
2003,16091,1516862,14629,1263507,170,-,1282,253355,10
2004,16723,1572289,15193,1301585,138,-,1382,270704,10
2005,17132,1910166,15526,1627480,127,-,1469,282686,10
2006,16778,1854772,15101,1563118,128,-,1539,291654,10
2007,17021,1917707,15320,1583388,128,-,1563,334319,10
2008,17305,1941727,15536,1598250,131,-,1628,343477,10
2009,17665,1985467,15848,1629188,131,-,1676,356279,10
2010,17973,1713590,16132,1352910,125,-,1706,360680,10
2011,18242,1778824,16388,1375973,135,-,1709,402851,10
2012,18428,1833481,16541,1387437,135,-,1742,446044,10
