Type of Bank,Type of Financial Institution,March,June,Sept,Dec,,,,,,
Total Banks,Total Banks,"3,812","3,843","3,895","3,995",,,,,,
On-site and Off-site,Universal and Commercial Banks,"3,449","3,480","3,530","3,630",,,,,,
On-site and Off-site,Universal Banks,"3,086","3,114","3,161","3,267",,,,,,
On-site and Off-site,Commercial Banks,363,366,369,363,,,,,,
On-site and Off-site,Thrift Banks,363,363,365,365,,,,,,
On-site,Total Banks On-site,"3,062","3,084","3,112","3,172",,,,,,
On-site,Universal and Commercial Banks,"2,720","2,742","2,770","2,830",,,,,,
On-site,Universal Banks,"2,410","2,432","2,458","2,520",,,,,,
On-site,Commercial Banks,310,310,312,310,,,,,,
On-site,Thrift Banks,342,342,342,342,,,,,,
Off-site,Total Banks Off-site,750,759,783,823,,,,,,
Off-site,Universal and Commercial Banks,729,738,760,800,,,,,,
Off-site,Universal Banks,676,682,703,747,,,,,,
Off-site,Commercial Banks,53,56,57,53,,,,,,
Off-site,Thrift Banks,21,21,23,23,,,,,,
,,,,,,,,,,,
Physical Network: Number of Automated Teller Machines,,,,,,,,,,,
As of end of periods indicated:  2001,,,,,,,,,,,
