Type of Bank,Type of Financial Institution,March_total,March_ON-SITE,March_OFF-SITE,June_total,June_ON-SITE,June_OFF-SITE,September_total,September_ON-SITE,September_OFF-SITE,December_TOTAL,December_ON-SITE,December_OFF-SITE,,,,,,,,,,,,,,,,,
BSP Supervised/Regulated Banks,BSP Supervised/Regulated Banks,"10,997 ","6,724 ","4,273 ","11,328 ","6,842 ","4,486 ","11,752 ","7,043 ","4,709 ","12,225 ","7,282 ","4,943 ",,,,,,,,,,,,,,,,,
Universal and Commercial Banks,Universal and Commercial Banks,"9,478 ","5,684 ","3,794 ","9,760 ","5,780 ","3,980 ","10,081 ","5,929 ","4,152 ","10,510 ","6,130 ","4,380 ",,,,,,,,,,,,,,,,,
Universal Banks,Universal Banks," 8,507 "," 5,116 "," 3,391 "," 8,781 "," 5,231 "," 3,550 "," 9,201 "," 5,496 "," 3,705 "," 9,607 "," 5,691 "," 3,916 ",,,,,,,,,,,,,,,,,
Universal Banks,    Private Domestic Banks," 7,269 "," 4,367 "," 2,902 "," 7,519 "," 4,465 "," 3,054 "," 7,912 "," 4,718 "," 3,194 "," 8,283 "," 4,909 "," 3,374 ",,,,,,,,,,,,,,,,,
Universal Banks,    Government Banks," 1,210 ", 721 , 489 ," 1,234 ", 738 , 496 ," 1,261 ", 750 , 511 ," 1,296 ", 754 , 542 ,,,,,,,,,,,,,,,,,
Universal Banks,    Branches of Foreign Banks, 28 , 28 , - , 28 , 28 , - , 28 , 28 , - , 28 , 28 , - ,,,,,,,,,,,,,,,,,
Commercial Banks,Commercial Banks, 971 , 568 , 403 , 979 , 549 , 430 , 880 , 433 , 447 , 903 , 439 , 464 ,,,,,,,,,,,,,,,,,
Commercial Banks,    Private Domestic Banks, 864 , 477 , 387 , 869 , 458 , 411 , 761 , 339 , 422 , 784 , 345 , 439 ,,,,,,,,,,,,,,,,,
Commercial Banks,    Subsidiaries of Foreign Banks, 87 , 71 , 16 , 90 , 71 , 19 , 99 , 74 , 25 , 99 , 74 , 25 ,,,,,,,,,,,,,,,,,
Commercial Banks,    Branches of Foreign Banks, 20 , 20 , - , 20 , 20 , - , 20 , 20 , - , 20 , 20 , - ,,,,,,,,,,,,,,,,,
Thrift Banks 1/,Thrift Banks 1/,"1,301 ",856 ,445 ,"1,344 ",872 ,472 ,"1,417 ",896 ,521 ,"1,471 ",944 ,527 ,,,,,,,,,,,,,,,,,
Rural and Cooperative Banks ,Rural and Cooperative Banks ,218 ,184 ,34 ,224 ,190 ,34 ,254 ,218 ,36 ,244 ,208 ,36 ,,,,,,,,,,,,,,,,,
Rural and Cooperative Banks ,Rural Banks 1/,218 ,184 ,34 ,224 ,190 ,34 ,252 ,216 ,36 ,242 ,206 ,36 ,,,,,,,,,,,,,,,,,
Rural and Cooperative Banks ,Cooperative Banks, - , - , - , - , - , - ,2 ,2 , - ,2 ,2 , - ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physical Network: Number of Automated Teller Machines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
As of end of periods indicated:  2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universal and Commercial Banks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universal Banks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Private Domestic Banks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Government Banks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Branches of Foreign Banks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial Banks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Private Domestic Banks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Subsidiaries of Foreign Banks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Branches of Foreign Banks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thrift Banks 1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rural and Cooperative Banks ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rural Banks 1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cooperative Banks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
