region,total_number_registered_voters_1992,total_number_registered_voters_1995,total_number_registered_voters_1998,total_number_registered_voters_2001,total_number_registered_voters_2004,total_number_registered_voters_2007,total_number_registered_voters_2010,total_number_registered_voters_2013,total_number_voters_who_actually_voted_1992,total_number_voters_who_actually_voted_1995,total_number_voters_who_actually_voted_1998,total_number_voters_who_actually_voted_2001,total_number_voters_who_actually_voted_2004,total_number_voters_who_actually_voted_2007,total_number_voters_who_actually_voted_2010,total_number_voters_who_actually_voted_2013,percentage_voters_turn_out_1992,percentage_voters_turn_out_1995,percentage_voters_turn_out_1998,percentage_voters_turn_out_2001,percentage_voters_turn_out_2004,percentage_voters_turn_out_2007,percentage_voters_turn_out_2010,percentage_voters_turn_out_2013
NCR,4587600,5415082,5154122,5192424,5931572,5684943,6178966,5995904,3356509,3066612,4152674,3274475,4033113,3530493,4267563,4220571,73.16,56.63,80.57,63.06,67.99,62.1,69.07,70.39
CAR,593468,656947,591358,649282,762238,790010,905010,924751,449304,488916,515840,517250,596356,591979,691152,718902,75.71,74.42,87.23,79.66,78.24,74.93,76.37,77.74
Region I,1850585,2026564,1885892,2011436,2322803,2404012,2808712,2865115,1512142,1612534,1725714,1662722,1955599,1939639,2277651,2364308,81.71,79.57,91.51,82.66,84.19,80.68,81.09,82.52
Region II,1146450,1332572,1170668,1248151,1498501,1599510,1833137,1871822,886579,961724,1037702,984254,1167106,1183845,1386611,1475903,77.33,72.17,88.64,78.86,77.88,74.01,75.64,78.85
Region III,3431573,4027363,3793175,4001866,4953027,5097299,5675830,5822678,2665676,2882375,3347818,3094193,3816094,3709301,4330837,4544930,77.68,71.57,88.26,77.32,77.05,72.77,76.3,78.06
Region IV-A,3478196,4108931,4066849,4378939,5525334,5743100,6771140,7205067,2630849,2913978,3527658,3296384,4192337,4029272,4922361,5196751,75.64,70.92,86.74,75.28,75.87,70.16,72.7,72.13
Region IV-B,872082,1008843,897500,1010184,1191482,1267695,1475268,1552520,662706,737602,782976,792893,944441,954237,1110730,1198683,75.99,73.11,87.24,78.49,79.27,75.27,75.29,77.21
Region V,1922143,2108854,1868951,2079356,2431397,2550134,2874126,3037795,1474563,1619716,1677457,1683544,2007470,1993770,2309242,2489711,76.71,76.81,89.75,80.96,82.56,78.18,80.35,81.96
Region VI,2812031,3017766,2755218,3016682,3601807,3668321,3939551,4049640,2173269,2287204,2447258,2429912,2869591,2800190,3105590,3318398,77.28,75.79,88.82,80.55,79.67,76.33,78.83,81.94
Region VII,2474017,2578742,2526916,2785121,3299070,3460577,3942460,4114046,1938038,1968912,2275717,2274082,2704790,2722242,3119638,3358840,78.34,76.35,90.06,81.65,81.99,78.66,79.13,81.64
Region VIII,1673384,1849506,1578621,1831220,2073753,2198101,2441324,2576229,1272637,1400533,1412334,1502265,1706451,1758278,1957000,2146471,76.05,75.72,89.47,82.04,82.29,79.99,80.16,83.32
Region IX,1121996,1306280,1181967,1318989,1617649,1695970,1861565,1981427,787833,850054,996670,992901,1215981,1196786,1299848,1439050,70.22,65.07,84.32,75.28,75.17,70.57,69.83,72.63
Region X,1494045,1612138,1614950,1731883,2047523,2107429,2425957,2458123,1115412,1209713,1409336,1359870,1597844,1602437,1851263,1948220,74.66,75.04,87.27,78.52,78.04,76.04,76.31,79.26
Region XI,1483204,1631161,1615910,1735513,2143186,2227279,2570106,2660156,1072808,1096548,1377367,1290990,1553454,1515321,1786807,1886823,72.33,67.23,85.24,74.39,72.48,68.03,69.52,70.93
Region XII,1059650,1233104,1239246,1334453,1746920,1763820,1995877,1985062,732772,808370,1029809,977586,1261759,1197837,1375269,1501294,69.15,65.56,83.1,73.26,72.23,67.91,68.91,75.63
CARAGA,948764,1023289,909932,1050318,1160458,1238303,1383595,1445729,708882,761546,799710,838014,942815,972495,1097718,1196095,74.72,74.42,87.89,79.79,81.25,78.53,79.34,82.73
ARMM,1191891,1478012,1265781,979081,1215914,1384626,1816530,1468584,814975,1070168,958269,765933,944891,1110815,1280220,1208743,68.38,72.41,75.71,78.23,77.71,80.22,70.48,82.31
