region,province,city_or_municipality,existing_establishment_number_of_aes,existing_establishment_number_of_rooms,existing_establishment_expension_rooms,under_construction_estblishment_number_of_aes,under_construction_estblishment_number_of_rooms,total_number_of_aes,total_number_of_rooms
NCR (National Capital Region),Manila,Manila,89,8750,138,0,0,89,8888
NCR (National Capital Region),Mandaluyong City,Mandaluyong,9,1469,165,0,0,9,1634
NCR (National Capital Region),Marikina City,Marikina City,3,115,0,0,0,3,115
NCR (National Capital Region),Pasig City,Pasig City,15,1772,0,1,313,16,2085
NCR (National Capital Region),Quezon City,Quezon City,40,3036,45,3,599,43,3680
NCR (National Capital Region),San Juan City,San Juan City,4,144,0,0,0,4,144
NCR (National Capital Region),Caloocan City,Caloocan City,7,584,0,0,0,7,584
NCR (National Capital Region),Malabon City,Malabon City,3,86,0,0,0,3,86
NCR (National Capital Region),Valenzuela City,Valenzuela City,2,48,0,0,0,2,48
NCR (National Capital Region),Las Pinas City,Las Pinas City,6,202,0,0,0,6,202
NCR (National Capital Region),Makati City,Makati City,64,7509,95,6,1899,70,9503
NCR (National Capital Region),Muntinlupa City,Muntinlupa City,9,1389,10,0,0,9,1399
NCR (National Capital Region),Paranaque City,Paranaque City,24,673,670,3,1500,27,2843
NCR (National Capital Region),Pasay City,Pasay City,38,5540,0,3,1107,41,6647
NCR (National Capital Region),Taguig City,Taguig City,5,440,0,5,1770,10,2210
NCR (National Capital Region),Pateros,Pateros,2,33,0,0,0,2,33
CAR (Cordillera Administrative Region),Abra,Bangued,14,165,20,0,0,14,185
CAR (Cordillera Administrative Region),Abra,Pidigan,1,6,0,0,0,1,6
CAR (Cordillera Administrative Region),Abra,San Quintin,1,14,0,0,0,1,14
CAR (Cordillera Administrative Region),Abra,Tayum,3,36,10,0,0,3,46
CAR (Cordillera Administrative Region),Apayao,Calanasan,1,28,0,0,0,1,28
CAR (Cordillera Administrative Region),Apayao,Conner,1,3,0,0,0,1,3
CAR (Cordillera Administrative Region),Apayao,Kabugao,2,10,4,0,0,2,14
CAR (Cordillera Administrative Region),Apayao,Luna,7,63,0,1,40,8,103
CAR (Cordillera Administrative Region),Apayao,Pudtol,13,48,5,0,0,13,53
CAR (Cordillera Administrative Region),Apayao,Santa Marcela,1,3,0,0,0,1,3
CAR (Cordillera Administrative Region),Benguet,Atok,3,14,0,0,0,3,14
CAR (Cordillera Administrative Region),Benguet,Benguet,1,26,0,0,0,1,26
CAR (Cordillera Administrative Region),Benguet,Buguias,3,45,15,0,0,3,60
CAR (Cordillera Administrative Region),Benguet,Itogon,3,13,0,0,0,3,13
CAR (Cordillera Administrative Region),Benguet,Kabayan,4,30,0,1,6,5,36
CAR (Cordillera Administrative Region),Benguet,La Trinidad,7,114,0,0,0,7,114
CAR (Cordillera Administrative Region),Benguet,Mankayan,2,33,0,0,0,2,33
CAR (Cordillera Administrative Region),Benguet,Tuba,2,33,0,0,0,2,33
CAR (Cordillera Administrative Region),Ifugao,Banaue,25,323,23,1,21,26,367
CAR (Cordillera Administrative Region),Ifugao,Hungduan,4,18,0,0,0,4,18
CAR (Cordillera Administrative Region),Ifugao,Kiangan,21,59,1,2,9,23,69
CAR (Cordillera Administrative Region),Ifugao,Lagawe,3,29,0,0,0,3,29
CAR (Cordillera Administrative Region),Ifugao,Mayoyao,4,23,3,0,0,4,26
CAR (Cordillera Administrative Region),Kalinga,Lubuagan,5,24,3,0,0,5,27
CAR (Cordillera Administrative Region),Kalinga,Tabuk City,14,168,0,0,0,14,168
CAR (Cordillera Administrative Region),Kalinga,Tinglayan,2,13,3,0,0,2,16
CAR (Cordillera Administrative Region),Mountain Province,Bauko,1,24,0,0,0,1,24
CAR (Cordillera Administrative Region),Mountain Province,Bontoc,12,149,0,0,0,12,149
CAR (Cordillera Administrative Region),Mountain Province,Sagada,28,299,5,0,0,28,304
CAR (Cordillera Administrative Region),Baguio City,Baguio City,155,5042,102,1,30,156,5174
I (Ilocos Region),Ilocos Norte,Bangui,3,22,4,1,0,4,26
I (Ilocos Region),Ilocos Norte,Batac City,5,70,7,0,0,5,77
I (Ilocos Region),Ilocos Norte,Burgos,1,38,0,0,0,1,38
I (Ilocos Region),Ilocos Norte,Currimao,11,266,0,0,0,11,266
I (Ilocos Region),Ilocos Norte,Laoag City,29,1190,28,0,0,29,1218
I (Ilocos Region),Ilocos Norte,Pagudpud,85,551,67,4,34,89,652
I (Ilocos Region),Ilocos Norte,Paoay,1,15,0,0,0,1,15
I (Ilocos Region),Ilocos Norte,Pasuquin,4,36,0,0,0,4,36
I (Ilocos Region),Ilocos Norte,San Nicolas,3,218,0,0,0,3,218
I (Ilocos Region),Ilocos Sur,Bantay,5,92,5,0,0,5,97
I (Ilocos Region),Ilocos Sur,Cabugao,4,34,12,0,0,4,46
I (Ilocos Region),Ilocos Sur,Candon City,10,132,10,0,0,10,142
I (Ilocos Region),Ilocos Sur,Caoayan,3,36,2,0,0,3,38
I (Ilocos Region),Ilocos Sur,Magsingal,1,16,0,0,0,1,16
I (Ilocos Region),Ilocos Sur,Narvacan,3,20,14,0,0,3,34
I (Ilocos Region),Ilocos Sur,San Esteban,2,22,5,0,0,2,27
I (Ilocos Region),Ilocos Sur,San Ildefonso,1,12,2,0,0,1,14
I (Ilocos Region),Ilocos Sur,San Juan,2,19,2,1,20,3,41
I (Ilocos Region),Ilocos Sur,San Vicente,2,28,0,0,0,2,28
I (Ilocos Region),Ilocos Sur,Santa Catalina,3,45,34,0,0,3,79
I (Ilocos Region),Ilocos Sur,Santa Cruz,2,12,0,0,0,2,12
I (Ilocos Region),Ilocos Sur,Santa Lucia,3,21,6,0,0,3,27
I (Ilocos Region),Ilocos Sur,Santa Maria,2,23,0,0,0,2,23
I (Ilocos Region),Ilocos Sur,Santiago,1,27,10,0,0,1,37
I (Ilocos Region),Ilocos Sur,Santo Domingo,1,20,0,0,0,1,20
I (Ilocos Region),Ilocos Sur,Sinait,3,41,0,0,0,3,41
I (Ilocos Region),Ilocos Sur,Tagudin,8,94,50,0,0,8,144
I (Ilocos Region),Ilocos Sur,Vigan City,24,423,53,2,18,26,494
I (Ilocos Region),La Union,Agoo,9,96,11,0,0,9,107
I (Ilocos Region),La Union,Aringay,3,37,10,0,0,3,47
I (Ilocos Region),La Union,Bacnotan,2,14,0,0,0,2,14
I (Ilocos Region),La Union,Balaoan,3,26,14,0,0,3,40
I (Ilocos Region),La Union,Bangar,2,13,3,0,0,2,16
I (Ilocos Region),La Union,Bauang,19,330,39,0,0,19,369
I (Ilocos Region),La Union,Caba,3,55,3,0,0,3,58
