month,temp_high,temp_high_date,temp_low,temp_low_date,greatest_daily_rainfall_amount,greatest_daily_rainfall_amount_date,wind_high_spd,wind_high_dir,wind_high_date,sea_level_pressures_high,sea_level_pressures_high_date,sea_level_pressures_low,sea_level_pressures_low_date
January,34.7,1/28/1990,16.5,1/23/1976,118.6,1/3/1931,21,NE,1/5/1952,1020,1/21/2005,1000.4,1/24/1975
February,35.5,2/25/2005,16.7,2/4/1976,79.5,2/16/1925,24,NNE,2/17/1962,1018.8,2/24/1985,1002.5,2/9/2001
March,39,3/4/1973,18.6,3/3/1968,214.6,3/1/1996,22,NE,3/20/1965,1017.8,3/2/1987,1001.2,3/4/1999
April,37.5,4/25/1998,20,4/8/1976,104.6,4/28/1994,25,SE,4/25/1971,1017.3,4/14/1968,991.3,4/25/1971
May,37.8,5/26/1987,20.2,5/19/1977,242.5,5/12/2006,30,SW,5/27/2003,1016.2,5/10/1957,1000.1,5/5/1951
June,37.5,6/5/1991,21,6/28/1997,188.4,6/20/2008,26,SW,6/25/1992,1015.3,6/30/1983,999.1,6/10/1974
July,35.2,7/10/1936,19.5,7/31/1975,319.8,7/29/1994,25,SSW,7/28/1982,1015.9,7/31/1987,996,7/2/1952
August,34.8,8/11/1939,20,8/1/1975,222.3,8/8/1929,25,SW,8/1/1986,1015.3,8/30/1983,1000.4,8/6/1964
September,37.8,9/16/1975,19.8,9/5/1975,154.7,9/4/1962,20,WSW,9/3/1991,1017,9/27/1982,993.6,9/2/1984
October,35.4,10/3/1976,19.2,10/18/1975,225,10/28/1995,36,SW,10/28/1995,1017.6,10/5/1987,990.8,10/28/1995
November,34.8,11/1/1930,19.4,11/22/1975,255.6,11/5/1984,45,N,11/24/1968,1017.2,11/30/1978,977.2,11/13/1990
December,34.5,12/19/1998,18.3,12/3/1904,172.2,12/21/1933,34,NE,12/10/1951,1017.9,12/12/2002,993,12/10/1951
Annual,39,3/4/1973,16.5,1/23/1976,319.8,7/29/1994,45,N,11/24/1968,1020,1/21/2005,977.2,11/13/1990
Period of Record,1903 - 2008,1903 - 2008,1903 - 2008,1903 - 2008,1903 - 2008,1903 - 2008,1949 - 2008,1949 - 2008,1949 - 2008,1949 - 2008,1949 - 2008,1949 - 2008,1949 - 2008
