month,temp_high,temp_high_date,temp_low,temp_low_date,greatest_daily_rainfall_amount,greatest_daily_rainfall_amount_date,wind_high_spd,wind_high_dir,wind_high_date,sea_level_pressures_high,sea_level_pressures_high_date,sea_level_pressures_low,sea_level_pressures_low_date
January,32.7,1/24/1912,17,1/12/1979,239, 1/9/2004,32,N,1/16/1988,1020.7,1/6/1958,987.7,1/16/1988
February,33.7,2/18/1912,16,2/3/2004,254.4,2/14/1989,26,ENE,2/13/1980,1021,2/1/1962,996.2,2/25/1970
March,35,3/25/1961,17,3/25/1913,209.2,3/11/1971,18,NE,3/16/1962,1021.4,3/7/2005,1001.1,3/20/2004
April,36.5,4/18/1990,16.7,4/4/1963,193,4/6/1935,21,NE,4/24/1968,1018.2,4/4/1998,1002.1,4/21/1956
May,37.7,5/27/1968,17.1,5/7/1972,215.9,5/1/2009,41,ENE,5/26/1971,1016,5/9/1957,985.8,5/26/1971
June,37.6,6/11/1963,18.9,6/14/1971,377.9,6/3/1923,57,S,6/24/1972,1017.2,6/15/1953,961.7,6/25/1960
July,36.6,7/5/1915,15.8,7/20/1971,295.6,7/25/2011,29,ENE,7/14/1971,1015.5,7/7/1953,969.2,7/14/1983
August,36.9,8/7/1939,19.4,8/8/1971,178.3,8/13/1963,41,ENE,8/12/1987,1015,8/11/1969,983.9,8/12/1987
September,36,9/1/1908,19,9/13/1975,229.6,9/27/2006,50,SSE,9/27/2006,1015.5,9/5/1953,9699,9/27/2006
October,35.3,10/3/1930,17.2,10/31/1969,264,10/13/1970,49,WSW,10/13/1970,1016.5,10/30/1994,972,10/6/1960
November,34.4,11/3/1913,17.9,11/1/1969,484.6,11/3/1967,65,N,11/25/1987,1019.2,11/30/1978,929.5,11/25/1987
December,33.2,12/18/1904,13.9,12/28/1971,258.6,12/31/1979,36,SSW,12/31/1979,1020.1,12/27/2001,984.8,12/31/1959
Annual,37.7,5/27/1968,13.9,12/28/1971,484.6,11/3/1967,65,N,11/25/1987,1021.4,3/7/2005,929.5,11/25/1987
Period of Record,1903 - 2012,1903 - 2012,1903 - 2012,1903 - 2012,1902 - 2012,1902 - 2012,1950 - 2012,1950 - 2012,1950 - 2012,1949 - 2012,1949 - 2012,1949 - 2012,1949 - 2012
