month,temp_high,temp_high_date,temp_low,temp_low_date,greatest_daily_rainfall_amount,greatest_daily_rainfall_amount_date,wind_high_spd,wind_high_dir,wind_high_date,sea_level_pressures_high,sea_level_pressures_high_date,sea_level_pressures_low,sea_level_pressures_low_date
January,37.6,1/3/2002,19,1/19/1990,265.4,1/6/1957,30,NE,1/11/1997,1021.1,1/21/2005,996.6,1/8/1972
February,35.4,2/27/2003,16.1,2/10/1966,176.8,2/20/1907,27,NE,2/17/1977,1020.6,2/4/1964,1002.5,2/25/1970
March,36.3,3/5/2003,19.5,3/3/1990,149,3/4/1996,18,E,3/28/1998,1021.5,3/7/2005,1001.6,3/20/2004
April,37.5,4/29/1919,21.1,4/4/1963,222.2,4/20/1978,35,ENE,4/20/1978,1018.5,4/8/1968,994.5,4/20/1978
May,37.4,5/20/1914,21.3,5/17/1989,196.8,5/16/2004,25,SW,5/26/1971,1016.5,5/3/1991,977,5/17/1962
June,36.8,6/10/1914,21.3,6/8/1974,319.5,6/3/1923,26,SSW,6/25/1971,1016.3,6/15/1953,994.2,6/25/1971
July,36.8,7/24/1998,19.8,7/9/1991,242,7/9/1983,32,SSW,7/14/1971,1015.2,7/7/1953,955.8,7/3/2001
August,35.8,8/31/1981,20.1,8/29/1981,237.6,8/12/1987,60,SW,8/12/1987,1014.6,8/27/1966,984.1,8/12/1987
September,36.1,9/10/1955,20,9/29/1995,269.5,9/8/1982,22,SW,9/26/1978,1015.7,9/19/1965,988.3,9/27/1978
October,36,10/17/2002,20.4,10/30/1968,264.1,10/21/1998,60,WSW,10/24/1988,1016.2,10/22/1965,986.3,10/24/1988
November,36,11/4/1999,20.3,11/7/1954,231.8,11/25/1987,55,NE,11/7/1988,1019.1,11/30/1978,974.9,11/21/1951
December,34.2,12/16/1997,18.2,12/5/1989,603.5,12/4/1976,75,N,12/16/1987,1019.2,12/1/1978,974.2,12/26/1981
Annual,37.6,1/3/2002,16.1,2/10/1966,603.5,12/4/1976,75,N,12/16/1987,1021.5,1/21/2005,955.8,7/3/2001
Period of Record,1908 - 2012,1908 - 2012,1908 - 2012,1908 - 2012,1907 - 2012,1907 - 2012,1966 - 2012,1966 - 2012,1966 - 2012,1949 - 2012,1949 - 2012,1949 - 2012,1949 - 2012
