month,temp_high,temp_high_date,temp_low,temp_low_date,greatest_daily_rainfall_amount,greatest_daily_rainfall_amount_date,wind_high_spd,wind_high_dir,wind_high_date,sea_level_pressures_high,sea_level_pressures_high_date,sea_level_pressures_low,sea_level_pressures_low_date
January,34.3,1/5/1970,16.7,1/2/1969,273.1,1/12/1999,26,ENE,1/1/1975,1021.1,1/18/1959,998.4,1/9/1972
February,36.6,1/18/1963,15.6,2/9/1916,203.7,2/25/1970,62,W,2/25/1970,1021.4,2/6/1990,972.9,2/25/1970
March,35.2,3/26/1961,16.9,3/11/1914,204.7,3/2/1999,22,NE,3/5/1977,1021.6,3/2/1987,1001.2,3/29/1988
April,35.1,4/18/1990,18.3,4/16/1968,245,4/30/2009,23,E,4/20/1978,1019.2,4/5/1998,997,4/20/1956
May,37.2,5/31/1967,19.3,5/10/1955,368.4,5/18/1976,50,WNW,5/16/2004,1015.9,5/10/1957,996,5/5/1951
June,37.2,6/2/1967,18.4,6/6/1995,494.2,6/9/1974,36,SW,6/24/1976,1018.7,6/8/1971,983.1,6/24/1976
July,36.6,7/23/1969,18.6,7/9/1985,340,7/18/1987,31,W,7/17/1977,1016.6,7/27/1980,986.1,7/14/1983
August,36.7,8/27/1960,19,8/14/1987,188.2,8/19/1919,31,ENE,8/12/1987,1015.6,8/31/1983,963,8/13/1963
September,36.8,9/2/1968,18,9/19/2005,488,9/1/1929,47,ENE,9/26/1978,1017.6,9/28/1982,990.6,9/26/1978
October,36,10/6/1967,18.9,10/21/1965,458.5,10/29/1958,77,ESE,10/13/1970,1017.6,10/5/1987,927.9,10/21/1998
November,35,11/3/1908,18,11/11/1911,401.1,11/6/1947,55,W,11/30/2006,1019.9,11/30/1978,941.4,11/30/2006
December,34.4,12/17/1964,17.2,12/20/1967,416.3,12/13/1964,37,WSW,12/5/1993,1019.9,12/1/1978,954.6,12/31/1959
Annual,37.2,5/31/1967,15.6,2/9/1916,494.2,6/9/1974,77,E,11/30/2006,1021.6,3/2/1987,927.9,10/21/1998
Period of Record,1908-2012,1908-2012,1908-2012,1908-2012,1908-2012,1908-2012,1966-2012,1966-2012,1966-2012,1949-2012,1949-2012,1949-2012,1949-2012
